depth (cm),dateType (),depthTop (cm),depthBottom (cm),thickness (cm),measurementMaterial (),sensorSpecies (),age14C (kyr),age14CUncertainty (kyr),reservoirAge (kyr)
1,14C,0,2,2,planktic foraminifera calcite,G. bulloides,2.24,0.09,0.48
61,14C,60,62,2,planktic foraminifera calcite,G. bulloides,4.38,0.1,0.48
103,14C,102,104,2,planktic foraminifera calcite,G. bulloides,6.52,0.1,0.48
141,14C,140,142,2,planktic foraminifera calcite,N. pachyderma,7.56,0.13,0.48
143,14C,142,144,2,planktic foraminifera calcite,G. bulloides,6.98,0.1,0.48
172,14C,170,174,4,planktic foraminifera calcite,N. pachyderma,7.34,0.11,0.48
173,14C,172,174,2,planktic foraminifera calcite,G. bulloides,8.5,0.13,0.48
201,14C,200,202,2,planktic foraminifera calcite,G. bulloides,9.5,0.12,0.48
201,14C,200,202,2,planktic foraminifera calcite,N. pachyderma,9.39,0.11,0.48
221,14C,220,222,2,planktic foraminifera calcite,G. bulloides,9.91,0.12,0.48
221,14C,220,222,2,planktic foraminifera calcite,N. pachyderma,10.26,0.16,0.48
231,14C,230,232,2,planktic foraminifera calcite,G. bulloides,10.27,0.14,0.48
231,14C,230,232,2,planktic foraminifera calcite,N. pachyderma,10.14,0.12,0.48
251,14C,250,252,2,planktic foraminifera calcite,G. bulloides,10.64,0.12,0.48
251,14C,250,252,2,planktic foraminifera calcite,N. pachyderma,10.97,0.16,0.48
271,14C,270,272,2,planktic foraminifera calcite,G. bulloides,11.2,0.12,0.48
271,14C,270,272,2,planktic foraminifera calcite,N. pachyderma,12.11,0.14,0.48
281,14C,280,282,2,planktic foraminifera calcite,G. bulloides,12.01,0.14,0.48
281,14C,280,282,2,planktic foraminifera calcite,N. pachyderma,12.61,0.18,0.48
291,14C,290,292,2,planktic foraminifera calcite,G. bulloides,13.48,0.16,0.48
321,14C,320,322,2,planktic foraminifera calcite,N. pachyderma,25.45,0.48,0.48
343,14C,342,344,2,planktic foraminifera calcite,N. pachyderma,27.8,0.51,0.48
351,14C,350,352,2,planktic foraminifera calcite,N. pachyderma,28.47,0.57,0.48
362,14C,360,364,4,planktic foraminifera calcite,N. pachyderma,25.49,0.43,0.48
381,14C,380,382,2,planktic foraminifera calcite,N. pachyderma,28.83,0.55,0.48
401,14C,400,402,2,planktic foraminifera calcite,N. pachyderma,29.3,0.73,0.48
441,14C,440,442,2,planktic foraminifera calcite,N. pachyderma,31.26,0.73,0.48
