depth (cm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),age_type (),material_dated (),note ()
0,NA,NA,-48,NA,2,NA,1
57.5,1520,80,1570,1280,1,1,NA
76.5,2295,85,2750,2050,1,1,NA
108.5,3585,80,4100,3640,1,1,NA
162.5,7520,135,8600,8100,1,1,NA
207.5,8505,130,9900,9100,1,1,NA
