depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d18O (permil)
0.015,150,18.2,0.006,2122,0.4,NA
0.025,260,18.3,0.018,2367,0.1,NA
0.035,370,18.1,0.03,2611,0.1,NA
0.065,700,22.1,0.042,2856,-0.2,NA
0.075,820,18.3,0.054,3100,0.1,NA
0.085,940,19.9,0.066,3345,-0.5,NA
0.095,1060,21.2,0.078,3589,0.2,NA
0.105,1180,21.2,0.102,4078,-0.1,NA
0.115,1310,19.5,0.114,4323,0,NA
0.125,1440,19.4,0.138,4812,0,NA
0.145,1900,20.4,0.15,5056,0,NA
0.155,2180,21.4,0.174,5545,0,NA
0.165,2470,22.8,0.186,5790,-0.6,NA
0.175,2760,16.1,0.198,6035,-0.1,NA
0.185,3050,20.3,0.21,6279,-0.2,NA
0.195,3340,19.6,0.222,6524,-0.6,NA
0.205,3620,20.4,0.234,6768,0.2,NA
0.215,3910,21.2,0.246,7013,-0.4,NA
0.225,4190,23.1,0.258,7257,-0.1,NA
0.235,4480,22.5,0.27,7502,-0.6,NA
0.245,4760,25.8,0.284,7787,-0.8,NA
0.255,5040,22.8,0.296,8031,0.1,NA
0.265,5310,19,0.307,8264,0.4,NA
0.275,5590,22.4,0.319,8500,0.1,NA
0.285,5860,23.6,0.33,9165,0.6,NA
0.315,6670,21.8,0.342,9830,0.7,NA
0.325,6930,21.9,0.353,10495,0.7,NA
0.335,7190,16.5,0.364,11160,1,NA
0.345,7460,16.3,0.376,11825,1.4,NA
0.355,7720,16.4,0.387,12000,1.3,NA
0.365,7980,17.9,0.399,12204,1.2,NA
0.375,8240,18.2,0.41,12403,1.2,NA
0.385,8500,16.6,0.456,13204,NA,2.21
0.395,8760,17.7,0.467,13403,1.8,NA
0.405,9020,18.7,0.478,13604,1.9,NA
0.415,9270,18.2,0.49,13803,1.9,NA
0.425,9510,17.3,0.501,14004,1.8,NA
0.435,9760,16.8,0.513,14204,1.8,NA
0.445,10000,18.1,0.524,14403,1.9,NA
0.455,10230,18.8,0.547,14803,2,NA
0.465,10470,17.9,0.558,15004,2,NA
0.475,10700,15.2,0.57,15204,2.1,NA
0.485,10930,14.2,0.581,15403,2.2,NA
0.495,11160,13.5,0.592,15604,2.3,NA
NA,NA,NA,0.604,15803,2.2,NA
NA,NA,NA,0.615,16003,2.8,NA
NA,NA,NA,0.627,16203,2.8,NA
NA,NA,NA,0.638,16404,2.6,NA
NA,NA,NA,0.649,16604,3.1,NA
NA,NA,NA,0.661,16803,3,NA
NA,NA,NA,0.672,17000,3.1,NA
NA,NA,NA,0.684,17172,2.9,3.26
