depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-18,16.914,-18.029,0.946,482.286
5,197,17.157,-18.357,0.761,509.286
10,411,16.7,-17.371,1.115,481.857
20,769,16.871,-17.286,1.138,487.714
25,842,16.7,-17.371,1.115,481.857
30,914,16.914,-18.029,0.946,482.286
35,987,17.157,-17.714,1.113,512.857
40,1059,17.157,-17.714,1.113,512.857
45,1146,17.157,-17.714,1.113,512.857
50,1248,17.157,-17.714,1.113,512.857
55,1350,17.2,-18.071,0.96,520.286
60,1452,17.986,-17.814,1.415,533.857
65,1554,17.071,-17.471,1.193,485.714
70,1656,17.429,-18.329,0.99,499.429
75,1792,17.886,-18.114,1.301,504
80,1962,17.214,-17.671,1.152,496.714
85,2131,18.157,-18.114,1.407,529.143
90,2301,17.5,-18.214,0.939,508.571
95,2471,19.071,-16.957,2.446,539.571
105,2810,19.029,-16.9,2.426,542.143
115,3150,19.014,-17.057,2.38,531.714
125,3489,18.886,-17.086,2.287,531
135,3828,18.986,-17.486,2.264,488
145,4168,18.886,-17.314,2.263,482.857
155,4507,19.143,-16.914,2.544,480.429
165,4847,20.043,-15.086,3.674,437.143
175,5186,18.914,-17.257,2.254,511.714
185,5526,19.171,-16.814,2.564,438.714
195,5857,19.286,-17,2.599,450.571
205,6166,18.9,-16.857,2.367,422.714
215,6474,19.286,-16.843,2.613,448.714
225,6782,18.9,-16.857,2.367,422.714
235,7082,18.9,-17.243,2.279,440.429
245,7357,19.286,-16.843,2.613,448.714
255,7631,19.457,-16.371,2.838,432.714
265,7905,19.571,-16.486,2.9,445.286
275,8128,19.286,-16.843,2.613,448.714
285,8198,18.943,-17.071,2.339,439.857
295,8268,19.286,-16.471,2.681,427.571
305,8338,19.286,-16.843,2.613,448.714
315,8408,18.771,-17.357,2.176,440.714
325,8478,19.186,-16.886,2.565,437
335,8548,18.943,-17.071,2.339,439.857
345,8723,18.886,-16.729,2.385,416.857
355,9213,18.886,-16.729,2.385,416.857
365,9703,18.843,-17.171,2.252,433.571
375,10193,19.314,-16.714,2.663,447.143
385,10684,18.8,-17.771,1.992,473.714
395,11174,NA,NA,NA,NA
400,11419,NA,NA,NA,NA
405,11664,NA,NA,NA,NA
410,11909,NA,NA,NA,NA
420,12400,NA,NA,NA,NA
425,12645,NA,NA,NA,NA
430,12890,NA,NA,NA,NA
