depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
2.5,-52.49,NA,9.433,10.822,8.044,N
7.5,-41.529,NA,9.775,11.159,8.392,N
12.5,-30.567,NA,9.685,11.066,8.304,N
17.5,-19.606,NA,9.376,10.767,7.986,N
22.5,16.312,NA,9.007,10.394,7.619,N
27.5,74.938,NA,9.596,10.979,8.213,N
32.5,133.562,NA,9.548,10.929,8.167,N
36.75,186.325,NA,8.976,10.366,7.586,N
48.5,321.163,NA,9.442,10.831,8.054,N
72,543.857,NA,9.194,10.581,7.807,N
92,690.286,NA,8.76,10.144,7.375,N
112,836.714,NA,8.308,9.694,6.923,N
132,983.143,NA,8.505,9.89,7.121,N
152,1129.571,NA,9.114,10.505,7.724,N
172,1276,8.537,NA,9.928,7.145,Y
183,1425.675,8.144,NA,9.534,6.754,Y
203,1697.812,7.889,NA,9.278,6.501,Y
209.5,1786.256,8.313,NA,9.702,6.923,Y
229.5,2058.393,8.608,NA,9.998,7.219,Y
249.5,2401.82,7.902,NA,9.296,6.508,Y
276.5,2817.971,8.417,NA,9.802,7.032,Y
296.5,3015.029,7.769,NA,9.165,6.374,Y
316.5,3212.088,8.489,NA,9.876,7.101,Y
336.5,3409.147,7.603,NA,9.001,6.204,Y
356.5,3595.959,8.555,NA,9.947,7.163,Y
380,3814.828,8.087,NA,9.485,6.69,Y
400,4001.101,8.164,NA,9.56,6.768,Y
411,4103.55,8.713,NA,10.104,7.322,Y
431,4401.3,7.801,NA,9.199,6.403,Y
491,5703.3,8.712,NA,10.106,7.317,Y
511,6048.364,8.955,NA,10.347,7.564,Y
521,6166.546,7.927,NA,9.332,6.521,Y
531.5,6290.636,9.981,NA,11.376,8.586,Y
544.5,6444.273,8.943,NA,10.334,7.551,Y
564.5,6669.348,9.08,NA,10.474,7.686,Y
584.5,6792.826,9.264,NA,10.652,7.875,Y
614.5,6978.043,9.549,NA,10.937,8.161,Y
644.5,7163.261,8.653,NA,10.055,7.252,Y
674.5,7349.448,9.759,NA,11.146,8.372,Y
698.5,7502.472,9.188,NA,10.577,7.799,Y
718,7628.268,8.286,NA,9.68,6.891,Y
738,7757.289,8.55,NA,9.95,7.149,Y
758,7886.311,9.881,NA,11.268,8.494,Y
778,8015.332,9.411,NA,10.801,8.021,Y
798.5,8140.443,8.658,NA,10.055,7.261,Y
818.5,8228.686,8.835,NA,10.219,7.45,Y
851.5,8374.287,9.087,NA,10.486,7.687,Y
888.5,8537.537,9.201,NA,10.583,7.819,Y
928.5,8714.024,9.348,NA,10.739,7.957,Y
968.5,8792.625,9.074,NA,10.464,7.684,Y
1018.5,8899.605,8.776,NA,10.16,7.391,Y
1058.5,9114.748,9.171,NA,10.556,7.785,Y
1098.5,9365.482,8.838,NA,10.234,7.443,Y
1128.5,9553.533,8.317,NA,9.709,6.926,Y
1148.5,9678.901,8.147,NA,9.536,6.759,Y
1168.5,9895.115,8.791,NA,10.174,7.407,Y
