year (AD),age (BP),RegionalMeanAnnualTemp (degC),T.MinusSD (degC),T.PlusSD (degC)
1950,0,0.235,0.221,0.249
1900,50,0.223,0.172,0.275
1850,100,0.2,0.097,0.304
1800,150,0.235,0.052,0.418
1750,200,0.281,0.014,0.549
1700,250,0.351,-0.015,0.718
1650,300,0.399,-0.012,0.81
1600,350,0.456,-0.013,0.926
1550,400,0.441,0.075,0.807
1500,450,0.47,0.109,0.832
1450,500,0.483,0.146,0.82
1400,550,0.502,0.174,0.83
1350,600,0.509,0.197,0.821
1300,650,0.52,0.223,0.817
1250,700,0.523,0.238,0.807
1200,750,0.51,0.241,0.779
1150,800,0.484,0.207,0.761
1100,850,0.436,0.151,0.72
1050,900,0.383,0.094,0.671
1000,950,0.319,0.04,0.598
950,1000,0.25,-0.002,0.501
900,1050,0.149,-0.041,0.339
850,1100,0.067,-0.096,0.23
800,1150,-0.008,-0.17,0.154
750,1200,-0.073,-0.244,0.097
700,1250,-0.158,-0.313,-0.003
650,1300,-0.238,-0.384,-0.093
600,1350,-0.304,-0.468,-0.141
550,1400,-0.372,-0.571,-0.173
500,1450,-0.437,-0.65,-0.223
450,1500,-0.526,-0.833,-0.218
400,1550,-0.526,-0.774,-0.279
350,1600,-0.534,-0.709,-0.358
300,1650,-0.572,-0.786,-0.359
250,1700,-0.52,-0.736,-0.304
200,1750,-0.514,-0.686,-0.341
150,1800,-0.517,-0.712,-0.321
100,1850,-0.509,-0.67,-0.347
50,1900,-0.514,-0.692,-0.336
0,1950,-0.529,-0.692,-0.367
-50,2000,-0.524,-0.721,-0.327
-100,2050,-0.504,-0.642,-0.367
-150,2100,-0.506,-0.686,-0.326
-200,2150,-0.455,-0.631,-0.28
-250,2200,-0.443,-0.621,-0.264
-300,2250,-0.382,-0.496,-0.269
-350,2300,-0.354,-0.503,-0.205
-400,2350,-0.293,-0.433,-0.153
-450,2400,-0.209,-0.371,-0.048
-500,2450,-0.13,-0.398,0.137
