year (AD),age (BP),depth (mm),d18O (permil),depth.top (mm),thickness (mm)
2000.5,-50.5,5,-17.707,0,5
1994.5,-44.5,10,-17.9,5,5
1985,-35,15,-17.621,10,5
1972.5,-22.5,20,-18.021,15,5
1958,-8,25,-18.293,20,5
1938,12,30,-18.624,25,5
1922,28,35,-18.512,30,5
1909.5,40.5,40,-20.776,35,5
1873,77,45,-19.25,40,5
1819,131,50,-19.371,45,5
1764.5,185.5,55,-22.387,50,5
1710,240,60,-22.627,55,5
1656,294,65,-23.091,60,5
1602,348,70,-22.747,65,5
1547.5,402.5,75,-22.008,70,5
1493,457,80,-20.102,75,5
1439,511,85,-18.816,80,5
1384.5,565.5,90,-19.136,85,5
1330,620,95,-19.033,90,5
1276,674,100,-18.261,95,5
1204,746,110,-19.403,100,10
1113.5,836.5,120,-19.835,110,10
1023,927,130,-19.594,120,10
933,1017,140,-20.283,130,10
843,1107,150,-19.933,140,10
752.5,1197.5,160,-20.221,150,10
662,1288,170,-19.247,160,10
572,1378,180,-18.942,170,10
482,1468,190,-19.916,180,10
391.5,1558.5,200,-19.65,190,10
301,1649,210,-19.962,200,10
211,1739,220,-19.45,210,10
121,1829,230,-20.256,220,10
30.5,1919.5,240,-19.618,230,10
-60,2010,250,-19.605,240,10
-153,2103,260,-19.731,250,10
-249,2199,270,-20.708,260,10
-345,2295,280,-20.135,270,10
-441,2391,290,-20.393,280,10
-537,2487,300,-21.314,290,10
-634.5,2584.5,310,-20.61,300,10
-734,2684,320,-20.343,310,10
-833.5,2783.5,330,-21.05,320,10
-932.5,2882.5,340,-19.679,330,10
-1032,2982,350,-19.46,340,10
-1131.5,3081.5,360,-19.431,350,10
-1230.5,3180.5,370,-18.82,360,10
-1330,3280,380,-20.054,370,10
-1429.5,3379.5,390,-21.49,380,10
-1528.5,3478.5,400,-18.59,390,10
-1628,3578,410,-18.7,400,10
-1727.5,3677.5,420,-18.878,410,10
-1826.5,3776.5,430,-18.06,420,10
-1926,3876,440,-19.077,430,10
-2025.5,3975.5,450,-17.73,440,10
-2081,4031,460,-18.357,450,10
-2093,4043,470,-17.32,460,10
-2104.5,4054.5,480,-17.582,470,10
-2116,4066,490,-19.01,480,10
-2128,4078,500,-17.804,490,10
-2140,4090,510,-17.47,500,10
-2151.5,4101.5,520,-17.89,510,10
-2163,4113,530,-17.07,520,10
-2175,4125,540,-17.869,530,10
-2187,4137,550,-17.4,540,10
-2199,4149,560,-18.061,550,10
-2210.5,4160.5,570,-17.9,560,10
-2222,4172,580,-18.777,570,10
-2234,4184,590,-17.43,580,10
-2258,4208,610,-18.228,600,10
-2269.5,4219.5,620,-18.034,610,10
-2281,4231,630,-18.059,620,10
-2293,4243,640,-18.196,630,10
-2305,4255,650,-18.117,640,10
-2316.5,4266.5,660,-18.102,650,10
-2328,4278,670,-17.887,660,10
-2340,4290,680,-17.589,670,10
-2352,4302,690,-17.38,680,10
-2364,4314,700,-17.77,690,10
-2375.5,4325.5,710,-17.713,700,10
-2387,4337,720,-17.93,710,10
-2411,4361,740,-17.648,730,10
-2470,4420,790,-17.94,780,10
-2529,4479,840,-18.62,830,10
-2588,4538,890,-18.27,880,10
-2646.5,4596.5,940,-18.156,930,10
-2705.5,4655.5,990,-18.59,980,10
-2764.5,4714.5,1040,-19.375,1030,10
-2823,4773,1090,-18.86,1080,10
-2882,4832,1140,-18.97,1130,10
-2941,4891,1190,-19.36,1180,10
-3000,4950,1240,-18.283,1230,10
-3059,5009,1290,-20.05,1280,10
-3118,5068,1340,-20.012,1330,10
-3177,5127,1390,-21.13,1380,10
-3293.5,5243.5,1490,-22.27,1480,10
-3328,5278,1520,-19.927,1510,10
-3408.5,5358.5,1590,-22.95,1580,10
-3477.5,5427.5,1650,-19.577,1640,10
-3523.5,5473.5,1690,-22.39,1680,10
-3546.5,5496.5,1710,-20.461,1700,10
-3569.5,5519.5,1730,-20.542,1720,10
-3615.5,5565.5,1770,-23.01,1760,10
-3708,5658,1850,-22.15,1840,10
-3774.5,5724.5,1890,-22.12,1880,10
-3973,5923,1990,-21.43,1980,10
-4012,5962,2010,-21.422,2000,10
-4092,6042,2050,-19.417,2040,10
-4131,6081,2070,-20.5,2060,10
-4171,6121,2090,-20.856,2080,10
-4290,6240,2150,-21.342,2140,10
-4329.5,6279.5,2170,-21.208,2160,10
-4567,6517,2290,-22.32,2280,10
-4607,6557,2310,-20.271,2300,10
-4646.5,6596.5,2330,-20.476,2320,10
-4686,6636,2350,-19.59,2340,10
-4765.5,6715.5,2390,-19.836,2380,10
-4876.5,6826.5,2430,-20.824,2420,10
-5042,6992,2450,-20.154,2440,10
-5207,7157,2470,-20.858,2460,10
-5372.5,7322.5,2490,-20.16,2480,10
-5537.5,7487.5,2510,-20.653,2500,10
-5702.5,7652.5,2530,-21.108,2520,10
-5868,7818,2550,-20.303,2540,10
-6033.5,7983.5,2570,-19.324,2560,10
-6182,8132,2590,-20.846,2580,10
