year (AD),age (BP),temperature (degC),subT (degC)
1260,690,25.378,NA
1034,916,25.249,NA
808,1142,24.753,NA
582,1368,25.564,NA
469,1481,25.137,NA
-95,2045,25.446,NA
-321,2271,25.222,NA
-547,2497,25.534,NA
-886,2836,25.884,NA
-999,2949,25.613,NA
-1451,3401,24.863,NA
-1676,3626,25.458,NA
-2015,3965,24.715,NA
-2128,4078,24.572,NA
-2354,4304,24.53,NA
-2806,4756,25.666,NA
-3145,5095,24.809,NA
-3258,5208,25.198,NA
-3484,5434,23.837,9.949
-3709,5659,24.084,NA
-3935,5885,24.348,NA
-4387,6337,24.491,10.737
-4839,6789,24.623,NA
-5065,7015,24.164,NA
-5291,7241,24.866,11.356
-5516,7466,25.3,13.338
-5742,7692,25.106,NA
-5968,7918,NA,13.038
-6194,8144,25.152,NA
-6420,8370,25.036,NA
-6728,8678,25.631,NA
-7653,9603,24.319,NA
-7962,9912,NA,14.392
-8270,10220,24.293,12.283
-8478,10428,24.114,13.601
-8685,10635,24.562,14.463
-8892,10842,24.27,NA
-9100,11050,23.322,12.593
-9159,11109,23.997,13.038
-9217,11167,24.137,14.675
-9276,11226,NA,14.693
-9334,11284,23.881,14.202
-9422,11372,22.954,NA
-9451,11401,23.748,NA
-9510,11460,22.711,NA
-9603,11553,23.426,14.883
-9696,11646,22.921,15.55
-9882,11832,23.699,14.909
-9975,11925,22.965,NA
-10068,12018,NA,15.892
-10162,12112,NA,15.574
-10255,12205,23.21,15.726
-10441,12391,25.354,17.13
-10534,12484,25.339,16.846
-10627,12577,24.462,NA
-10720,12670,24.884,17.109
-10833,12783,23.82,16.27
-10947,12897,24.404,16.063
-11060,13010,24.8,17.462
-11173,13123,NA,14.78
-11287,13237,24,14.994
-11400,13350,24.127,15.63
-11513,13463,24.397,NA
-11627,13577,23.5,NA
-11740,13690,22.619,14.534
-11825,13775,23.326,NA
-11910,13860,23.214,15.42
-11967,13917,23.553,NA
-12080,14030,22.368,15.622
-12193,14143,22.631,NA
-12420,14370,23.644,16.525
-12557,14507,23.408,NA
-12694,14644,23.279,16.171
-12831,14781,23.489,16.224
-12968,14918,22.895,15.978
-13105,15055,NA,15.908
-13242,15192,NA,15.986
-13379,15329,21.983,NA
-13516,15466,22.767,NA
-13653,15603,NA,16.071
-13790,15740,22.619,15.654
-13926,15876,21.243,15.978
-14063,16013,20.689,14.969
-14200,16150,21.406,NA
-14336,16286,22.119,14.436
-14472,16422,22.207,NA
-14609,16559,21.613,NA
-14746,16696,21.783,NA
-14882,16832,21.95,14.994
-15155,17105,21.338,14.311
-15292,17242,21.746,NA
-15428,17378,21.971,NA
-15564,17514,21.073,14.814
-15701,17651,21.26,14.552
-15838,17788,NA,13.924
-15974,17924,21.325,NA
-16110,18060,20.612,14.561
-16384,18334,NA,13.099
-16520,18470,NA,13.592
-16645,18595,NA,12.761
-16894,18844,NA,13.669
-17019,18969,NA,13.129
-17144,19094,20.497,NA
-17394,19344,NA,13.008
-17768,19718,21.051,14.091
-17955,19905,NA,14.202
-18267,20217,NA,14.283
-18454,20404,22.096,NA
-18517,20467,NA,14.736
-18642,20592,NA,13.229
-19016,20966,NA,14.311
