year (AD),age (BP),d18O (permil),core (missing),compositeDepth (missing),calibrated (missing),TOC (missing),TIC (missing),TOTC (missing),d13C (permil)
1842,108,30.33,PLC97-1,0.423,CAL,4.67,2.2,6.88,4.42
1834,116,30.4,PLC97-1,1.468,CAL,3.79,2.4,6.19,4.47
1826,124,30.14,PLC97-1,2.511,CAL,3.88,2.4,6.28,4.34
1818,132,30.25,PLC97-1,3.553,CAL,3.74,2.35,6.09,4.45
1810,140,30.35,PLC97-1,4.593,CAL,3.73,2.38,6.11,4.41
1802,148,30.39,PLC97-1,5.633,CAL,3.78,2.55,6.33,4.38
1794,156,30.12,PLC97-1,6.67,CAL,3.67,2.55,6.22,4.38
1786,164,30.2,PLC97-1,7.707,CAL,3.57,2.58,6.15,4.39
1778,172,30.22,PLC97-1,8.741,CAL,3.68,2.42,6.1,4.45
1770,180,30.18,PLC97-1,9.775,CAL,3.52,2.42,5.93,4.44
1762,188,30.46,PLC97-1,10.807,CAL,3.52,2.4,5.93,4.37
1754,196,30.51,PLC97-1,11.838,CAL,3.49,2.44,5.93,4.54
1746,204,30.41,PLC97-1,12.867,CAL,3.43,2.55,5.98,4.65
1738,212,30.43,PLC97-1,13.895,CAL,3.37,2.64,6.01,4.52
1730,220,30.38,PLC97-1,14.922,CAL,3.39,2.45,5.84,4.55
1722,228,30.24,PLC97-1,15.948,CAL,3.44,2.35,5.79,4.46
1714,236,30.21,PLC97-1,16.972,CAL,3.38,2.42,5.8,4.42
1706,244,30.25,PLC97-1,17.994,CAL,3.33,2.4,5.73,4.38
1698,252,30.31,PLC97-1,19.016,CAL,3.37,2.37,5.74,4.32
1690,260,30.39,PLC97-1,20.036,CAL,3.37,2.33,5.7,4.36
1682,268,30.48,PLC97-1,21.054,CAL,3.35,2.26,5.61,4.32
1674,276,30.45,PLC97-1,22.072,CAL,3.29,2.39,5.68,4.43
1666,284,30.43,PLC97-1,23.088,CAL,3.44,2.52,5.96,4.48
1658,292,30.45,PLC97-1,24.103,CAL,3.35,2.64,5.99,4.54
1650,300,30.49,PLC97-1,25.116,CAL,3.1,2.73,5.83,4.58
1642,308,30.59,PLC97-1,26.128,CAL,3.05,2.78,5.82,4.66
1634,316,30.66,PLC97-1,27.139,CAL,3.42,2.61,6.03,4.61
1626,324,30.5,PLC97-1,28.149,CAL,3.36,2.46,5.82,4.56
1618,332,30.22,PLC97-1,29.157,CAL,3.22,2.53,5.74,4.44
1610,340,30.29,PLC97-1,30.164,CAL,3.28,2.31,5.59,4.45
1602,348,30.61,PLC97-1,31.17,CAL,3.29,2.27,5.56,4.56
1594,356,30.53,PLC97-1,32.174,CAL,3.25,2.26,5.51,4.59
1586,364,30.48,PLC97-1,33.178,CAL,3.21,2.29,5.5,4.58
1578,372,30.48,PLC97-1,34.18,CAL,3.17,2.4,5.56,4.57
1570,380,30.45,PLC97-1,35.18,CAL,3.12,2.3,5.42,4.51
1562,388,30.6,PLC97-1,36.18,CAL,2.98,2.31,5.29,4.52
1554,396,30.67,PLC97-1,37.178,CAL,3.04,2.47,5.51,4.56
1546,404,30.62,PLC97-1,38.175,CAL,3,2.74,5.74,4.67
1538,412,30.32,PLC97-1,39.171,CAL,2.96,2.76,5.72,4.64
1530,420,30.3,PLC97-1,40.165,CAL,3.16,2.36,5.53,4.53
1522,428,30.27,PLC97-1,41.159,CAL,3.12,2.17,5.29,4.38
1514,436,30.15,PLC97-1,42.151,CAL,3.07,2.29,5.36,4.45
1506,444,30.3,PLC97-1,43.142,CAL,3.13,2.26,5.39,4.52
1498,452,30.5,PLC97-1,44.131,CAL,3.08,2.35,5.43,4.64
1490,460,30.54,PLC97-1,45.12,CAL,3.19,2.43,5.63,4.55
1482,468,30.71,PLC97-1,46.107,CAL,3.35,2.37,5.72,4.55
1474,476,30.7,PLC97-1,47.093,CAL,3.27,2.58,5.85,4.58
1466,484,30.55,PLC97-1,48.078,CAL,3.21,2.62,5.83,4.58
1458,492,30.56,PLC97-1,49.062,CAL,3.21,2.42,5.63,4.59
1450,500,30.78,PLC97-1,50.044,CAL,3.2,2.36,5.56,4.57
1442,508,30.84,PLC97-1,51.026,CAL,3.25,2.38,5.63,4.59
1434,516,30.79,PLC97-1,52.006,CAL,3.22,2.42,5.64,4.53
1426,524,30.83,PLC97-1,52.985,CAL,3.18,2.4,5.58,4.54
1418,532,30.68,PLC97-1,53.963,CAL,3.21,2.27,5.48,4.5
1410,540,30.56,PLC97-1,54.939,CAL,3.17,2.16,5.33,4.37
1402,548,30.49,PLC97-1,55.915,CAL,3.08,2.27,5.36,4.38
1394,556,30.56,PLC97-1,56.889,CAL,3.07,2.42,5.49,4.47
1386,564,30.72,PLC97-1,57.862,CAL,3.11,2.27,5.38,4.5
1378,572,30.72,PLC97-1,58.834,CAL,3.11,2.03,5.13,4.33
1370,580,30.79,PLC97-1,59.805,CAL,3.18,2.13,5.31,4.43
1362,588,30.76,PLC97-1,60.775,CAL,3.18,2.41,5.59,4.56
1354,596,30.86,PLC97-1,61.743,CAL,3.12,2.58,5.7,4.6
1346,604,30.94,PLC97-1,62.711,CAL,3.26,2.57,5.83,4.64
1338,612,30.99,PLC97-1,63.677,CAL,3.16,2.67,5.83,4.59
1330,620,30.88,PLC97-1,64.642,CAL,3.25,2.65,5.9,4.7
1322,628,30.91,PLC97-1,65.607,CAL,3.21,2.58,5.79,4.65
1314,636,30.79,PLC97-1,66.57,CAL,3.17,2.54,5.71,4.57
1306,644,30.64,PLC97-1,67.531,CAL,3.24,2.41,5.65,4.51
1298,652,30.59,PLC97-1,68.492,CAL,3.26,2.39,5.65,4.5
1290,660,30.65,PLC97-1,69.452,CAL,3.24,2.48,5.71,4.55
1282,668,30.14,PLC97-1,70.41,CAL,3.26,2.56,5.81,4.46
1274,676,30.46,PLC97-1,71.368,CAL,3.11,2.72,5.83,4.58
1266,684,30.53,PLC97-1,72.324,CAL,3.23,2.64,5.87,4.57
1258,692,30.5,PLC97-1,73.28,CAL,3.23,2.52,5.75,4.53
