depth (m),age (BP),age (yr),accumulation (mm/yr),temperature (degC),sampleID (missing),bubbleNumberDensity (bubbles/cm3),bubbleNumberDensityError (missing),notes (missing),tempError (degC)
120,265,125,228,-30.905,VBS120A-B,409.219,15.26,Updated from 2011,0.526
140,356.5,120.5,236,-30.706,VBS140A-B,415.518,15.26,Updated from 2011,0.545
160,446,118,240,-30.104,VBS160A-B,403.534,15.26,Updated from 2011,0.545
180,533.5,118.5,239,-30.054,VBS180A-B,400.722,15.26,Updated from 2011,0.545
200,621.5,117.5,242,-31.085,VBS200A-B,435.876,15.26,Updated from 2011,0.509
220,708,116,245,-31.303,VBS220A-B,447.341,15.26,Updated from 2011,0.492
240,796.5,113.5,250,-31.091,VBS240A-B,448.178,15.26,Updated from 2011,0.492
260,881,112,254,-29.591,VBS260A-B,408.62,15.26,Updated from 2011,0.565
280,965.5,108.5,261,-30.322,VBS280A-B,440.187,15.26,Updated from 2011,0.509
300,1051,109,260,-30.358,VBS300A-B,439.949,15.26,Updated from 2011,0.509
320,1134,109,261,-29.485,VBS320A-B,415.033,15.26,Updated from 2011,0.545
340,1217.5,107.5,264,-28.149,VBS340A-B,381.115,15.26,Updated from 2011,0.587
360,1303,106,267,-29.343,VBS360A-B,418.862,15.26,Updated from 2011,0.526
380,1387,107,265,-30.223,VBS380A-B,442.69,15.26,Updated from 2011,0.509
400,1471.5,106.5,266,-29.516,VBS400A-B,422.709,15.26,Updated from 2011,0.545
420,1558,108,263,-29.677,VBS420A-B,423.484,15.26,Updated from 2011,0.545
440,1645,109,261,-31.889,VBS440A-B,491.352,15.26,Updated from 2011,0.449
460,1732.5,110.5,257,-29.521,VBS460A-B,410.687,15.26,Updated from 2011,0.565
480,1822,106,268,-30.074,VBS480A-B,442.29,15.26,Updated from 2011,0.509
500,1909.5,106.5,266,-29.149,VBS500A-B,411.695,15.26,Updated from 2011,0.545
520,1997,106,268,-29.321,VBS520A-B,419.533,15.26,Updated from 2011,0.545
540,2086.5,104.5,270,-28.539,VBS540A-B,399.612,15.26,Updated from 2011,0.565
562,2180,101,280,-27.968,VBS562A-B,395.947,15.26,Updated from 2011,0.565
579.1,2254.5,99.5,285,-29.018,VBS580A-B,432.66,17.84,counted,0.609
603.583,2359.5,101.5,279,-29.215,VBS600A-B,430.768,18.53,counted,0.609
623.24,2444,102,279,-29.849,VBS620A-B,450.429,18.19,counted,0.609
643.108,2531,101,280,-30.143,VBS640A-B,460.907,18.16,counted,0.57
662.755,2618,101,281,-30.344,VBS660A-B,464.241,18.32,reduced 1%,0.519
682.05,2705,104,274,-29.678,VBS680A-B,429.653,20.36,reduced 2%,0.57
701.758,2797,106,268,-28.96,VBS700A-B,396.731,19.18,reduced 3%,0.631
721.753,2889.5,106.5,267,-29.392,VBS720A-B,403.516,17.72,reduced 4%,0.609
741.765,2986,106,267,-30.187,VBS740A-B,449.176,19.87,reduced 5%,0.552
761.78,3081,106,268,-30.278,VBS760A-B,453.519,17.76,reduced 5%,0.552
782.776,3181,104,273,-28.879,VBS780A-B,417.481,18.99,reduced 5%,0.609
801.807,3271.5,102.5,277,-29.225,VBS800A-B,433.077,19.68,reduced 5%,0.57
822.058,3367,102,278,-29.207,VBS820A-B,433.882,18.58,reduced 5%,0.57
842,3460.5,101.5,280,-30.085,VBS840A-B,463.933,18.17,reduced 5%,0.535
863.05,3561.5,99.5,284,-29.87,VBS860A-B,462.552,19.26,reduced 5%,0.57
883.082,3657,100,283,-29.565,VBS880A-B,451.616,18.6,reduced 5%,0.552
901.944,3745,100,284,-29.909,VBS900A-B,463.796,18.66,reduced 5%,0.57
922.088,3843,100,283,-28.905,VBS920A-B,431.161,17.96,reduced 5%,0.609
943.11,3944,101,281,-29.851,VBS940A-B,457.839,18.78,reduced 5%,0.57
962.61,4041.5,102.5,277,-29.302,VBS960A-B,435.458,18.17,reduced 5%,0.57
982.576,4140,102,279,-28.709,VBS980A-B,420.317,18.03,reduced 5%,0.609
1003.585,4248,102,279,-29.723,VBS1000A-B,451.186,18.11,reduced 5%,0.57
1023.75,4350,102,277,-30.087,VBS1020A-B,459.86,18.86,reduced 5%,0.535
1042.575,4450,104,272,-28.971,VBS1040A-B,418.771,18.63,reduced 5%,0.631
1062.155,4552,106,267,-30.304,VBS1060A-B,452.952,18.23,reduced 5%,0.552
1082.395,4662,105,271,-30.1,VBS1080A-B,451.944,17.97,reduced 5%,0.535
1102.05,4769.5,105.5,268,-30.353,VBS1100A-B,455.961,18.03,reduced 5%,0.552
1123.56,4886.5,105.5,269,-29.353,VBS1120A-B,426.362,19.26,reduced 5%,0.589
1142.12,4988,103,275,-30.005,VBS1140A-B,454.417,18.25,reduced 5%,0.535
1164,5108,102,278,-28.774,VBS1160A-B,420.908,20.72,reduced 5%,0.609
1184.145,5219,104,273,-29.085,VBS1180A-B,423.546,18.11,reduced 5%,0.589
1203.255,5324.5,102.5,276,-29.992,VBS1200A-B,455.376,19.04,reduced 5%,0.57
