depth (cm),age (BP),temperature (degC)
463,-23,12.984
468,63,12.619
474,149,13.02
482,303,12.305
490,439,12.754
498,573,13.151
506,704,13.234
514,833,13.968
522,958,13.071
530,1079,13.016
538,1197,13.607
546,1312,13.675
562,1534,13.331
578,1746,13.263
594,1954,13.103
610,2150,13.47
626,2346,13.007
642,2540,13.091
658,2735,13.558
674,2933,12.598
690,3133,12.975
706,3338,12.712
722,3547,13.585
738,3761,13.54
754,3981,12.958
770,4208,13.386
786,4443,13.623
802,4689,13.681
818,4947,13.698
834,5218,13.646
850,5505,13.745
866,5808,13.775
874,5966,14.306
882,6129,13.893
890,6295,13.936
898,6466,13.979
906,6641,14.149
914,6820,14.197
922,7003,13.785
930,7191,14.09
938,7383,13.798
946,7579,13.57
954,7779,14.529
962,7982,14.157
970,8190,14.001
978,8400,13.992
986,8613,14.313
994,8829,13.867
