year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1929.066,20.934,37.813,24.947,3.5,58.184
1637.75,312.25,300.638,27.547,4.411,142.582
1521.224,428.776,421.072,26.96,4.186,134.908
1492.092,457.908,451.291,24.963,3.505,127.819
1433.829,516.171,511.922,25.038,3.528,105.016
1404.697,545.303,542.392,24.772,3.446,87.099
1375.566,574.434,573.122,26.515,4.024,60.306
1229.306,720.694,718.645,27.373,4.343,143.749
1176.628,773.372,771.078,26.549,4.036,166.317
1123.951,826.049,823.588,26.442,3.998,185.073
1071.273,878.727,876.154,25.205,3.581,201.074
1018.595,931.405,928.762,25.665,3.731,214.939
418.07,1531.93,1530.167,25.589,3.706,287.598
207.359,1742.641,1741.681,25.522,3.683,287.677
102.004,1847.996,1847.523,25.44,3.657,283.36
-3.352,1953.352,1953.425,26.736,4.104,275.989
-214.062,2164.062,2165.436,25.99,3.84,250.905
-424.773,2374.773,2377.821,25.524,3.684,207.663
-582.806,2532.806,2537.566,26.797,4.126,154.716
-635.484,2585.484,2591.013,24.506,3.365,129.359
-688.161,2638.161,2644.773,25.668,3.732,95.586
-735.675,2685.675,2692.211,26.301,3.948,90.157
-820.375,2770.375,2774.248,26.167,3.901,135.333
-989.775,2939.775,2939.728,24.475,3.356,177.754
-1159.175,3109.175,3105.898,26.262,3.934,187.644
-1243.875,3193.875,3189.182,26.441,3.998,182.661
-1328.575,3278.575,3272.61,25.155,3.565,170.513
-1413.275,3363.275,3356.226,26.508,4.022,149.429
-1497.975,3447.975,3440.166,26.475,4.01,114.497
-1591.112,3541.113,3532.791,27.202,4.278,94.557
-1709.562,3659.562,3650.736,26.374,3.974,156.507
-1828.013,3778.012,3769.476,26.409,3.986,190.92
-1946.463,3896.463,3888.532,26.238,3.926,211.862
-2124.137,4074.137,4067.514,25.906,3.812,225.781
-2183.363,4133.363,4127.264,26.928,4.174,226.415
-2538.713,4488.712,4486.817,26.783,4.121,186.527
-2657.162,4607.163,4607.343,24.942,3.498,149.837
-2772.113,4722.113,4724.175,26.005,3.845,119.496
-2876.563,4826.563,4827.006,26.556,4.039,160.03
-2981.013,4931.013,4930.515,28.025,4.603,184.621
-3033.238,4983.238,4982.379,26.17,3.902,192.894
-3085.463,5035.463,5034.298,26.882,4.157,198.951
-3137.688,5087.688,5086.263,25.726,3.751,202.983
-3189.914,5139.914,5138.271,27.327,4.325,205.105
-3294.364,5244.364,5242.409,25.77,3.766,203.789
-3398.814,5348.814,5346.71,25.681,3.736,194.829
-3482.374,5432.374,5430.285,26.421,3.991,181.421
-3586.825,5536.825,5534.977,25.814,3.78,154.506
-3691.275,5641.275,5640.147,25.861,3.796,108.628
-3795.725,5745.725,5715.161,26.475,4.01,89.722
-3847.95,5797.95,5737.14,25.407,3.646,106.354
-3900.175,5850.175,5759.232,27.142,4.255,120.388
-3952.401,5902.401,5781.382,25.594,3.707,132.637
-4004.626,5954.626,5803.571,26.617,4.061,143.546
-4109.076,6059.076,5848.026,26.253,3.931,162.389
-4213.526,6163.526,5892.551,25.669,3.732,178.279
-4317.976,6267.976,5937.127,27.592,4.429,191.942
-4422.427,6372.427,5981.741,26.212,3.917,203.825
-4526.877,6476.877,6026.386,26.877,4.156,214.22
-4631.327,6581.327,6071.058,26.068,3.867,223.335
-4735.777,6685.777,6115.752,26.25,3.93,231.32
-4840.228,6790.228,6160.467,26.301,3.948,238.287
-4944.678,6894.678,6205.201,25.867,3.799,244.323
-4985.414,6935.414,6249.952,25.739,3.755,249.494
-5026.15,6976.15,6294.719,26.249,3.93,253.854
-5066.886,7016.886,6339.501,23.8,3.16,257.443
-5087.254,7037.254,6361.897,24.443,3.346,258.958
-5127.989,7077.989,6406.701,23.47,3.069,261.447
-5225.756,7175.756,6514.284,26.855,4.148,264.564
-5400.689,7350.689,7392.66,25.87,3.799,78.583
-5627.785,7577.785,7602.214,26.249,3.93,136.663
-5746.433,7696.433,7718.186,25.662,3.73,185.815
-5825.532,7775.532,7795.692,26.403,3.984,209.915
-5904.631,7854.631,7873.288,26.098,3.877,229.743
