year (AD),age (BP),temperature (degC),Uk37 (missing),Gruber (permil),TOC (percent)
943,1007,28.17,0.98,-1.76,1.31
642,1308,28.26,0.98,-2.25,1.33
440,1510,28.48,0.99,-2.15,1.35
138,1812,28.14,0.98,-2.62,1.31
-63,2013,28.21,0.98,-2.86,1.54
-365,2315,28.42,0.99,-2.68,1.43
-667,2617,28.45,0.99,-2.83,1.49
-969,2919,28.32,0.99,-2.4,1.41
-1070,3020,28.06,0.98,-2.97,1.49
-1372,3322,28.49,0.99,1.52,NA
-1573,3523,28.4,0.99,1.46,NA
-1875,3825,28.42,0.99,-2.7,1.35
-2076,4026,28.24,0.98,-2.99,1.39
-2378,4328,28.36,0.99,-2.13,1.4
-2680,4630,28.34,0.99,-2.52,1.34
-2699,4649,28.1,0.98,-1.51,1.37
-2718,4668,28.06,0.98,1.36,NA
-2746,4696,28.34,0.99,-2.17,1.41
-2775,4725,28.19,0.98,1.46,NA
-2803,4753,28.27,0.99,-2.27,1.42
-2812,4762,27.98,0.98,-2.6,1.46
-2841,4791,27.61,0.96,-2.66,1.45
-2869,4819,28.08,0.98,-2.43,1.43
-2888,4838,27.47,0.96,-2.62,1.45
-2935,4885,28.21,0.98,-1.75,1.47
-2983,4933,28.12,0.98,-2.22,1.45
-3001,4951,27.69,0.97,-2.52,1.45
-3039,4989,27.52,0.96,-2.61,1.39
-3058,5008,27.64,0.97,-2.49,1.39
-3087,5037,27.77,0.97,1.46,NA
-3096,5046,27.33,0.96,-2.7,1.46
-3124,5074,27.2,0.95,-2.12,1.42
-3153,5103,27.46,0.96,-1.86,1.38
-3181,5131,27.3,0.95,-2.01,1.42
-3191,5141,27.9,0.97,-1.84,1.44
-3219,5169,27.46,0.96,-1.71,1.37
-3247,5197,27.6,0.96,1.4,NA
-3276,5226,27.45,0.96,-2.16,1.43
-3285,5235,27.7,0.97,-2.13,1.46
-3313,5263,27.2,0.95,-2.33,1.45
-3342,5292,27.64,0.97,-2.7,1.39
-3370,5320,27.55,0.96,1.55,NA
-3380,5330,27.75,0.97,-2.44,1.45
-3408,5358,27.39,0.96,-2.57,1.43
-3436,5386,27.65,0.97,-2.45,1.38
-3465,5415,27.22,0.95,-2.34,1.54
-3474,5424,27.74,0.97,-1.69,1.54
-3503,5453,27.26,0.95,-2.31,1.55
-3531,5481,27.29,0.95,-2.07,1.46
-3559,5509,27.35,0.96,-1.8,1.58
-3569,5519,27.67,0.97,-1.97,1.54
-3597,5547,27.46,0.96,-1.96,1.53
-3625,5575,27.33,0.96,1.51,NA
-3654,5604,27.34,0.96,-1.42,1.52
-3663,5613,27.63,0.97,-1.61,1.55
-3692,5642,27.52,0.96,-1.69,1.57
-3720,5670,27.54,0.96,-2.48,1.47
-3748,5698,27.61,0.96,-2.56,1.59
-3757,5707,27.75,0.97,-1.84,1.56
-3785,5735,27.52,0.96,-2.21,1.53
-3813,5763,27.56,0.96,-2.04,1.38
-3840,5790,27.55,0.96,-1.53,1.47
-3877,5827,27.34,0.96,-2.12,1.43
-3924,5874,27.51,0.96,-2.32,1.48
-3942,5892,27.73,0.97,-2.13,1.36
-3970,5920,27.63,0.96,-2.5,1.44
-3998,5948,27.43,0.96,-2.4,1.4
-4025,5975,27.55,0.96,-2.3,1.62
-4035,5985,27.48,0.96,-2.17,1.52
-4062,6012,27.35,0.96,-2.61,1.56
-4090,6040,27.37,0.96,-2.08,1.5
-4291,6241,26.96,0.94,-1.82,1.61
-4357,6307,27.28,0.95,-1.45,1.46
-4625,6575,27.27,0.95,-2.18,1.68
-4758,6708,27.39,0.96,-2.27,1.51
-4959,6909,26.87,0.94,-2.29,1.74
-5093,7043,27.62,0.96,-2.47,1.62
-5226,7176,26.63,0.93,-2.33,1.63
-5427,7377,27.12,0.95,-2.35,1.57
-5627,7577,26.49,0.93,-2.61,1.61
-5694,7644,27.31,0.95,-2.49,1.58
-5895,7845,26.88,0.94,-1.75,1.56
-6095,8045,26.6,0.93,-2.32,1.58
-6296,8246,26.79,0.94,-2.49,1.51
-6362,8312,NA,-2.39,NA,NA
-6563,8513,26.86,0.94,-2.03,1.48
-6763,8713,27.21,0.95,-1.9,1.49
-6964,8914,27.15,0.95,-2.2,1.55
-7031,8981,26.22,0.92,-2.06,1.48
-7231,9181,26.95,0.94,-2.34,1.46
-7432,9382,27.23,0.95,-2.53,1.48
-7632,9582,26.77,0.94,-1.52,1.49
-7699,9649,27.16,0.95,-1.48,1.46
-7900,9850,26.77,0.94,-2.32,1.44
-8100,10050,27.12,0.95,-1.78,1.43
-8264,10214,NA,-2.08,NA,NA
-8318,10268,27.22,0.95,-2.46,1.33
-8482,10432,26.88,0.94,-2.39,1.31
-8646,10596,26.9,0.94,-2.12,1.4
-8810,10760,26.55,0.93,-1.63,1.19
-9028,10978,25.97,0.91,-1.65,0.994
-9411,11361,26.29,0.92,-1.42,1.1
-9794,11744,26.58,0.93,-1.35,0.95
-9931,11881,25.24,0.88,-1.19,1.36
-10069,12019,25.88,0.91,-1.12,1.48
-10274,12224,25.39,0.89,-1.33,1.5
-10480,12430,26.01,0.91,-1.72,1.2
-10696,12646,25.3,0.89,-1.23,1.06
-10769,12719,25.19,0.88,-0.95,0.97
-10985,12935,25.46,0.89,-0.98,1.08
-11201,13151,25.69,0.9,-1.61,1.11
-11346,13296,25.79,0.9,-1.21,1.17
-11490,13440,25.84,0.9,-0.97,1.24
-11706,13656,25.64,0.9,-1.09,1.56
-11923,13873,25.97,0.91,-1.07,1.35
-12067,14017,25.12,0.88,-1.04,1.68
-12211,14161,24.91,0.87,-1.11,1.44
-12428,14378,25.29,0.88,-1.22,NA
-12644,14594,25.4,0.89,-1.11,1.39
-12789,14739,25.51,0.89,-0.93,1.17
-12933,14883,25.28,0.88,-0.75,1.11
-13149,15099,26.05,0.91,-0.71,1.02
