year (AD),age (BP),d18O (permil)
672,1278,-8.58
589,1361,-8.24
505,1445,-8.29
409,1541,-8.5
312,1638,-8.15
133,1817,-8.28
48,1902,-8.17
6,1944,-8.53
-56,2006,-7.8
-117,2067,-7.89
-178,2128,-7.75
-232,2182,-8.38
-285,2235,-8.43
-339,2289,-8.25
-375,2325,-8.57
-411,2361,-8.68
-447,2397,-8.86
-483,2433,-8.85
-580,2530,-8.85
-628,2578,-8.64
-677,2627,-8.95
-762,2712,-8.69
-848,2798,-8.78
-978,2928,-8.91
-1036,2986,-9.05
-1095,3045,-8.83
-1280,3230,-9.33
-1424,3374,-8.73
-1482,3432,-8.99
-1541,3491,-8.72
-1599,3549,-8.13
-1670,3620,-8.43
-1741,3691,-9.34
-1863,3813,-8.66
-1922,3872,-8.73
-1981,3931,-8.15
-2042,3992,-8.36
-2102,4052,-9.14
-2163,4113,-9.44
-2224,4174,-9.54
-2441,4391,-9.62
-2657,4607,-9.65
-2781,4731,-9.82
-2871,4821,-9.88
-3001,4951,-9.07
-3062,5012,-9.18
-3123,5073,-8.96
-3184,5134,-8.33
-3257,5207,-8.84
-3404,5354,-8.68
-3538,5488,-8.62
-3605,5555,-8.79
-3643,5593,-8.34
-3681,5631,-8.57
-3719,5669,-8.42
-3757,5707,-9.04
-3795,5745,-9.08
-3891,5841,-8.87
-3987,5937,-9.16
-4060,6010,-9.33
-4133,6083,-9.3
-4205,6155,-9.7
-4263,6213,-9.66
-4320,6270,-9.09
-4377,6327,-8.94
-4436,6386,-8.95
-4495,6445,-9.01
-4553,6503,-8.7
-4600,6550,-8.82
-4647,6597,-8.71
-4694,6644,-8.82
-4741,6691,-9.3
-4811,6761,-8.9
-4880,6830,-9.01
-4950,6900,-9.43
-5022,6972,-10.16
-5046,6996,-9.47
-5063,7013,-9.74
-5081,7031,-9.45
-5099,7049,-9.03
-5117,7067,-9.19
-5162,7112,-9.1
-5179,7129,-8.94
-5195,7145,-9.33
-5211,7161,-8.63
-5258,7208,-9.11
-5269,7219,-8.59
-5281,7231,-8.95
-5293,7243,-8.22
-5304,7254,-8.5
-5315,7265,-8.4
-5338,7288,-7.88
-5357,7307,-7.71
-5376,7326,-7
-5395,7345,-7.53
-5410,7360,-7.95
-5426,7376,-7.77
-5444,7394,-8.39
-5462,7412,-8.11
-5475,7425,-8
-5489,7439,-8.77
-5502,7452,-8.18
-5623,7573,-8.4
-5743,7693,-8.1
-5771,7721,-7.78
-5810,7760,-7.85
-5851,7801,-7.82
-5893,7843,-7.35
-5941,7891,-7.59
-6002,7952,-7.9
-6041,7991,-8.14
-6265,8215,-8.32
-6346,8296,-8.41
-6397,8347,-8.01
-6468,8418,-7.86
-6519,8469,-7.85
-6590,8540,-8.29
-6654,8604,-8.36
-6706,8656,-8.7
-6755,8705,-8.91
-6805,8755,-8.74
-6847,8797,-8.63
-6886,8836,-8.83
-6950,8900,-8.77
-6995,8945,-8.74
-7056,9006,-8.51
-7123,9073,-8.64
-7191,9141,-8.91
-7260,9210,-9.06
-7309,9259,-9.36
-7353,9303,-9.29
-7417,9367,-9.92
-7488,9438,-9.38
-7554,9504,-9.61
-7629,9579,-10.47
-7682,9632,-10.32
-7731,9681,-10.05
-7803,9753,-9.28
-7914,9864,-8.64
-7956,9906,-8.46
-8006,9956,-8.8
-8046,9996,-8.36
-8520,10470,-8.07
-8600,10550,-8.92
-8660,10610,-8.9
-8700,10650,-8.94
-8750,10700,-9.37
-8830,10780,-9.99
-8860,10810,-9.74
-8920,10870,-9.56
