year (AD),age (BP),d18O (permil)
2002,-52,-6.26
1995.7,-45.7,-6.51
1988.9,-38.9,-6.59
1981,-31,-5.93
1970.8,-20.8,-6.35
1960.4,-10.4,-6.14
1949.9,0.1,-6.1
1939.4,10.6,-6.3
1928.7,21.3,-6.33
1918.1,31.9,-6.23
1907.4,42.6,-6.24
1897.4,52.6,-6.33
1887.6,62.4,-6.39
1878,72,-6.12
1868.5,81.5,-6.15
1859.3,90.7,-6.14
1850.2,99.8,-6.07
1841.3,108.7,-6.44
1832.3,117.7,-6.61
1823.4,126.6,-6.17
1814.4,135.6,-6.31
1805.3,144.7,-6.03
1796.6,153.4,-6.17
1787.9,162.1,-6.29
1779.1,170.9,-6.19
1770.3,179.7,-6.29
1761.2,188.8,-6.01
1752.1,197.9,-5.9
1742.9,207.1,-5.9
1733.7,216.3,-6.1
1724.5,225.5,-5.95
1715.2,234.8,-6.13
1705.6,244.4,-5.99
1695.8,254.2,-5.86
1685.8,264.2,-6.08
1675.7,274.3,-6.22
1665.7,284.3,-6.3
1655.1,294.9,-6.02
1644.7,305.3,-5.99
1634.2,315.8,-6
1623.5,326.5,-6.08
1612.2,337.8,-6.26
1600.6,349.4,-6.8
1588.9,361.1,-6.68
1577,373,-6.6
1565,385,-6.47
1552.8,397.2,-6.43
1540.6,409.4,-6.66
1528.8,421.2,-6.44
1517.1,432.9,-6.42
1506,444,-6.47
1495.1,454.9,-6.19
1484.4,465.6,-6.26
1473.9,476.1,-6.32
1463.4,486.6,-6.17
1452.9,497.1,-6.26
1442.5,507.5,-6.1
1432.1,517.9,-6.2
1421.9,528.1,-6.17
1411.6,538.4,-6.2
1401.1,548.9,-6.19
1391.1,558.9,-6.11
1381,569,-6.07
1371.3,578.7,-6.02
1361.5,588.5,-5.9
1351.7,598.3,-6.06
1341.7,608.3,-6.04
1331.6,618.4,-5.94
1321.4,628.6,-5.96
1311.2,638.8,-6.06
1300.7,649.3,-6.14
1290.1,659.9,-6.29
1279.2,670.8,-5.89
1268.2,681.8,-6.23
1256.9,693.1,-6.51
1245.5,704.5,-6.62
1234,716,-6.2
1222.3,727.7,-6.15
1209.7,740.3,-6.3
1197.2,752.8,-6.1
1184.9,765.1,-6.35
1172.6,777.4,-6.26
1160.5,789.5,-6.3
1145.5,804.5,-6.3
1129.4,820.6,-5.92
1110.9,839.1,-6.1
1092,858,-6.26
1073.4,876.6,-6.34
1054.9,895.1,-6.27
1037.2,912.8,-6.37
1019.7,930.3,-6.41
1003,947,-6.36
986.4,963.6,-6.18
969.8,980.2,-6.39
953.3,996.7,-6.29
936.6,1013.4,-6.28
919.8,1030.2,-6.29
902.8,1047.2,-6.34
885.3,1064.7,-6.31
867.8,1082.2,-6.52
848.6,1101.4,-6.46
829.3,1120.7,-6.3
809.4,1140.6,-6.42
791.9,1158.1,-6.34
779,1171,-6.41
768.3,1181.7,-6.23
759.6,1190.4,-6.28
751.5,1198.5,-6.39
743.7,1206.3,-6.2
736.2,1213.8,-6.37
728.8,1221.2,-6.56
721.6,1228.4,-6.4
714.5,1235.5,-6.45
707.4,1242.6,-6.4
700.4,1249.6,-6.42
693.5,1256.5,-6.32
686.6,1263.4,-6.23
679.6,1270.4,-6.38
672.9,1277.1,-6.35
666.3,1283.7,-6.04
659.8,1290.2,-5.97
653.2,1296.8,-6.04
646.8,1303.2,-6.15
640.4,1309.6,-5.9
633.7,1316.3,-6.15
627,1323,-6.05
620.3,1329.7,-5.99
613.7,1336.3,-5.98
607,1343,-6.02
600.3,1349.7,-6.2
593.7,1356.3,-6.34
587.2,1362.8,-6.37
580.7,1369.3,-6.18
574.3,1375.7,-6.18
567.9,1382.1,-6.1
561.4,1388.6,-6.2
554.9,1395.1,-6.33
548.4,1401.6,-6.01
541.9,1408.1,-5.9
534.9,1415.1,-5.96
527.9,1422.1,-5.74
521,1429,-5.86
514,1436,-6.11
507,1443,-6.23
499.8,1450.2,-6.15
492.6,1457.4,-6.17
485.1,1464.9,-6.26
477.4,1472.6,-6.15
469.6,1480.4,-6.18
461.8,1488.2,-5.92
453.5,1496.5,-5.97
445.5,1504.5,-6.03
438.5,1511.5,-6.39
432,1518,-6.19
426.7,1523.3,-5.99
421.7,1528.3,-6.83
417,1533,-6.21
412.7,1537.3,-5.98
408.5,1541.5,-6.3
404.5,1545.5,-6.32
400.6,1549.4,-5.87
396.9,1553.1,-5.91
393.4,1556.6,-5.97
389.9,1560.1,-5.89
386.4,1563.6,-6.12
382.9,1567.1,-5.92
379.4,1570.6,-6.13
376,1574,-6.15
372.6,1577.4,-6.18
369.2,1580.8,-5.91
366,1584,-6.18
362.8,1587.2,-6.18
359.5,1590.5,-6.23
356.1,1593.9,-6.28
352.8,1597.2,-5.93
349.5,1600.5,-6.01
346.1,1603.9,-6.04
