depth (m),age (BP),temperature (degC),dD (permil)
0,0,0,-400.2
1,3.787,-0.238,-403.067
2,9.073,-0.713,-405.933
3,15.239,-1.188,-408.8
4,21.809,-0.959,-403.162
5,28.349,-0.024,-397.523
6,34.784,0.911,-391.885
7,41.068,1.846,-386.247
8,47.273,2.535,-383.579
9,53.72,2.403,-387.84
10,60.659,1.696,-392.102
11,68.109,0.99,-396.364
12,76.074,0.319,-400.189
13,84.368,0.011,-400.078
14,92.803,0.029,-399.968
15,101.371,0.048,-399.857
16,110.063,0.066,-399.747
17,118.875,0.084,-399.636
18,127.798,0.103,-399.525
19,136.849,0.087,-399.828
20,146.052,0.026,-400.254
21,155.409,-0.044,-400.68
22,164.918,-0.115,-401.106
23,174.576,-0.186,-401.532
24,184.356,-0.219,-401.505
25,194.189,-0.15,-400.709
26,204.027,-0.018,-399.912
27,213.867,0.114,-399.115
28,223.706,0.245,-398.319
29,233.584,0.312,-398.309
30,243.573,0.27,-398.823
31,253.701,0.184,-399.337
32,263.967,0.098,-399.852
33,274.37,0.013,-400.366
34,284.91,-0.073,-400.88
35,295.587,-0.159,-401.395
36,306.405,-0.251,-401.989
37,317.37,-0.35,-402.585
38,328.481,-0.449,-403.18
39,339.738,-0.548,-403.775
40,351.142,-0.647,-404.37
41,362.683,-0.734,-404.811
42,374.268,-0.704,-404.004
43,385.815,-0.57,-403.197
44,397.323,-0.437,-402.39
45,408.789,-0.304,-401.583
46,420.214,-0.17,-400.776
47,431.596,-0.037,-399.969
48,443.011,-0.003,-400.364
49,454.556,-0.096,-401.079
50,466.253,-0.214,-401.793
51,478.103,-0.333,-402.507
52,490.106,-0.452,-403.221
53,502.175,-0.463,-402.637
54,514.192,-0.331,-401.62
55,526.126,-0.163,-400.603
56,537.978,0.005,-399.586
57,549.747,0.172,-398.586
58,561.471,0.294,-398.117
59,573.184,0.371,-397.649
60,584.884,0.448,-397.18
61,596.572,0.525,-396.712
62,608.245,0.603,-396.243
63,619.905,0.68,-395.775
64,631.548,0.758,-395.295
65,643.175,0.837,-394.813
66,654.784,0.917,-394.331
67,666.374,0.996,-393.849
68,678.036,0.961,-394.755
69,689.901,0.758,-396.283
70,702.016,0.504,-397.812
71,714.384,0.25,-399.341
72,727.013,-0.004,-400.869
73,739.812,-0.15,-401.103
74,752.688,-0.187,-401.31
75,765.638,-0.222,-401.517
76,778.663,-0.257,-401.724
77,791.762,-0.292,-401.932
78,804.922,-0.311,-401.952
79,818.12,-0.307,-401.88
80,831.351,-0.296,-401.808
81,844.613,-0.284,-401.736
82,857.906,-0.273,-401.663
83,871.231,-0.261,-401.591
84,884.586,-0.25,-401.519
85,897.971,-0.238,-401.447
86,911.386,-0.227,-401.375
87,924.83,-0.216,-401.303
88,938.302,-0.204,-401.231
89,951.805,-0.193,-401.159
90,965.335,-0.181,-401.087
91,978.894,-0.17,-401.015
92,992.48,-0.158,-400.943
93,1006.09,-0.147,-400.871
94,1019.73,-0.136,-400.799
95,1033.4,-0.124,-400.727
96,1047.1,-0.113,-400.655
97,1060.82,-0.101,-400.583
98,1074.56,-0.09,-400.511
99,1088.34,-0.078,-400.438
100,1102.13,-0.067,-400.366
101,1115.96,-0.056,-400.294
102,1129.8,-0.044,-400.222
103,1143.68,-0.033,-400.15
104,1157.57,-0.021,-400.078
105,1171.49,-0.01,-400.006
106,1185.44,0.002,-399.934
107,1199.41,0.013,-399.862
108,1213.4,0.024,-399.79
109,1227.42,0.036,-399.718
110,1241.45,0.047,-399.646
111,1255.51,0.059,-399.574
112,1269.6,0.07,-399.502
113,1283.7,0.082,-399.43
114,1297.83,0.093,-399.358
115,1311.98,0.104,-399.286
116,1326.15,0.116,-399.213
117,1340.34,0.127,-399.141
118,1354.56,0.139,-399.069
119,1368.79,0.15,-398.997
120,1383.05,0.161,-398.925
121,1397.29,0.215,-398.348
122,1411.44,0.333,-397.497
123,1425.71,0.248,-399.367
124,1440.43,-0.184,-402.7
125,1455.45,-0.447,-402.529
126,1470.33,-0.276,-400.631
127,1485.27,-0.308,-402.906
128,1500.78,-0.82,-406.803
129,1517.02,-1.467,-410.7
130,1533.49,-1.637,-408.847
131,1549.65,-1.331,-406.995
132,1565.5,-1.024,-405.142
133,1581.06,-0.717,-403.29
134,1596.33,-0.411,-401.437
135,1611.49,-0.274,-401.637
136,1626.79,-0.378,-402.676
137,1642.3,-0.55,-403.714
138,1658.02,-0.723,-404.752
139,1673.9,-0.84,-405.114
140,1689.72,-0.756,-403.737
141,1705.33,-0.529,-402.36
142,1720.73,-0.301,-400.983
143,1735.92,-0.073,-399.605
144,1750.91,0.155,-398.228
145,1765.69,0.383,-396.851
146,1780.39,0.493,-396.889
147,1795.21,0.408,-397.871
148,1810.22,0.245,-398.853
149,1825.42,0.081,-399.835
150,1840.82,-0.082,-400.817
151,1856.43,-0.246,-401.799
152,1872.26,-0.427,-402.999
153,1888.35,-0.645,-404.424
154,1904.73,-0.882,-405.85
155,1921.42,-1.119,-407.276
156,1938.4,-1.357,-408.702
157,1955.63,-1.533,-409.393
158,1972.89,-1.544,-408.834
159,1990.08,-1.452,-408.275
160,2007.2,-1.36,-407.715
161,2024.23,-1.268,-407.156
162,2041.19,-1.176,-406.597
163,2058.06,-1.076,-405.942
