age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),rejected_dates (),material_dated (),note ()
-58,0,0,0,NA,NA,NA,NA,0,2,NA,NA,NA,2
NA,20,215,185,1890,40,1920,1720,30,1,6,NA,1,NA
NA,37,385,355,3850,50,4420,4100,30,1,1,NA,1,NA
NA,57,585,555,7970,50,9010,8630,30,1,2,1,1,1
NA,55.5,570,540,4940,40,5740,5600,30,1,3,NA,4,NA
NA,75.5,770,740,5820,40,6730,6500,30,1,4,NA,3,NA
NA,75.5,770,740,5650,50,6540,6310,30,1,5,NA,2,NA
