depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing)
1,31.369,9.785,10.772,8.798
10,313.69,8.699,9.74,7.658
20,627.38,9.696,10.698,8.693
30,941.07,9.164,10.189,8.139
40,1254.76,9.248,10.299,8.198
47,1474.343,9.411,10.43,8.392
52,1631.188,9.331,10.356,8.306
59.1,1975.869,9.216,10.25,8.181
60.1,2026.003,9.057,10.076,8.037
62.2,2131.285,8.958,10.012,7.904
67.2,2381.955,8.637,9.728,7.546
69.2,2482.223,9.159,10.268,8.049
72.3,2637.638,8.827,9.941,7.712
76.877,2867.123,8.624,9.692,7.556
79.4,2993.59,8.51,9.62,7.4
86.89,3369.109,8.924,9.971,7.877
89.4,3494.93,9.036,10.085,7.987
91.897,3621.673,8.712,9.76,7.663
94.4,3749.11,8.926,9.96,7.891
96.903,3876.546,9.008,10.096,7.921
100,4034.2,9.201,10.208,8.195
103.2,4197.109,9.295,10.325,8.266
106.916,4386.293,8.189,9.225,7.152
109.6,4522.926,9.299,10.337,8.261
113.6,4726.562,9.095,10.109,8.08
116.929,4896.04,9.393,10.413,8.373
126.942,5405.787,9.429,10.422,8.436
136.955,5915.534,9.821,10.849,8.793
144.5,6299.65,9.422,10.439,8.406
149.5,6701.668,10.14,11.142,9.137
151.974,6906.935,9.515,10.51,8.519
156.981,7322.285,9.739,10.781,8.697
160.5,7614.261,9.332,10.347,8.317
166.994,8152.986,9.47,10.497,8.442
168.3,8261.373,9.264,10.297,8.232
170,8402.41,8.833,9.878,7.788
171,8485.373,8.589,9.606,7.572
177,8983.151,8.939,9.981,7.896
180.1,9240.336,8.363,9.421,7.305
182.869,9470.08,8.175,9.242,7.107
184.5,9605.373,9.188,10.262,8.115
187.877,9837.854,9.461,10.488,8.434
189.3,9928.575,8.822,9.889,7.755
192.885,10157.094,8.664,9.689,7.64
197.892,10476.335,9.397,10.417,8.376
207.908,11114.815,8.149,9.265,7.033
217.923,11787.775,8.615,9.661,7.568
239.957,14624.853,9.955,11.029,8.88
240.958,14753.812,9.659,10.751,8.567
245.6,15351.456,9.379,10.398,8.36
248,15656.518,9.39,10.416,8.365
249.572,15862.851,8.612,9.634,7.59
