depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
11,Carbon-14,109577,60,710,NA,NA
41,Carbon-14,109578,50,3320,NA,NA
61,Carbon-14,109579,70,3900,NA,NA
