depth (cm),age (yrBP),notes (NA),error (yr),Material (NA),age type (NA)
42.25,471,has deth range of 442-5,NA,tephra,tephra
115,2245,NA,70,cone bract,AMS14C
173,4020,NA,100,wood,AMS14C
223,4800,NA,60,Abies wood,AMS14C
330,7627,has depth range 287-373,NA,tephra,tephra
420,8350,NA,80,bark,AMS14C
475,9950,NA,120,pinus needle,AMS14C
