depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1]
0,-51.005,12.477,0,-51.005,12.745
4,-11.666,12.286,4,-11.666,13.341
8,30.752,12.254,8,30.752,13.535
12,74.125,11.9,12,74.125,13.386
16,118.951,11.918,16,118.951,13.659
20,165.727,12.5,28,267.113,12.687
22,190.001,12.161,37,397.795,12.014
26,240.632,11.521,45,531.712,13.162
30,294.454,12.365,52,662.889,13.252
34,351.964,12.66,60,828.863,12.58
38,413.604,12.288,68,1012.027,12.661
42,479.496,12.227,76,1212.443,12.589
46,549.65,12.181,84,1430.177,12.728
50,624.074,11.997,92,1665.544,13.285
54,702.775,11.707,100,1919.437,13.242
58,785.761,12.609,108,2192.829,12.198
62,873.04,12.859,116,2486.695,12.745
66,964.621,13.17,124,2802.008,12.813
70,1060.511,12.949,132,3139.74,12.761
74,1160.718,13.17,136,3317.139,12.693
78,1265.25,12.806,140,3499.925,12.635
82,1374.116,12.76,144,3687.795,13.151
86,1487.336,12.899,148,3880.445,13.243
90,1605.004,12.671,152,4077.572,12.912
94,1727.243,13.25,156,4278.872,13.003
98,1854.174,13.302,160,4484.044,12.517
102,1985.919,11.62,164,4692.783,12.451
106,2122.6,13.579,168,4904.787,13.591
110,2264.338,11.934,172,5119.752,13.383
114,2411.256,12.548,176,5337.375,13.273
118,2563.474,12.862,184,5779.301,13.45
122,2721.116,13.601,192,6227.153,13.525
126,2884.302,13.23,196,6452.065,13.636
130,3053.154,12.945,200,6676.973,13.397
134,3227.747,12.811,204,6901.38,12.767
138,3407.878,12.998,208,7124.783,12.702
142,3593.244,12.881,212,7346.672,12.809
146,3783.541,12.143,216,7566.539,12.102
150,3978.468,13.14,220,7783.874,11.96
154,4177.719,12.586,224,7998.189,11.637
158,4380.993,13.161,228,8209.008,12.315
162,4587.987,12.662,232,8415.996,11.789
166,4798.396,13.79,236,8619.207,11.839
170,5011.918,13.367,240,8818.759,11.994
174,5228.25,14.071,244,9014.772,10.925
178,5447.089,13.162,248,9207.364,11.686
182,5668.11,13.645,252,9396.652,12.755
186,5890.862,12.937,256,9582.753,12.011
190,6114.851,12.879,260,9765.785,11.284
194,6339.579,13.729,264,9945.863,11.847
198,6564.551,13.882,272,10297.63,10.58
202,6789.27,13.344,276,10469.552,12.488
206,7013.239,13.153,280,10638.99,11.552
210,7235.949,12.523,288,10970.879,8.866
214,7456.89,13.458,NA,NA,NA
218,7675.554,13.269,NA,NA,NA
222,7891.439,13.318,NA,NA,NA
226,8104.065,12.137,NA,NA,NA
230,8312.982,13.4,NA,NA,NA
234,8518.066,12.74,NA,NA,NA
238,8719.432,12.108,NA,NA,NA
242,8917.2,13.313,NA,NA,NA
246,9111.488,11.71,NA,NA,NA
250,9302.413,12.064,NA,NA,NA
254,9490.094,11.619,NA,NA,NA
258,9674.645,11.669,NA,NA,NA
262,9856.186,12.274,NA,NA,NA
266,10034.832,10.711,NA,NA,NA
270,10210.701,10.847,NA,NA,NA
274,10383.909,10.846,NA,NA,NA
278,10554.574,10.545,NA,NA,NA
282,10722.814,10.723,NA,NA,NA
286,10888.744,10.12,NA,NA,NA
290,11052.481,10.009,NA,NA,NA
292,11133.565,9.81,NA,NA,NA
294,11214.144,9.087,NA,NA,NA
296,11294.234,9.632,NA,NA,NA
298,11373.849,10.212,NA,NA,NA
300,11453.003,8.082,NA,NA,NA
302,11531.712,8.111,NA,NA,NA
