year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
1180,770,453.789,11.2,0.429,189.52
1110,840,893.91,12,0.453,70.743
1020,930,990.996,11.2,0.429,132.532
930,1020,1085.395,11.4,0.435,164.47
850,1100,1179.233,11.6,0.441,183.839
760,1190,1272.714,11.8,0.447,194.524
670,1280,1365.906,10.9,0.42,197.972
590,1360,1458.826,11.6,0.441,194.586
500,1450,1551.456,11.4,0.435,183.993
410,1540,1643.73,11.7,0.444,164.801
330,1620,1735.442,11.2,0.429,133.284
240,1710,1824.468,11.7,0.444,73.883
100,1850,1970.7,11,0.423,156.249
-50,2000,2113.646,11.8,0.447,197.236
-200,2150,2255.907,11,0.423,221.823
-340,2290,2397.731,11.5,0.438,235.299
-490,2440,2539.201,11.3,0.432,239.593
-640,2590,2680.339,11.5,0.438,235.247
-790,2740,2821.124,11,0.423,221.79
-930,2880,2961.471,11.2,0.429,197.422
-1080,3030,3101.132,11.1,0.426,157.257
-1230,3180,3237.508,11.4,0.435,81.674
-1320,3270,3334.482,11.3,0.432,138.214
-1420,3370,3428.832,11.3,0.432,173.871
-1510,3460,3522.692,10.9,0.42,199.803
-1600,3550,3616.273,11.5,0.438,219.455
-1690,3640,3709.655,11.4,0.435,234.402
-1780,3730,3802.878,11.5,0.438,245.502
-1870,3820,3895.967,11.7,0.444,253.257
-1960,3910,3988.933,11.5,0.438,257.969
-2050,4000,4081.784,11.4,0.435,259.804
-2150,4100,4174.523,11.4,0.435,258.822
-2240,4190,4267.146,12.1,0.456,254.992
-2330,4280,4359.647,11.6,0.441,248.185
-2420,4370,4452.013,11.2,0.429,238.147
-2510,4460,4544.221,11.5,0.438,224.452
-2600,4550,4636.231,11.2,0.429,206.381
-2690,4640,4727.96,11.6,0.441,182.659
-2780,4730,4819.2,11.7,0.444,150.699
-2880,4830,4907.815,11.6,0.441,103.963
-3080,5030,5112.539,11.8,0.447,169.9
-3180,5130,5212.691,11.8,0.447,182.81
-3280,5230,5312.373,11.5,0.438,186.611
-3380,5330,5411.63,11.6,0.441,181.768
-3480,5430,5510.416,11.5,0.438,167.414
-3580,5530,5608.519,11.3,0.432,140.455
-3680,5630,5703.57,11.5,0.438,88.308
-3770,5720,5796.136,11.2,0.429,143.374
-3860,5810,5886.222,11.7,0.444,179.023
-3950,5900,5975.863,11.3,0.432,206.142
-4040,5990,6065.259,11.9,0.45,227.853
-4120,6070,6154.487,11.9,0.45,245.617
-4210,6160,6243.586,11.7,0.444,260.255
-4300,6250,6332.581,11.3,0.432,272.28
-4390,6340,6421.487,11.4,0.435,282.033
-4470,6420,6510.313,12.7,0.474,289.746
-4560,6510,6599.068,11.8,0.447,295.584
-4650,6600,6687.754,12.2,0.459,299.66
-4740,6690,6776.376,11.8,0.447,302.047
-4820,6770,6864.936,12.8,0.477,302.789
-4910,6860,6953.433,12.3,0.462,301.901
-5000,6950,7041.867,11.6,0.441,299.37
-5090,7040,7130.237,12.1,0.456,295.158
-5170,7120,7218.539,11.8,0.447,289.194
-5260,7210,7306.769,12.5,0.468,281.37
-5350,7300,7394.92,11.7,0.444,271.531
-5440,7390,7482.981,12.3,0.462,259.453
-5520,7470,7570.938,13,0.483,244.812
-5610,7560,7658.766,12.5,0.468,227.125
-5700,7650,7746.427,12.4,0.465,205.624
-5790,7740,7833.842,12.8,0.477,178.978
-5870,7820,7920.813,12.7,0.474,144.473
-5960,7910,8005.303,12.5,0.468,95.284
-6050,8000,8094.851,12.2,0.459,139.981
-6140,8090,8181.716,12.1,0.456,169.749
-6220,8170,8268.06,12.3,0.462,190.885
-6310,8260,8354.097,12.1,0.456,205.966
-6400,8350,8439.906,12.3,0.462,216.219
-6480,8430,8525.524,12.5,0.468,222.285
-6570,8520,8610.971,12.1,0.456,224.48
-6660,8610,8696.251,13,0.483,222.901
-6830,8780,8866.276,12.7,0.474,207.78
-7010,8960,9035.348,12.5,0.468,172.573
-7090,9040,9119.21,12.9,0.48,142.988
-7180,9130,9200.388,12,0.453,95.218
-7210,9160,9228.624,11.9,0.45,107.457
-7240,9190,9255.61,13,0.483,116.381
-7260,9210,9282.346,11.9,0.45,123.034
-7290,9240,9308.931,14.8,0.537,127.817
-7310,9260,9335.401,12.4,0.465,130.959
-7340,9290,9361.771,12.8,0.477,132.595
-7390,9340,9414.222,12,0.453,131.585
-7410,9360,9440.288,12.3,0.462,128.941
-7440,9390,9466.212,12.2,0.459,124.803
-7460,9410,9491.917,12.5,0.468,119.071
-7520,9470,9558.439,12.5,0.468,126.806
-7550,9500,9602.703,12.2,0.459,143.605
-7580,9530,9646.582,12.7,0.474,156.978
-7610,9560,9690.258,11.9,0.45,167.705
-7640,9590,9733.795,12.1,0.456,176.251
-7670,9620,9777.227,12.6,0.471,182.917
