depth (cm),age (BP),SBT (degC)
0,-43,7.763
1,-32.72,7.309
2.5,-17.3,8.66
3.5,-7.02,8.074
4.5,3.26,8.377
5.5,13.54,8.787
6.5,23.82,8.548
7.5,34.1,8.353
8.5,44.38,8.477
9.5,54.66,8.337
10.5,64.94,8.511
12.5,85.5,8.869
14.5,106.06,8.506
16.5,126.62,8.237
18.5,147.18,8.852
2,167,8.045
20.5,167.74,8.209
25.5,219.14,9.367
5,252.33,7.321
30.5,270.54,9.205
35.5,321.94,8.896
8,337.67,8.173
40.5,373.34,9.03
45.5,424.74,8.727
12,444.94,8.168
50.5,476.14,8.599
15,510.77,8.238
19,598.55,8.518
23,686.32,8.603
27,774.09,8.895
29,817.98,8.767
33,905.75,8.595
37,993.53,8.621
39,1116.3,9.31
43,1414.3,9.122
45,1563.2,8.696
47,1712.2,8.007
49,1784.4,8.159
53,1877.3,8.701
55,1923.8,9.033
59,2016.8,8.303
63,2109.8,7.85
67,2202.7,8.722
73,2342.2,9.111
79,2481.7,8.03
85,2621.1,8.447
89,2714.1,8.505
95,2853.6,8.618
99,2946.5,8.296
105,3086,9.05
109,3179,9.004
113,3271.9,9.487
117,3364.9,8.675
119,3411.4,8.821
123,3504.4,8.666
125,3610.4,9.272
127,3736.2,9.103
129,3862,9.385
133,4113.7,10.111
135,4239.5,10.042
137,4365.3,9.642
139,4491.1,10.051
145,4868.6,8.961
149,5120.3,9.904
150,5183.2,9.418
153,5371.9,9.348
155,5497.7,9.248
157,5623.6,9.545
159,5749.4,9.406
160,5812.3,8.939
163,6001,9.283
165,6100.6,9.308
167,6191.4,9.448
169,6282.3,9.049
170,6327.7,9.334
173,6463.9,9.424
175,6554.7,9.607
177,6645.6,9.764
183,6918,9.357
185,7008.9,9.472
187,7099.7,9.397
189,7190.5,9.425
190,7235.9,9.806
193,7372.1,9.634
195,7463,9.269
197,7553.8,8.745
199,7610.4,9.115
203,7700.7,9.259
205,7745.9,8.763
207,7791.1,8.771
210,7858.8,8.281
213,7926.6,9.085
215,7971.7,8.953
219,8062.1,8.437
223,8152.4,8.499
225,8197.6,7.812
227,8242.7,7.981
235,8423.4,7.866
243,8604.1,8.319
247,8694.4,8.606
249,8739.6,8.389
253,8830,8.805
255,8875.1,8.591
259,8965.5,7.922
263,9055.8,8.206
267,9146.1,7.795
269,9191.3,8.439
273,9281.6,7.677
279,9417.2,8.136
283,9507.5,8.101
287,9597.8,8.485
293,9733.3,8.188
299,9868.9,7.497
309,10095,7.814
363,10330,7.205
387,10410,7.114
395,10488,7.44
449,10591,6.963
467,10707,6.545
479,10783,6.794
493,10873,7.361
507,10963,7.225
523,11065,6.261
543,11158,7.945
565,11242,8.477
589,11333,3.324
