depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil),depth (m),age (BP),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d18O (permil),d18O (permil),depth (m),temperature (degC),temperature (degC),uncertainty.temperature (degC),uncertainty.temperature (degC),depth (m),age (BP),temperature (degC)
0.155,567,11.8,0.01,483,2.37,0.59,0,510,11.1,0.045,529,11.7,0.035,525,1.28,1.79,3.39,6.405,5.4,9.9,0.9,0.8,0.035,536,12.68
0.195,581,12.8,0.2,617,2.19,0.28,0.02,520,11,0.095,547,11.3,0.045,529,1.33,2.38,4.16,6.605,5.3,9.8,0.8,1.1,0.045,540,12.65
0.245,600,12.5,0.41,752,2.09,0.27,0.05,530,11.3,0.145,566,11.8,0.055,533,1.82,2.68,4.01,6.805,5.2,9.8,0.7,0.8,0.055,545,12.4
0.295,618,12.8,0.6,886,2.13,0.25,0.07,540,11.3,0.195,584,11.7,0.065,536,1.41,2.15,4.15,7.005,0.1,3.3,0.9,2.2,0.065,549,12.63
0.355,641,12.7,0.81,1108,2.18,0.43,0.1,550,11.2,0.245,603,11.9,0.075,540,1.58,2.11,3.93,7.205,-0.5,1.8,0.9,2.1,0.075,553,12.77
0.415,663,12.3,1,1417,1.97,0.09,0.12,560,11.2,0.295,621,11.4,0.085,544,1.53,1.76,3.8,7.405,0.1,3.5,1,2.2,0.085,558,12.95
0.445,674,12.6,1.21,1726,2.16,0.14,0.15,570,10.9,0.345,640,10.4,0.095,547,1.5,1.78,3.75,7.555,-0.2,2.5,1.2,2.6,0.095,562,12.76
0.495,711,11.1,1.41,1950,2.22,0.39,0.17,580,11.1,0.395,659,11.9,0.105,551,1.23,1.63,3.73,7.605,0.9,4.6,1,2.1,0.105,567,12.54
0.555,788,13,1.6,2090,2.21,0.21,0.22,600,11.2,0.445,678,11.9,0.115,555,1.25,1.58,3.72,7.655,0.1,3.5,1.5,2.4,0.115,572,12.65
0.595,839,12.7,1.8,2310,2.31,0.5,0.25,610,11.1,0.495,715,11.9,0.125,558,1.17,1.81,3.9,7.705,-0.2,2.7,1.1,2.6,0.135,581,12.01
0.655,917,12.1,2,2610,2.04,0.28,0.27,610,11.1,0.545,780,11.5,0.135,562,1.33,2.21,3.66,7.755,0.1,3.2,1.3,2.7,0.145,586,12.78
0.695,968,12,2.21,2910,2.19,0.22,0.32,630,11.2,0.595,844,11.7,0.145,566,1.26,1.71,4.14,7.805,0,3.1,1.1,2.3,0.155,590,12.42
0.755,1026,11.7,2.4,3210,2.09,0.32,0.35,640,11.1,0.645,909,10.6,0.155,570,1.06,2.01,4.07,7.855,0.5,4,0.7,1.3,0.175,600,12.71
0.815,1080,11.6,2.6,3510,2.27,0.58,0.37,650,11.4,0.695,974,10.6,0.165,573,1.21,2.03,3.95,7.905,-0.5,1.8,0.9,2.1,0.185,605,12.06
0.855,1116,10.9,2.81,3810,2.19,0.38,0.4,660,11.3,0.745,1023,11.5,0.175,577,1.23,1.78,4.03,7.955,-0.5,1.8,0.9,2.1,0.195,610,11.98
0.905,1164,11.9,3,4110,2.14,0.44,0.42,670,11.6,0.855,1123,11.9,0.185,581,1.35,1.9,4.02,8.005,-0.5,1.8,0.9,2.1,0.205,616,12.16
0.955,1225,11.1,3.21,4410,2.08,0.36,0.45,680,10.9,0.915,1183,9,0.195,584,0.98,1.98,4.05,8.055,-0.1,2.9,0.8,2,0.215,621,12.27
1.015,1298,11.4,3.4,4733,2.16,0.47,0.46,690,11.5,0.975,1257,11.3,0.205,588,1.54,2.1,3.87,8.105,0.3,3.9,0.7,1.6,0.225,626,12.11
