distance from base (mm),230Th/238U (unitless),error_230Th/238U (unitless),234U/238U (unitless),error_234U/238U (unitless),232Th/238U (unitless),error_232Th/238U (unitless),238U(ng/g) (unitless),error_238U(ng/g) (unitless),232Th(ng/g) (unitless),error_232Th(ng/g) (unitless),age_uncorrected (yr BP),age_uncorrected (yr),age_corrected (yr BP),error_age_corrected (yr)
142.55,0.02,0.002,1.05,0.004,0.01,0,215,1.2,6.65,0.01,2120,200,1240,90
119.38,0.054,0.002,1.052,0.006,0.012,0,266,4,9.75,0.02,5790,170,4710,230
102.59,0.096,0.001,1.043,0.005,0.007,0,315,0.7,6.63,0.17,7530,120,6900,120
84.72,0.074,0.001,1.048,0.004,0.004,0,195,1.3,2.4,0.01,7990,140,7620,220
68.32,0.078,0.002,1.068,0.003,0.003,0,317,1,2.88,0.09,8240,210,7970,330
65.14,0.078,0.001,1.044,0.002,0.002,0,272,1,1.72,0.03,8440,130,8250,210
16.19,0.094,0.001,1.046,0.003,0.002,0,252,0.6,1.79,0.04,10250,140,10030,270
13.99,0.099,0.002,1.068,0.011,0.029,0,220,4,1.98,0.01,10660,250,10360,280
0,0.103,0.003,1.045,0.002,0.003,0,318,2.1,2.5,0.2,11270,310,11020,520
