age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (unitless),lab_id (unitless),material_dated (unitless),rejected_dates (unitless),note (unitless)
-47,NA,0,NA,NA,NA,NA,NA,NA,2,8,NA,NA,1
NA,35,340,360,1490,40,1302,1420,20,1,1,1,1,2
NA,70,690,710,2440,40,2355,2547,20,1,2,1,NA,NA
NA,106.5,1060,1070,3570,40,3816,3978,10,1,5,1,NA,NA
NA,151,1490,1530,5350,50,5996,6221,40,1,6,1,NA,NA
NA,222,2210,2230,9540,80,10652,11162,20,1,3,1,NA,NA
NA,257.5,2560,2590,9650,70,10767,11202,30,1,7,2,NA,NA
NA,279.5,2780,2810,11120,90,12889,13189,30,1,4,1,NA,NA
