depth (cm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),age_type (),lab_id (),material_dated (),note (),rejected_dates ()
2.5,675,30,360,277,1,20,1,NA,NA
34,693,38,385,290,1,3,5,NA,NA
101.5,1267,44,875,761,1,16,6,NA,NA
150,1627,46,1250,1146,1,17,4,NA,NA
368,3451,39,3381,3280,1,18,4,NA,NA
564,4899,55,5299,5125,1,4,9,NA,NA
771,6115,65,6626,6467,1,5,10,NA,NA
1073,8000,300,8883,8170,1,6,7,NA,NA
1298,8609,67,9385,9189,1,2,8,NA,NA
1393,8877,62,9595,9466,1,7,8,NA,NA
1432,8999,61,9755,9552,1,8,2,NA,NA
1516,9108,65,9999,9716,1,9,7,NA,NA
1807,9514,81,10466,10273,1,10,7,NA,NA
1908,9747,76,10692,10519,1,11,7,NA,NA
2006,9803,64,10751,10567,1,12,7,NA,NA
2140,10034,69,11143,10921,1,13,7,NA,NA
2342,10293,77,11375,11180,1,14,7,NA,NA
2436,10442,82,11706,11345,1,15,8,NA,NA
2542,10480,110,11851,11365,1,19,3,NA,NA
2636,11125,80,12835,12707,1,1,3,1,1
