year (AD),age (BP),temperature (degC)
1950,0,17.97
1626,324,17.59
1270,680,17.88
946,1004,17.97
622,1328,17.85
265,1685,17.65
-59,2009,17.71
-383,2333,18.06
-707,2657,17.65
-1063,3013,17.91
-1387,3337,18.09
-1711,3661,18
-2068,4018,17.82
-2392,4342,17.94
-2716,4666,18.29
-3072,5022,18.41
-3396,5346,18.56
-3720,5670,18.74
-4076,6026,18.5
-4400,6350,18.35
-4660,6610,18.47
-4886,6836,18.74
-5113,7063,18.44
-5372,7322,18.5
-5599,7549,18.71
-5826,7776,19.06
-6085,8035,18.41
-6434,8384,18.38
-6764,8714,18.29
-7142,9092,19.15
-7520,9470,19.03
-7946,9896,18.74
-8324,10274,18.44
-8749,10699,17.88
-9127,11077,16.85
-9552,11502,15.06
-9958,11908,13.26
-10213,12163,13.35
-10467,12417,13
-10750,12700,14.35
-11005,12955,14.82
-11288,13238,15.44
-11571,13521,15.79
-11853,13803,16
-12165,14115,16.03
-12447,14397,15.91
-12759,14709,15.76
-13070,15020,14.91
-13381,15331,14.68
-13720,15670,13.47
-14004,15954,12.91
-14279,16229,13.71
-14553,16503,14.26
-14828,16778,13.38
-15125,17075,13.26
-15400,17350,13.5
-15697,17647,12.44
-15995,17945,12.53
-16292,18242,14
-16612,18562,14.5
-16910,18860,14.71
-17230,19180,14.29
-17550,19500,14.09
-17833,19783,14.56
-18116,20066,14.44
-18399,20349,14.09
-18682,20632,14.09
-18985,20935,13.91
-19268,21218,13.65
-19571,21521,13.38
-19854,21804,13.26
-20157,22107,13.59
-20440,22390,13.62
-20743,22693,13.68
-21026,22976,13.41
-21309,23259,12.21
-21610,23560,12.12
-21918,23868,12.68
-22226,24176,13.35
-22534,24484,13.03
-22842,24792,12.97
-23128,25078,13.32
-23414,25364,12.59
-23590,25540,12.18
-23766,25716,11.88
-23964,25914,12.18
-24140,26090,13.15
-24316,26266,13.79
-24492,26442,13.85
-24690,26640,13.97
-24866,26816,13.79
-25042,26992,13.85
-25218,27168,14
-25410,27360,14
-25570,27520,13.29
-25730,27680,12.35
-25890,27840,12.91
-26070,28020,13.35
-26230,28180,13.53
-26390,28340,13.38
-26550,28500,13.09
-26879,28829,11.79
-27172,29122,11.32
-27575,29525,11.53
-28014,29964,13.59
-28380,30330,14.56
-28746,30696,14.03
-29112,31062,14.09
-29478,31428,14
-29844,31794,14.44
-30210,32160,14.32
-30555,32505,14.38
-30900,32850,14.59
-31245,33195,13.5
-31590,33540,16.5
-31847,33797,14.85
-32104,34054,14.68
-32361,34311,13.47
-32619,34569,14.94
-32876,34826,15.12
-33133,35083,15.32
-33390,35340,15
-33801,35751,12.38
-34213,36163,12.38
-34624,36574,15.06
-35036,36986,15.03
-35447,37397,15.29
-35859,37809,15.29
-36270,38220,15.35
-36561,38511,13.24
-36853,38803,11.44
-37144,39094,10.68
-37436,39386,10.26
-37727,39677,12.97
-38019,39969,14.65
-38310,40260,14.74
-38790,40740,14.03
-39270,41220,15.26
-39750,41700,14.59
-40098,42048,13.38
-40446,42396,14.32
-40794,42744,15.15
-41142,43092,15.06
-41490,43440,15.35
-42120,44070,14.47
-42750,44700,14.47
-43380,45330,15.21
-44010,45960,15.29
-44640,46590,15.41
-45270,47220,15.38
-45720,47670,12.56
-46170,48120,12.76
-46620,48570,11.71
-47070,49020,13.97
-47775,49725,14.94
-48480,50430,14.91
-49185,51135,14.88
-49890,51840,15.24
-50595,52545,15.35
-51300,53250,15.09
-52005,53955,15.35
-52710,54660,15.88
-53270,55220,14.91
-53830,55780,13.26
-54390,56340,14.91
-54882,56832,13.68
-55374,57324,13.94
-55866,57816,14.62
-56358,58308,15.15
-56850,58800,15.32
-57510,59460,14.21
-58170,60120,15.26
-58614,60564,13
-59058,61008,11.32
-59502,61452,10.44
-59946,61896,11.15
-60390,62340,10.62
-60834,62784,9.68
-61278,63228,9.12
-61722,63672,9.94
-62166,64116,13.03
-62610,64560,14.68
-63374,65324,13.59
-64137,66087,13.68
-64901,66851,12.24
-65665,67615,13.82
-66428,68378,14.41
-67192,69142,13.62
-67955,69905,14.79
-68719,70669,14.85
-69483,71433,13.79
-70246,72196,16.12
-71010,72960,16.76
-71826,73776,14.85
-72642,74592,13.79
-73458,75408,16.24
-74274,76224,17.35
-75090,77040,17.85
-75510,77460,14.56
-75930,77880,13.65
-76350,78300,15.24
-76770,78720,17.06
-78090,80040,16.71
-79410,81360,17.79
-80730,82680,18
-82050,84000,18.47
-83370,85320,18.59
-83824,85774,16.21
-84279,86229,15.24
-84733,86683,12.94
-85187,87137,13.47
-85641,87591,13.15
-86096,88046,13.68
-86550,88500,17.32
-87669,89619,17.15
-88787,90737,17.5
-89906,91856,16.79
-91024,92974,17.32
-92143,94093,17.74
-93261,95211,18.41
-94380,96330,17.91
-95499,97449,18.18
-96617,98567,18.18
-97736,99686,18.24
-98854,100804,18.82
-99973,101923,18.88
-101091,103041,18.68
-102210,104160,18.62
-102666,104616,15.65
-103122,105072,14.12
-103578,105528,14.79
-104034,105984,18.47
-104490,106440,18.53
-106320,108270,17.97
-108150,110100,13.18
