depth (cm),age (BP),temperature (degC),precipitation (mm/yr),age14C (bp14C),age (BP),temperature (degC)
13,352,11.7,293,288,352,4.433
17,442,2.867,316.333,385,442,0.933
21,516,5.9,264,481,516,2.767
25,579,6.833,221.333,577,579,2.967
29,641,2.867,316.333,673,641,0.933
33,706,2.867,316.333,769,706,0.933
37,783,5.9,264,865,783,2.767
41,874,2.867,316.333,962,874,0.933
45,970,2.867,316.333,1058,970,0.933
49,1074,7.3,423,1154,1074,3.183
51,1129,5.9,264,1202,1129,2.767
53,1181,5.9,264,1250,1181,2.767
55,1277,5.9,264,1354,1277,2.767
60,1505,5.9,264,1616,1505,2.767
65,1820,2.867,316.333,1877,1820,0.933
70,2122,5.9,264,2138,2122,2.767
75,2418,5.9,264,2399,2418,2.767
80,2767,5.9,264,2637,2767,2.767
85,2958,5.9,264,2851,2958,2.767
90,3286,5.9,264,3065,3286,2.767
95,3504,5.9,264,3279,3504,2.767
100,3768,5.9,264,3493,3768,2.767
105,4022,5.9,264,3688,4022,2.767
110,4288,5.9,264,3863,4288,2.767
115,4512,7.3,423,4038,4512,3.183
120,4791,5.9,264,4213,4791,2.767
125,4955,5.9,264,4388,4955,2.767
130,5277,5.9,264,4563,5277,2.767
135,5484,5.9,264,4738,5484,2.767
140,5650,5.9,264,4913,5650,2.767
145,5836,5.9,264,5088,5836,2.767
150,6030,5.9,264,5263,6030,2.767
155,6249,5.9,264,5438,6249,2.767
160,6398,5.9,264,5613,6398,2.767
165,6519,5.9,264,5730,6519,2.767
170,6594,2.867,316.333,5790,6594,0.933
175,6974,5.8,220.667,6105,6974,2.717
180,7551,4.333,63.333,6675,7551,2.2
185,7846,4.867,94.333,7013,7846,1.95
190,7944,4.967,137.667,7119,7944,2
195,8035,4.867,94.333,7224,8035,1.95
200,8144,5.8,220.667,7330,8144,2.717
205,8262,5.9,264,7436,8262,2.767
210,8359,7,399.333,7541,8359,3.233
220,8559,5.5,179.333,7785,8559,1.783
225,8808,6.767,291.333,7955,8808,2.65
235,9319,4.867,94.333,8295,9319,1.95
240,9473,6.433,85.667,8465,9473,2.783
243,9542,5.9,264,8567,9542,2.767
250,9872,6.433,85.667,8830,9872,2.783
255,10202,5.9,54.667,9023,NA,NA
260,10342,18.1,454.667,9188,NA,NA
270,10549,16.067,571.333,9330,NA,NA
275,11152,15.6,381,9700,NA,NA
280,12263,16.4,394.667,10400,NA,NA
281,12567,18.467,469.667,10540,NA,NA
