depth (cm),age (BP),temperature (degC)
635,-45,11.118
642,161.6,11.335
648,342.4,10.899
656,583.47,10.829
664,824.54,11.342
672,1065.61,11.246
680,1306.68,11.166
688,1547.75,11.262
696,1788.82,11.367
704,2029.89,11.118
712,2270.96,11.199
720,2512.04,11.497
728,2753.11,11.306
736,2994.18,11.528
744,3235.25,11.461
752,3476.32,11.197
760,3717.39,11.698
768,3958.46,11.27
776,4199.53,11.767
784,4440.6,11.894
792,4681.67,11.864
800,4922.74,11.731
808,5163.81,11.293
816,5404.88,11.567
824,5645.95,11.167
832,5887.02,11.644
840,6128.09,11.63
848,6369.16,11.683
856,6610.23,11.76
864,6851.3,11.458
872,7092.37,11.498
880,7333.44,11.555
888,7574.51,11.275
896,7815.58,11.717
904,8056.65,11.779
912,8297.72,11.392
920,8538.79,11.959
928,8779.86,12.325
