age (BP),temperature (degC)
-47,9.784
-46,9.407
-45,9.171
-44,9.851
-43,9.986
-42,9.569
-41,10.116
-40,10.397
-39,10.401
-38,10.584
-37,10.199
-36,10.245
-35,10.666
-34,9.308
-33,9.739
-32,9.493
-31,9.573
-30,9.974
-29,9.964
-28,9.486
-27,9.608
-26,9.677
-25,9.144
-24,9.476
-23,10.3
-22,9.783
-21,9.35
-20,9.771
-19,9.806
-18,9.613
-17,9.606
-16,9.349
-15,9.192
-14,10.424
-13,8.753
-12,9.509
-11,9.686
-10,10.488
-9,9.798
-8,9.371
-7,9.981
-6,9.531
-5,9.84
-4,10.611
-3,10.451
-2,9.461
-1,9.905
0,10.089
1,9.961
2,10.142
3,10.322
4,10.299
5,10.939
6,10.682
7,10.528
8,10.17
9,10.867
10,9.533
11,9.927
12,10.654
13,10.752
14,8.575
15,9.137
16,10.444
17,9.587
18,9.33
19,9.612
20,10.634
21,8.716
22,8.672
23,9.924
24,9.738
25,10.441
26,10.141
27,9.959
28,10.279
29,9.573
30,9.727
31,9.474
32,9.844
33,8.817
34,9.462
35,9.48
36,9.237
37,8.696
38,8.729
39,7.914
40,8.045
41,8.28
42,8.982
43,8.29
44,8.223
45,8.228
46,7.715
47,7.84
48,8.968
49,10.038
50,8.332
51,9.412
52,9.912
53,9.193
54,9.605
55,9.423
56,9.078
57,8.528
58,8.518
59,9.874
60,10.024
61,9.126
62,8.34
63,9.093
64,8.667
65,8.706
66,9.051
67,9.494
68,9.104
69,7.875
70,8.908
71,9.627
72,9.216
73,9.604
74,10.356
75,9.362
76,8.697
77,9.88
78,9.043
79,8.705
80,8.454
81,8.592
82,8.441
83,8.79
84,9.294
85,9.316
86,9.811
87,9.535
88,9.613
89,10.161
90,9.457
91,9.053
92,10.173
93,8.681
94,9.678
95,10.242
96,10.699
97,9.728
98,10.246
99,9.777
100,9.282
101,9.589
102,9.261
103,9.53
104,8.787
105,9.142
106,8.496
107,8.513
108,8.451
109,7.838
110,7.964
111,7.985
112,8.118
113,7.348
114,8.994
115,8.725
116,9.446
117,9.255
118,9.725
119,10.655
120,9.928
121,10.336
122,10.092
123,10.323
124,10.576
125,9.091
126,9.395
127,9.71
128,8.44
129,8.588
130,8.916
131,9.504
132,9.192
133,8.782
134,8.411
135,7.942
136,7.909
137,7.587
138,7.481
139,8.242
140,8.053
141,8.171
142,8.398
143,8.118
144,7.531
145,8.65
146,8.51
147,7.553
148,8.281
149,8.34
150,7.841
151,9.009
152,8.605
153,8.48
154,8.353
155,8.298
156,8.155
157,7.863
158,8.32
159,8.077
160,8.329
161,8.418
162,8.022
163,8.018
164,7.896
165,8.84
166,8.512
167,8.265
168,8.874
169,8.461
170,9.491
171,9.064
172,9.202
173,8.862
174,9.088
175,9.418
176,9.249
177,8.458
178,8.689
179,8.322
180,8.45
181,8.059
182,8.9
183,10.088
184,11.332
185,10.393
186,10.35
187,11.051
188,11.319
