depth (cm),age (BP),temperature (degC),precipitation (mm),age (BP),temperature (degC)
0,0,0,-1.333,0,-0.083
10,367,-0.033,-1.333,367,-0.1
20,599,-0.033,-1.333,599,-0.1
30,824,0.133,4,824,0.133
40,1143,-0.033,-2.667,1143,-0.217
50,1409,0.1,2.667,1409,0
65,1923,-0.033,-1.333,1923,-0.1
75,2289,-0.033,-2.667,2289,-0.217
80,2424,-0.033,-2.667,2424,-0.217
85,2679,-0.033,-2.667,2679,-0.217
100,3121,-0.033,-2.667,3121,-0.217
110,3445,2.167,6,3445,1.783
120,3768,-0.033,-1.333,3768,-0.1
130,4132,-0.033,-2.667,4132,-0.217
150,4845,-0.033,-2.667,4845,-0.217
160,5178,-0.033,-1.333,5178,-0.1
170,5487,0,-1.333,5487,-0.083
190,5975,1.3,-10.667,5975,0.55
200,6263,2.2,-15.333,6263,1.05
210,6473,14.067,193,6473,8.35
220,6781,3.533,-23.333,6781,1.817
230,7135,-0.033,-2.667,7135,-0.217
240,7396,11.833,279.333,7396,5.7
250,7596,10.833,66.333,7596,5.767
260,7831,0,-1.333,7831,-0.083
270,8069,7.3,143.667,8069,2.033
280,8739,13.8,497.333,8739,5.183
290,9562,24.033,859.667,9562,10.9
300,10444,24.2,1102,NA,NA
310,11323,24.033,859.667,NA,NA
320,12636,24.733,1063.333,NA,NA
330,13164,17.533,712,NA,NA
340,13806,17.667,971.333,NA,NA
350,14908,16.8,537.667,NA,NA
360,15758,-1.933,-119.667,NA,NA
370,16646,-1.633,-105,NA,NA
380,17773,2.433,-128,NA,NA
390,18700,2.1,-147.333,NA,NA
400,19151,-1.633,-105,NA,NA
410,19832,2.1,-147.333,NA,NA
420,20443,-1.933,-119.667,NA,NA
430,21295,-1.933,-119.667,NA,NA
440,22255,2.1,-147.333,NA,NA
450,22891,6.533,-31.333,NA,NA
460,23984,10.267,62.667,NA,NA
470,24738,2.033,-124,NA,NA
490,26522,13.933,51.333,NA,NA
500,27290,10.267,62.667,NA,NA
510,28052,15.633,142.667,NA,NA
525,29184,2.033,-124,NA,NA
535,30164,16.6,130.667,NA,NA
545,30961,20.833,104,NA,NA
555,31689,15.8,124,NA,NA
575,33123,14.067,117,NA,NA
585,33829,24.033,859.667,NA,NA
590,34181,24.2,1102,NA,NA
595,34534,6.867,58,NA,NA
600,34877,1.3,-10.667,NA,NA
605,35207,-0.033,-2.667,NA,NA
610,35525,1.3,-10.667,NA,NA
