year (AD),age (BP),temperature (degC)
1950,0,11.941
1774,176,12.553
1598,352,10.631
1422,528,10.796
1246,704,12.551
1070,880,11.378
894,1056,11.389
718,1232,11.372
542,1408,11.608
365,1585,11.193
230,1720,11.285
80,1870,11.23
-70,2020,11.556
-220,2170,11.379
-370,2320,11.205
-520,2470,11.386
-610,2560,11.682
-700,2650,11.558
-790,2740,11.403
-880,2830,10.797
-970,2920,11.126
-1060,3010,11.247
-1260,3210,12.038
-1459,3409,11.984
-1658,3608,12.3
-1857,3807,11.712
-2056,4006,12.215
-2255,4205,11.722
-2390,4340,12.328
-2526,4476,10.896
-2701,4651,11.454
-2876,4826,11.636
-3051,5001,11.131
-3070,5020,12.388
-3178,5128,12.131
-3286,5236,11.985
-3394,5344,11.184
-3502,5452,12.499
-3610,5560,11.405
-3792,5742,12.138
-3974,5924,11.145
-4156,6106,11.84
-4338,6288,12.854
-4520,6470,12.683
-4702,6652,12.278
-4885,6835,13.133
-5044,6994,12.265
-5203,7153,11.327
-5362,7312,11.99
-5520,7470,11.774
-5748,7698,11.577
-5976,7926,11.954
-6204,8154,12.116
-6433,8383,12.028
-6660,8610,12.053
-6888,8838,11.459
-7115,9065,12.127
-7342,9292,12.612
-7607,9557,11.224
-7832,9782,13.294
-8025,9975,12.181
-8250,10200,12.386
