year (AD),age (BP),precipitation (mm/yr)
1950,0,1164.746
1900,50,1120.682
1850,100,1075.049
1800,150,1065.537
1750,200,1087.649
1700,250,1218.57
1650,300,1221.116
1600,350,1223.661
1550,400,1226.207
1500,450,1221.383
1450,500,1209.757
1400,550,1198.131
1350,600,1186.505
1300,650,1155.774
1250,700,1119.011
1200,750,1082.248
1150,800,1074.801
1100,850,1084.434
1050,900,1072.692
1000,950,1043.862
950,1000,1036.084
900,1050,1051.153
850,1100,1047.069
800,1150,1014.66
750,1200,1007.403
700,1250,1051.853
650,1300,1086.119
600,1350,1090.007
550,1400,1093.896
500,1450,1077.172
450,1500,1054.953
400,1550,1046.057
350,1600,1059.648
300,1650,1073.24
250,1700,1086.888
200,1750,1100.539
150,1800,1108.413
100,1850,1111.308
50,1900,1117.791
0,1950,1150.647
-50,2000,1171.344
-100,2050,1190.854
-150,2100,1210.363
-200,2150,1229.872
-250,2200,1232.722
-300,2250,1232.39
-350,2300,1232.059
-400,2350,1231.727
-450,2400,1234.104
-500,2450,1238.878
-550,2500,1243.652
-600,2550,1248.426
-650,2600,1252.525
-700,2650,1254.249
-750,2700,1255.972
-800,2750,1257.696
-850,2800,1259.42
-900,2850,1215.08
-950,2900,1166.313
-1000,2950,1117.546
-1050,3000,1068.779
-1100,3050,1057.548
-1150,3100,1071.007
-1200,3150,1095.032
-1250,3200,1132.04
-1300,3250,1169.048
-1350,3300,1206.056
-1400,3350,1194.374
-1450,3400,1176.535
-1500,3450,1162.89
-1550,3500,1085.708
-1600,3550,1087.362
-1650,3600,1089.327
-1700,3650,1076.061
-1750,3700,1071.256
-1800,3750,1085.623
-1850,3800,1099.989
-1900,3850,1097.643
-1950,3900,1094.77
-2000,3950,1071.207
-2050,4000,1035.627
-2100,4050,1007.194
-2150,4100,995.775
-2200,4150,984.357
-2250,4200,973.911
-2300,4250,964.205
-2350,4300,954.498
-2400,4350,973.375
-2450,4400,1003.745
-2500,4450,1034.116
-2550,4500,1021.944
-2600,4550,1002.731
-2650,4600,983.606
-2700,4650,995.864
-2750,4700,1008.122
-2800,4750,1021.171
-2850,4800,1038.783
-2900,4850,1056.395
-2950,4900,1068.711
-3000,4950,1068.211
-3050,5000,1067.71
-3100,5050,1086.996
-3150,5100,1131.753
-3200,5150,1156.677
-3250,5200,1132.123
-3300,5250,1141.355
-3350,5300,1150.588
-3400,5350,1155.966
-3450,5400,1148.303
-3500,5450,1140.639
-3550,5500,1132.586
-3600,5550,1115.331
-3650,5600,1098.076
-3700,5650,1080.821
-3750,5700,1094.113
-3800,5750,1112.668
-3850,5800,1131.222
-3900,5850,1090.719
-3950,5900,1027.315
-4000,5950,1051.606
-4050,6000,1062.358
-4100,6050,1058.324
-4150,6100,1045.334
-4200,6150,1040.168
-4250,6200,1056.974
-4300,6250,1073.781
-4350,6300,1090.484
-4400,6350,1106.282
-4450,6400,1122.08
-4500,6450,1137.878
-4550,6500,1133.422
-4600,6550,1120.029
-4650,6600,1106.637
-4700,6650,1093.381
-4750,6700,1082.037
-4800,6750,1070.693
-4850,6800,1059.348
-4900,6850,1060.633
-4950,6900,1077.965
-5000,6950,1075.586
-5050,7000,1061.485
-5100,7050,1080.203
-5150,7100,1106.43
-5200,7150,1112.103
-5250,7200,1115.602
-5300,7250,1109.654
-5350,7300,1103.706
-5400,7350,1097.759
-5450,7400,1091.811
-5500,7450,1085.863
-5550,7500,1079.915
-5600,7550,1073.967
-5650,7600,1102.253
-5700,7650,1129.04
-5750,7700,1126.991
-5800,7750,1122.979
-5850,7800,1114.531
-5900,7850,1106.082
-5950,7900,1088.832
-6000,7950,1060.786
-6050,8000,1044.047
-6100,8050,1033.1
-6150,8100,1018.455
-6200,8150,1003.273
-6250,8200,988.092
-6300,8250,999.546
-6350,8300,1073.855
-6400,8350,1082.915
-6450,8400,1029.22
-6500,8450,1048.778
-6550,8500,1096.56
-6600,8550,1114.864
-6650,8600,1123.671
-6700,8650,1089.153
-6750,8700,1054.634
-6800,8750,1020.116
-6850,8800,1000.523
-6900,8850,992.173
-6950,8900,983.824
-7000,8950,975.474
-7050,9000,983.217
-7100,9050,991.047
-7150,9100,998.878
-7200,9150,1001.037
-7250,9200,995.326
-7300,9250,989.616
-7350,9300,943.812
-7400,9350,867.388
-7450,9400,818.324
-7500,9450,830.47
-7550,9500,842.238
-7600,9550,846.92
-7650,9600,843.553
-7700,9650,798.079
-7750,9700,949.281
-7800,9750,999.704
-7850,9800,870.897
-7900,9850,783.034
-7950,9900,802.266
-8000,9950,820.77
-8050,10000,800.588
-8100,10050,780.407
-8150,10100,775.107
-8200,10150,796.421
-8250,10200,813.7
-8300,10250,817.458
-8350,10300,883.612
-8400,10350,817.443
-8450,10400,804.714
-8500,10450,810.412
-8550,10500,816.85
-8600,10550,818.321
-8650,10600,816.379
-8700,10650,808.138
-8750,10700,813.532
-8800,10750,811.37
-8850,10800,805.987
-8900,10850,804.315
-8950,10900,802.663
-9000,10950,801.469
-9050,11000,784.226
