depth (mm),age (BP),temperature (degC)
4730,-48.188,3.39
4750,11.154,3.742
4760,40.825,3.673
4800,159.507,3.432
4810,189.178,3.698
4840,278.19,3.6
4860,337.531,4.098
4880,396.873,4.082
4920,515.555,3.034
4960,634.238,3.843
5000,752.921,3.469
5040,871.604,3.418
5080,990.286,4.127
5120,1108.969,4.658
5160,1227.652,4.552
5200,1346.334,3.127
5240,1465.017,4.42
5280,1583.7,4.104
5320,1702.382,3.437
5360,1821.065,4.256
5400,1939.748,4.3
5440,2058.431,3.855
5480,2177.113,4.107
5510,2266.125,4.786
5520,2295.796,5.027
5540,2355.137,4.567
5560,2414.479,5.275
5580,2473.82,3.835
5600,2533.161,3.967
5620,2592.503,4.881
5640,2651.844,4.508
5660,2711.186,4.973
5680,2770.527,5.473
5690,2800.198,5.614
5700,2829.868,5.396
5720,2889.21,4.666
5740,2948.551,4.978
5760,3007.892,4.209
5780,3067.234,3.806
5800,3126.575,4.977
5820,3185.916,5.287
5830,3215.587,4.706
5840,3245.258,4.476
5860,3304.599,4.431
5880,3363.94,4.741
5890,3393.611,3.067
5900,3423.282,4.115
5920,3482.623,4.492
5940,3541.965,4.059
5960,3601.306,3.496
5980,3660.647,4.822
6000,3719.989,4.404
6040,3838.671,4.838
6080,3957.354,5.688
6120,4076.037,5.417
6160,4194.719,4.503
6200,4313.402,5.113
6240,4432.085,5.283
6280,4550.768,5.094
6320,4669.45,5.262
6360,4788.133,5.302
6400,4906.816,5.767
6440,5025.499,6.212
6460,5084.84,4.916
6480,5144.181,5.638
6500,5203.522,5.715
6520,5262.864,5.344
6530,5292.535,5.737
6540,5322.205,5.948
6560,5381.546,5.043
6580,5440.888,4.869
6600,5500.229,5.337
6640,5618.912,5.343
6660,5678.253,5.384
6680,5737.595,6.446
6700,5796.936,6.001
6720,5856.277,7.354
6760,5974.96,6.454
6800,6093.643,5.494
6840,6212.326,6.998
6880,6331.008,7.321
6920,6449.691,6.962
6960,6568.374,6.182
7000,6687.056,7.53
7040,6805.739,6.242
7080,6924.422,6.099
7120,7043.104,5.837
7160,7161.787,6.803
7200,7280.47,6.526
7240,7399.153,6.266
7280,7517.835,5.948
7320,7636.518,4.952
7360,7755.201,4.847
7400,7873.883,3.788
7420,7933.225,4.301
7440,7992.566,4.756
7480,8111.249,4.743
7520,8229.932,4.399
7560,8348.614,4.572
7600,8467.297,5.134
7640,8585.979,3.689
7680,8704.662,5.976
7720,8823.345,4.255
7760,8942.028,4.119
