depth (cm),age (bp),depth_alt (mm),thickness (mm),age14C (bp),age_error (1_s),age_type (),core_name (),lab_id (),material_dated ()
0.75,-3,8,5,NA,10,3,2,1,8
23.75,168,237.5,5,200,144,1,1,5,6
34.9,406,351,2,360,86,1,2,17,9
46.05,607,462.5,5,595,41,1,1,6,6
53.3,566,535,10,570,180,1,2,3,10
69.55,1052,697.5,5,1150,35.5,1,1,7,6
97.55,1471,977.5,5,1600,56.5,1,1,8,6
143.05,2477,1432.5,5,2435,157.5,1,1,9,6
163.3,2995,1635,10,2875,50.5,1,1,10,6
184.2,3875,2095,10,3575,24.5,1,1,11,6
203.95,4356,2292.5,5,3905,57.5,1,1,12,6
217.2,4575,2425,10,4090,126,1,1,13,6
261,6080,3035,10,5320,80.5,1,1,17,12
264,6103,3065,10,5330,80,1,1,14,6
301,7893,3435,10,7075,34,1,1,15,10
314,9989,3565,10,8910,39,1,1,20,5
320.5,13440,3630,20,11610,71,1,1,18,7
325,13002,3675,10,11120,98,1,1,21,4
337,12584,3795,10,10620,29,1,1,22,2
340.5,12176,3830,20,10330,167,1,1,19,1
358.5,21271,4020,20,17740,3224,1,1,2,10
359,25431,4025,10,21260,2522,1,1,16,11
380.1,24385,4230,20,20440,141,2,1,4,3
