age (BP) [1-1],temperature (degC) [1-1],precipitation (mm) [1-1],age (BP) [1-2],temperature (SD units) [1-2],age (BP) [2-1],depth (cm) [2-1],temperature (degC) [2-1]
0,12.711,354.776,9656.264,0.968,0,4.457,9.435
0.893,12.239,340.923,9405.965,0.589,0.893,5.286,11.384
3.424,11.989,356.102,9155.667,0.655,10.277,5.529,10.373
6.552,12.883,335.584,8905.368,0.537,31.139,8.71,10.356
10.277,11.969,406.367,8655.069,0.631,60.606,8.222,10.111
14.599,11.904,317.171,8404.771,-0.478,94.633,8.168,9.856
19.517,12.683,322.155,8154.472,0.873,135.666,7.794,10.725
25.031,11.861,350.509,7904.173,0.501,187.183,5.525,9.764
45.133,12.071,327.588,7653.875,1.352,252.666,6.045,10.164
60.606,12.409,367.241,7403.576,1.329,439.443,7.731,10.036
76.961,12.385,397.408,7153.277,0.546,567.697,6.076,9.779
114.056,12.555,325.249,6902.979,-0.605,813.446,6.753,9.252
135.666,11.564,362.692,6652.68,1.158,1460.81,5.621,9.268
187.183,12.257,398.24,6402.381,0.977,1949.23,7.4,10.097
271.626,11.875,360.869,6152.083,1.079,2620.17,6.289,10.099
411.328,12.3,307.449,5901.784,-1.598,3194.47,7.061,10.068
567.697,12.024,394.632,5651.485,1.314,3750.73,8.149,9.878
767.632,13.281,356.229,5401.187,NA,4034,6.487,9.589
1017.931,14.263,283.91,5150.888,-0.34,4130,6.605,9.878
1324.652,14.205,279.962,4900.589,-0.51,4179,6.342,9.708
1671.349,12.223,395.157,4650.291,-1.53,4228,4.794,9.362
2015.879,13.996,358.123,4399.992,0.059,4277,5.919,9.872
2314.738,11.579,382.577,4149.693,-0.02,4326.6,6.506,9.371
2570.342,14.205,344.138,3899.395,-1.129,4427,5.403,10.14
2815.881,12.154,413.488,3649.096,-0.524,4944.44,4.372,9.611
3054.024,13.858,378.254,3398.797,-0.838,5588.02,6.587,11.584
3287.435,11.813,435.708,3148.499,0.136,6237.2,4.424,11.306
3518.78,13.608,270.963,2898.2,-1.419,6880.5,4.6,10.081
3750.727,12.844,420.187,2647.901,0.338,7526.3,3.389,11.304
3985.942,12.432,289.046,2397.603,-2.018,8063,3.292,11.333
4227.547,14.131,334.307,2147.304,NA,8116,4.249,10.67
4477.551,14.071,260.227,1897.005,0.228,8169.76,4.305,10.751
4734.644,12.047,438.082,1646.707,-1.347,8223,6.341,10.583
4997.369,13.221,445.747,1396.408,-0.232,8276,3.524,10.685
5264.271,13.188,413.613,1146.109,NA,8383,5.919,8.716
5533.895,14.121,274.227,895.811,-0.213,8805.25,6.57,10.588
5804.783,11.982,352.387,645.512,-0.691,9427.16,4.175,10.571
6075.481,14.036,314.989,395.214,-0.809,10029.8,5.69,11.08
6344.532,14.451,286.14,144.915,-0.686,10617.1,9.936,10.125
6612.074,14.624,283.361,NA,NA,10812.1,11.032,12.276
6880.504,12.42,381.044,NA,NA,11006.1,9.781,11.026
7149.506,14.037,318.711,NA,NA,11198.8,8.791,8.277
7418.674,14.52,303.934,NA,NA,11390,10.291,9.389
7687.6,14.81,306.878,NA,NA,11579.2,10.086,9.635
7955.877,13.994,320.005,NA,NA,11766.1,9.878,8.788
8223.097,14.303,306.032,NA,NA,11950.5,8.108,9.669
8488.852,14.46,276.975,NA,NA,12132.6,9.63,9.745
8752.737,14.119,270.984,NA,NA,12312.7,10.803,9.896
9014.343,13.943,308.747,NA,NA,12491.3,11.655,10.038
9273.262,14.142,316.656,NA,NA,12668.5,11.146,9.989
9529.088,14.065,320.472,NA,NA,12844.8,8.813,10.175
9781.413,14.442,395.599,NA,NA,13064.8,8.507,6.99
10029.83,11.416,230.346,NA,NA,13328.8,5.854,9.968
10274.807,11.366,205.576,NA,NA,NA,NA,NA
10519.423,9.773,183.632,NA,NA,NA,NA,NA
10763.405,10.221,192.839,NA,NA,NA,NA,NA
11006.086,10.353,198.7,NA,NA,NA,NA,NA
11246.796,9.735,186.219,NA,NA,NA,NA,NA
11484.868,8.716,193.503,NA,NA,NA,NA,NA
11719.633,8.889,197.174,NA,NA,NA,NA,NA
11950.504,8.656,196.111,NA,NA,NA,NA,NA
12177.796,9.266,271.946,NA,NA,NA,NA,NA
12402.178,13.987,301.209,NA,NA,NA,NA,NA
12624.295,13.749,307.47,NA,NA,NA,NA,NA
13064.792,6.183,157.288,NA,NA,NA,NA,NA
13416.792,6.524,162.559,NA,NA,NA,NA,NA
