year (AD),age (BP),age (BP),temperature (degC),Foram (degC),ageUncertainty (yr)
1862,88,48.779,21.3,21.3,80.689
1764,186,145.871,19.7,19.7,122.053
1666,284,242.737,18.6,18.6,130.819
1568,382,339.419,17.8,17.8,114.645
1470,480,435.526,21.1,21.1,54.035
1435,515,478.744,19.7,19.7,80.15
1400,550,521.527,22,22,86.668
1365,585,564.151,20.15,20.15,78.869
1330,620,606.341,21.65,21.65,51.155
1294,656,643.468,21.15,21.15,82.833
1257,693,679.676,21.8,21.8,98.003
1220,730,715.649,18.95,18.95,103.844
1184,766,751.429,18.25,18.25,101.71
1147,803,786.975,20.25,20.25,90.6
1110,840,821.601,20.3,20.3,62.295
1064,886,871.706,20.05,20.05,104.107
1017,933,921.675,20.35,20.35,126.834
970,980,971.618,21.35,21.35,141.779
924,1026,1021.545,21.7,21.7,151.446
877,1073,1071.459,21.8,21.8,156.892
830,1120,1121.362,21.95,21.95,158.597
784,1166,1171.255,20.8,20.8,156.716
737,1213,1221.137,21.45,21.45,151.138
690,1260,1271.006,21.35,21.35,141.449
644,1306,1320.859,21.8,21.8,126.724
597,1353,1370.685,21.25,21.25,104.863
550,1400,1420.377,21.3,21.3,68.808
435,1515,1536.138,20.75,20.75,135.027
320,1630,1651.443,21.8,21.8,162.559
205,1745,1766.631,19.35,19.35,171.623
90,1860,1881.724,19.8,19.8,165.372
-25,1975,1996.7,19.1,19.1,141.886
-140,2090,2111.22,20.45,20.45,88.839
-320,2270,2285.175,20.65,20.65,173.694
-501,2451,2458.486,20.95,20.95,220.134
-682,2632,2631.67,21.05,21.05,250.296
-863,2813,2804.774,20.6,20.6,269.676
-1044,2994,2977.819,19.35,19.35,280.51
-1225,3175,3150.812,20.5,20.5,283.776
-1405,3355,3323.754,19.8,19.8,279.737
-1586,3536,3496.645,21.15,21.15,268.064
-1767,3717,3669.475,20.75,20.75,247.682
-1948,3898,3842.227,21.75,21.75,216.149
-2129,4079,4014.851,21.85,21.85,167.304
-2310,4260,4186.831,21.8,21.8,72.521
-2371,4321,4200.873,20.95,20.95,80.346
-2433,4383,4215.032,21.45,21.45,84.868
-2495,4445,4229.221,20.9,20.9,86.68
-2557,4507,4243.434,21.05,21.05,85.995
-2618,4568,4257.677,20.35,20.35,82.814
-2680,4630,4272.037,20.2,20.2,77.207
-2742,4692,4310.792,20.7,20.7,98.615
-2804,4754,4349.223,20.95,20.95,113.334
-2927,4877,4425.906,20.9,20.9,128.543
-2989,4939,4464.191,20.8,20.8,130.571
-3051,5001,4502.443,21.4,21.4,129.186
-3112,5062,4540.66,21,21,124.26
-3174,5124,4578.834,21.3,21.3,115.332
-3236,5186,4616.941,20.9,20.9,101.36
-3298,5248,4654.723,20.3,20.3,80.134
-3360,5310,5304.984,19.85,19.85,103.872
-3484,5434,5431.386,21.1,21.1,162.133
-3609,5559,5557.128,19.8,19.8,201.255
-3733,5683,5682.745,19.8,19.8,229.852
-3858,5808,5808.292,17.85,17.85,251.398
-4107,6057,6059.244,17.9,17.9,279.191
-4232,6182,6184.665,17.7,17.7,286.868
-4356,6306,6310.055,17.2,17.2,290.869
-4481,6431,6435.414,18.7,18.7,291.331
-4605,6555,6560.744,18,18,288.258
-4730,6680,6686.043,18.6,18.6,281.518
-4854,6804,6811.31,18.3,18.3,270.824
-4979,6929,6936.539,18.3,18.3,255.662
-5104,7054,7061.724,17.05,17.05,235.144
-5290,7240,7249.382,17.8,17.8,190.356
-5415,7365,7374.345,16.95,16.95,144.378
-5540,7490,7498.647,17.55,17.55,54.729
-5580,7530,7533.448,16.25,16.25,87.47
-5660,7610,7602.46,16.5,16.5,119.891
-5700,7650,7636.908,16.55,16.55,128.87
-5740,7690,7671.333,16.95,16.95,134.542
-5780,7730,7705.737,17,17,137.328
