depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
3,54,18.229,-13.229,3.37,842.714
10,131,18.1,-13.586,3.156,844.143
20,339,17.929,-12.829,3.281,872.143
30,546,18.2,-13.3,3.357,892.857
40,754,18,-13.386,3.188,882.857
50,961,17.986,-12.871,3.338,888.571
60,1169,18.043,-13.557,3.162,895.286
70,1376,18.057,-13.357,3.265,896.286
80,1584,18.343,-13.157,3.504,875.286
90,1791,18.143,-13.671,3.2,896.429
100,1999,18.243,-12.443,3.626,865.571
110,2206,17.986,-12.871,3.338,888.571
120,2414,18,-13.243,3.215,891
130,2621,17.886,-12.6,3.387,874.286
140,2829,18.343,-12.814,3.615,886
150,3036,18.057,-12.743,3.417,873.286
160,3244,18,-13.686,3.086,888
170,3452,18.043,-12.943,3.336,874
180,3659,18.4,-12.129,3.865,831.143
190,3867,17.986,-12.871,3.338,888.571
200,4074,18.4,-12.814,3.621,852.714
210,4282,18.3,-12.9,3.526,815.286
220,4489,18.557,-13.643,3.457,839.429
230,4697,18.343,-12.343,3.779,838.143
240,4898,18.1,-13.043,3.282,845.571
250,5085,18.671,-13.1,3.706,815
260,5273,18.357,-12.357,3.78,874.571
270,5460,18.771,-12.486,3.965,807.286
280,5647,18.229,-13.614,3.249,848.571
290,5835,17.757,-13.857,2.817,856.714
300,6022,18.614,-16.371,2.579,675.429
310,6209,18.671,-17.929,1.852,627.571
320,6397,19.6,-12.871,4.419,784.286
330,6584,19.143,-15.486,3.12,734.286
340,6771,19.729,-12.9,4.532,800.143
350,6959,19.4,-15.329,3.395,722.286
360,7146,18.5,-14.571,3.024,779.429
370,7333,18.7,-12.771,3.844,840.429
380,7521,18.657,-13.443,3.567,802.571
390,7708,18.9,-12.4,4.138,851.286
400,7895,18.171,-13.771,3.143,830.571
410,8083,17.986,-15.157,2.399,826.286
420,8258,17.843,-14.829,2.407,829.571
430,8431,18.543,-16.871,2.238,699.143
440,8604,18.057,-13.186,3.293,865
450,8777,18.829,-13.329,3.754,832.857
460,8950,18.486,-14.557,3.032,803.429
470,9123,18.257,-16.457,2.154,754.571
480,9296,17.557,-16.657,1.614,760.286
490,9469,17.386,-17.343,1.162,774.714
500,9642,18.029,-15.457,2.517,851.286
510,9815,17.786,-15.4,2.311,840.571
520,9988,18.414,-16.8,2.175,725.143
530,10161,18.243,-13.214,3.379,854
