age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),A (missing),age (BP),temperature (degC)
1548.8,0,0.314,30.065,9.715,7.531,102.954,NA,1548.8,-0.665
1791.2,20,1.257,25.764,9.253,7.412,113.359,1,1791.2,-0.171
2011.4,40,1.47,29.873,8.721,6.89,106.767,2,2011.4,-0.061
2210.7,60,0.723,29.973,9.288,7.357,105.253,2,2210.7,-0.485
2390.3,80,1.077,27.221,9.111,7.271,114.225,2,2390.3,-0.32
2551.5,100,1.673,26.578,9.132,7.308,111.024,2,2551.5,0.029
2695.5,120,2.797,27.035,8.27,6.606,113.665,2,2695.5,0.634
2823.6,140,0.201,30.086,9.901,7.688,98.675,2,2823.6,-0.734
2937,160,0.678,29.896,9.331,7.399,105.207,2,2937,-0.51
3037.2,180,1.225,30.712,8.575,6.79,110.642,2,3037.2,-0.127
3125.2,200,2.593,29.927,8.202,6.544,105.091,2,3125.2,0.58
3202.4,220,0.772,30.043,9.181,7.299,102.572,2,3202.4,-0.466
3270,240,1.693,30.145,8.73,6.945,102.696,2,3270,0.09
3329.3,260,1.506,26.346,9.235,7.387,111.133,2,3329.3,-0.061
3381.6,280,0.874,31.57,8.516,6.68,110.998,2,3381.6,-0.332
3428.1,300,0.79,30.132,9.215,7.291,106.051,2,3428.1,-0.453
3470.1,320,0.715,31.603,8.365,6.593,120.05,2,3470.1,-0.299
3508.9,340,1.744,28.793,8.443,6.726,117.934,2,3508.9,0.057
3545.7,360,1.849,31.949,8.196,6.48,97.293,2,3545.7,0.174
3581.8,380,2.92,30.719,7.959,6.357,106.788,2,3581.8,0.77
3618.4,400,2.456,30.794,8.187,6.536,103.459,2,3618.4,0.546
3656.8,420,2.663,31.381,8.067,6.435,100.286,2,3656.8,0.709
3698.4,440,1.841,30.774,8.271,6.545,103.366,2,3698.4,0.194
3744.2,460,3.22,31.404,7.66,6.11,107.373,2,3744.2,0.92
3795.7,480,3.635,31.026,7.568,6.08,108.956,2,3795.7,1.153
3854.1,500,2.759,26.68,7.868,6.223,120.195,2,3854.1,0.602
3920.6,520,2.379,31.69,7.712,6.066,111.575,2,3920.6,0.429
3996.5,540,2.914,29.147,7.865,6.261,113.774,2,3996.5,0.76
4083.1,560,2.12,29.635,7.809,6.163,114.943,2,4083.1,0.253
4181.7,580,2.286,32.002,7.903,6.24,101.844,2,4181.7,0.481
4419.6,620,3.073,31.209,7.593,6.02,108.579,2,4419.6,0.844
4561.5,640,4.096,26,8.88,7.173,175.116,2,4561.5,1.332
4720.5,660,2.495,31.792,7.773,6.148,109.577,2,4720.5,0.489
4897.7,680,4.218,25.82,8.862,7.159,178.419,2,4897.7,1.392
5094.4,700,2.419,31.646,7.701,6.066,112.326,2,5094.4,0.452
5200.5,710,4.374,25.2,8.934,7.169,182.998,2,5200.5,1.372
5551.5,740,3.138,31.442,7.695,6.148,107.404,2,5551.5,0.912
5814.5,760,3.395,30.282,7.789,6.194,114.537,2,5814.5,0.896
6102,780,2.768,31.134,8.112,6.484,111.759,2,6102,0.693
6415.3,800,2.287,31.7,7.709,6.056,112.825,2,6415.3,0.349
6755.8,820,1.997,31.716,7.672,6.013,115.494,2,6755.8,0.176
