depth (m),age (BP),d18O (permil),d18O (permil),d18O (permil),depth (m),age (BP),planktic.d18O (permil),depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),d18O (permil)
0.06,0,2.812,NA,NA,0.06,0,-3.09,0.1,60,28.7,0.976,0.06,2.812
0.16,140,NA,2.68,NA,0.16,140,-3.19,0.2,190,28.74,0.977,0.16,2.68
0.26,280,2.697,NA,NA,0.26,280,-2.93,0.3,330,28.74,0.977,0.26,2.697
0.36,410,2.673,NA,NA,0.36,410,-3.17,0.4,470,28.87,0.98,0.36,2.673
0.46,550,2.67,NA,NA,0.4,470,-2.5,0.5,610,28.78,0.978,0.46,2.67
0.56,690,2.757,NA,NA,0.46,550,-3.03,0.6,740,28.65,0.975,0.56,2.757
0.66,810,2.696,NA,NA,0.56,690,-2.96,0.7,830,28.83,0.979,0.66,2.696
0.76,860,2.644,NA,NA,0.66,810,-3,0.8,890,28.61,0.974,0.76,2.644
0.86,920,2.669,NA,NA,0.76,860,-3.08,0.9,940,28.78,0.978,0.86,2.669
0.96,970,2.728,NA,NA,0.82,900,-2.56,1,1000,28.48,0.971,0.96,2.728
1.06,1030,2.579,NA,NA,0.86,920,-2.94,1.1,1050,28.35,0.968,1.06,2.579
1.16,1080,2.717,NA,NA,0.92,950,-2.75,1.2,1110,28.57,0.973,1.16,2.717
1.26,1140,2.685,NA,NA,0.96,970,-2.74,1.3,1160,27.91,0.958,1.26,2.685
1.36,1190,2.675,NA,NA,1,1000,-2.83,1.4,1220,28.35,0.968,1.36,2.675
1.5,1270,2.714,NA,NA,1.04,1020,-2.76,1.51,1280,28.17,0.964,1.5,2.714
1.6,1330,2.768,NA,NA,1.06,1030,-2.79,1.61,1330,28.43,0.97,1.6,2.768
1.7,1380,2.717,NA,NA,1.08,1040,-2.81,1.71,1390,28.09,0.962,1.7,2.717
1.8,1440,2.568,NA,NA,1.12,1060,-2.88,1.81,1440,27.83,0.956,1.8,2.568
1.88,1480,2.725,NA,NA,1.16,1080,-2.96,1.89,1490,27.96,0.959,1.88,2.725
2.13,1620,2.752,NA,NA,1.22,1120,-2.75,2.14,1620,28.3,0.967,2.13,2.752
2.2,1660,2.653,NA,NA,1.26,1140,-3.22,2.2,1660,28.65,0.975,2.2,2.653
2.3,1710,2.647,NA,NA,1.28,1150,-2.6,2.3,1710,28.43,0.97,2.3,2.647
2.4,1770,2.529,NA,NA,1.36,1190,-3.03,2.4,1770,27.7,0.953,2.4,2.529
2.5,1820,2.678,NA,NA,1.38,1210,-2.93,2.5,1820,28.3,0.967,2.5,2.678
2.6,1880,2.686,NA,NA,1.4,1220,-2.66,2.6,1880,28.43,0.97,2.6,2.686
2.7,1930,2.772,NA,NA,1.52,1280,-2.78,2.7,1930,28.74,0.977,2.7,2.772
2.8,1990,2.689,NA,NA,1.6,1330,-2.96,2.8,1990,28.87,0.98,2.8,2.689
2.9,2040,2.669,NA,NA,1.62,1340,-2.81,2.9,2040,28.87,0.98,2.9,2.669
3,2090,2.575,NA,NA,1.7,1380,-2.92,3,2090,28.78,0.978,3,2.575
3.1,2130,2.627,NA,NA,1.72,1390,-2.71,3.1,2130,28.78,0.978,3.1,2.627
3.2,2170,2.653,NA,NA,1.76,1410,-2.67,3.2,2170,28.48,0.971,3.2,2.653
3.3,2220,2.592,NA,NA,1.8,1440,-3.04,3.3,2220,28.48,0.971,3.3,2.592
3.4,2290,2.677,NA,NA,1.82,1450,-2.9,3.4,2290,28.65,0.975,3.4,2.677
3.5,2500,2.7,NA,NA,1.86,1470,-2.71,3.5,2500,28.57,0.973,3.5,2.7
3.6,2710,2.733,NA,NA,1.88,1480,-2.91,3.6,2710,28.65,0.975,3.6,2.733
3.7,2920,2.589,NA,NA,1.92,1500,-2.69,3.7,2920,28.74,0.977,3.7,2.589
3.8,3130,2.694,NA,NA,2.09,1600,-2.63,3.8,3130,28.96,0.982,3.8,2.694
3.9,3320,2.74,NA,NA,2.11,1610,-2.73,3.9,3320,28.78,0.978,3.9,2.74
4,3480,2.715,NA,NA,2.13,1620,-2.87,4,3480,28.78,0.978,4,2.715
4.1,3650,2.762,NA,NA,2.15,1630,-2.71,4.1,3650,28.39,0.969,4.1,2.762
4.2,3810,2.813,NA,NA,2.19,1650,-2.78,4.2,3810,28.87,0.98,4.2,2.813
4.3,3980,2.606,NA,NA,2.2,1660,-2.89,4.3,3980,28.65,0.975,4.3,2.606
4.4,4150,2.739,NA,NA,2.22,1670,-2.79,4.4,4150,28.78,0.978,4.4,2.739
4.5,4310,2.629,NA,NA,2.26,1690,-2.63,4.5,4310,28.83,0.979,4.5,2.629
4.6,4480,2.626,NA,NA,2.3,1710,-2.95,4.6,4480,28.83,0.979,4.6,2.626
4.7,4640,2.607,NA,NA,2.32,1720,-2.72,4.7,4640,28.57,0.973,4.7,2.607
4.8,4890,2.734,NA,NA,2.36,1750,-2.83,4.8,4890,28.83,0.979,4.8,2.734
4.9,5140,2.599,NA,NA,2.4,1770,-2.88,4.9,5140,28.78,0.978,4.9,2.599
5,5400,2.695,NA,NA,2.5,1820,-2.86,5,5400,28.57,0.973,5,2.695
5.1,5660,2.54,NA,NA,2.56,1860,-2.77,5.1,5660,28.43,0.97,5.1,2.54
5.2,5930,2.681,NA,NA,2.6,1880,-3.02,5.2,5930,28.17,0.964,5.2,2.681
5.3,6190,2.662,NA,NA,2.62,1890,-2.82,5.3,6190,28.43,0.97,5.3,2.662
5.4,6460,2.632,NA,NA,2.66,1910,-2.75,5.4,6460,28.65,0.975,5.4,2.632
5.5,6760,2.682,NA,NA,2.7,1930,-2.85,5.5,6760,28.35,0.968,5.5,2.682
5.6,7060,2.595,NA,NA,2.8,1990,-2.94,5.6,7060,28.57,0.973,5.6,2.595
5.7,7370,2.674,NA,NA,2.82,2000,-2.84,5.7,7370,28.04,0.961,5.7,2.674
5.8,7690,2.62,NA,NA,2.9,2040,-3.13,5.8,7690,28.39,0.969,5.8,2.62
5.9,8000,2.669,NA,NA,2.94,2060,-2.71,5.9,8000,28.35,0.968,5.9,2.669
6,8320,2.769,NA,NA,2.98,2080,-2.72,6,8320,28.43,0.97,6,2.769
6.1,8630,2.702,NA,NA,3,2090,-3.07,6.1,8630,28.48,0.971,6.1,2.702
