depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),d13C (permil),d18O (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),Uk37 (missing),C37.concentration (g),CaCO3 (percent)
0.03,63,NA,14.6,23.1,-0.2,3,NA,NA,NA,1.02,0.48,1.14,0.805,3287,22.7
0.08,169,NA,13.2,22.1,-0.37,3.02,NA,NA,NA,1.13,0.77,0.97,0.772,2411,NA
0.13,275,NA,15,21.9,-0.11,3.15,NA,NA,NA,1.14,0.82,1.2,0.768,2009,23.1
0.18,380,NA,14.5,22.4,-0.16,3.12,NA,NA,NA,1.12,0.8,1.13,0.783,1848,NA
0.23,486,NA,15.5,22,-0.17,3.05,NA,NA,NA,1.37,0.72,1.27,0.771,1728,NA
0.28,591,NA,15.5,21.9,-0.49,2.96,NA,NA,NA,1.11,0.77,1.26,0.768,1681,21.3
0.33,697,NA,14.8,22,-0.28,3.01,NA,NA,NA,1.15,0.81,1.16,0.769,1587,NA
0.38,803,NA,15.8,21.5,-0.47,2.94,NA,NA,NA,1.25,0.63,1.31,0.752,1407,NA
0.43,908,NA,16.2,21.9,-0.48,3.1,NA,NA,NA,1.14,0.87,1.37,0.767,1507,22.2
0.48,1014,NA,13.9,21.9,-0.18,3.07,NA,NA,NA,1.32,0.76,1.06,0.765,1458,NA
0.53,1119,NA,14.4,22,-0.14,3.11,NA,NA,NA,1.12,0.9,1.12,0.77,2044,NA
0.58,1225,NA,13.9,21.3,-0.24,2.89,NA,NA,NA,1.25,0.67,1.06,0.746,1541,28.7
0.63,1331,NA,15,21.7,-0.31,3.08,1.34,-1.95,NA,NA,NA,1.2,0.76,1831,NA
0.68,1436,NA,16.7,21.6,-0.11,3.15,NA,NA,NA,NA,NA,1.45,0.755,1703,NA
0.73,1542,NA,14.4,21.9,-0.51,2.95,NA,NA,NA,1.19,0.69,1.12,0.765,1623,22
0.78,1648,NA,13.5,21.9,-0.12,3.08,NA,NA,NA,1.2,0.79,1.01,0.767,1738,NA
0.83,1754,NA,14.1,22.1,-0.42,3,NA,NA,NA,1.23,0.56,1.08,0.773,1719,NA
0.88,1860,NA,14.6,22.5,-0.42,3.01,NA,NA,NA,1.33,0.47,1.14,0.787,1570,18.8
0.93,1966,NA,14.5,21.5,-0.27,3.06,NA,NA,NA,1.27,0.62,1.13,0.753,1536,NA
0.98,2071,NA,15.2,21.6,-0.32,3.06,NA,NA,NA,1.24,0.77,1.23,0.756,1647,NA
1.03,2177,NA,13.9,21.9,-0.43,2.96,1.39,-1.19,NA,1.16,0.61,1.06,0.766,1673,16.9
1.08,2283,NA,14.9,22.2,-0.17,3,NA,NA,NA,1.28,0.74,1.19,0.778,1697,NA
1.13,2389,NA,15.2,22.5,-0.26,3.1,NA,NA,NA,1.15,0.61,1.23,0.786,1758,NA
1.18,2495,NA,13.3,22.2,-0.29,3,NA,NA,NA,1.22,0.79,0.99,0.777,1819,18.4
1.23,2601,NA,13.8,21.9,-0.13,3.16,NA,NA,NA,1.22,0.78,1.05,0.767,1870,NA
1.28,2707,NA,14.1,21.7,-0.46,3.1,NA,NA,NA,NA,NA,1.08,0.761,1594,NA
1.33,2812,NA,14.1,21.9,-0.24,3,NA,NA,NA,1.23,0.79,1.09,0.768,1587,19
1.38,2918,NA,13,21.9,-0.23,2.95,NA,NA,NA,NA,NA,0.96,0.767,1709,NA
1.43,3024,NA,14.5,21.9,-0.28,3.14,1.24,-1.57,NA,NA,NA,1.13,0.767,1754,NA
1.48,3121,NA,13,22.2,-0.46,3,NA,NA,NA,1.24,0.66,0.96,0.778,1830,16.9
