age (BP) [1-1],depth (cm) [1-1],temperature (degC) [1-1],salinity (psu) [1-1],Sea_Ice_months (months/year) [1-1],Sea_Ice_conc (0-10) [1-1],productivity (gcm2) [1-1],B (missing) [1-1],age (BP) [1-2],temperature (degC) [1-2]
2034.7,0.5,2.368,25.671,8.888,7.145,88.699,2,2034.7,0.404
2268.2,10.5,1.975,30.261,8.727,6.998,77.702,2,2268.2,0.169
2499.1,20.5,2.448,26.614,8.705,6.994,89.943,2,2499.1,0.441
2727.1,30.5,2.68,32.215,7.889,6.246,99.239,2,2727.1,0.497
2952.3,40.5,1.876,30.456,8.706,6.953,80.626,1,2952.3,0.102
3174.9,50.5,1.982,26.372,8.885,7.139,90.783,2,3174.9,0.18
3394.5,60.5,4.801,31.678,5.895,4.665,133.459,1,3394.5,1.628
3611.5,70.5,1.601,29.443,9.063,7.288,71.247,1,3611.5,0.027
3825.5,80.5,2.19,30.701,8.138,6.467,128.012,1,3825.5,0.418
4036.8,90.5,4.412,32.284,6.714,5.333,117.462,1,4036.8,1.501
4245.4,100.5,5.287,32.223,6.083,4.758,127.16,1,4245.4,1.977
4451,110.5,3.042,30.539,8.38,6.676,101.738,1,4451,0.767
4654.1,120.5,2.187,32.278,7.757,6.093,105.208,1,4654.1,0.307
4854.1,130.5,2.848,28.812,8.144,6.511,110.384,1,4854.1,0.762
5051.5,140.5,4.974,30.67,6.529,5.229,136.357,1,5051.5,1.728
5246.1,150.5,2.401,31.967,8.56,6.826,92.163,1,5246.1,0.442
5437.8,160.5,3.486,24.062,8.702,6.955,212.882,1,5437.8,0.921
5626.9,170.5,3.314,28.338,8.82,7.076,113.683,1,5626.9,0.754
5812.9,180.5,2.927,25.198,8.626,6.843,213.686,1,5812.9,0.632
5996.4,190.5,2.728,31.872,8.132,6.43,118.842,1,5996.4,0.563
6177,200.5,3.568,28.205,7.998,6.431,150.01,1,6177,0.941
6354.8,210.5,4.097,32.052,6.879,5.338,152.701,1,6354.8,1.315
6529.9,220.5,5.602,29.666,5.644,4.421,175.427,1,6529.9,2.035
6702.1,230.5,5.666,32.038,5.511,4.332,143.507,1,6702.1,2.104
6871.6,240.5,5.734,32.034,5.454,4.287,144.156,1,6871.6,2.139
7038.2,250.5,2.288,32.293,7.903,6.259,108.459,1,7038.2,0.356
7202.1,260.5,2.712,27.96,8.779,7.059,91.404,2,7202.1,0.681
7363.2,270.5,2.422,28.143,8.294,6.685,104.306,2,7363.2,0.493
7521.4,280.5,1.923,30.288,8.276,6.618,98.747,2,7521.4,0.173
7677.1,290.5,1.503,30.577,9.015,7.196,82.94,2,7677.1,-0.038
7829.6,300.5,1.807,30.255,8.386,6.661,97.445,2,7829.6,0.186
7979.6,310.5,3.128,31.781,7.219,5.746,111.33,1,7979.6,0.728
8126.7,320.5,2.007,31.812,8.17,6.496,97.833,2,8126.7,0.151
8271,330.5,3.16,30.058,7.323,5.873,116.07,2,8271,0.873
8412.6,340.5,1.334,32.171,8.847,6.988,89.654,2,8412.6,-0.143
8551.3,350.5,1.006,31.858,9.333,7.389,94.979,2,8551.3,-0.301
8687.4,360.5,1.483,31.808,8.808,7.044,103.133,2,8687.4,0.047
8820.4,370.5,1.297,32.137,9.514,7.578,82.884,2,8820.4,-0.178
8950.8,380.5,1.024,32.216,9.335,7.407,87.385,2,8950.8,-0.342
9078.5,390.5,0.49,30.17,10.063,8.037,71.037,2,9078.5,-0.619
9203.2,400.5,1.233,32.471,9.186,7.279,83.947,2,9203.2,-0.263
9325.4,410.5,1.046,30.504,9.505,7.566,70.555,2,9325.4,-0.349
9444.4,420.5,0.775,32.258,9.904,7.879,80.311,1,9444.4,-0.496
9560.9,430.5,1.062,32.621,9.362,7.415,85.256,1,9560.9,-0.319
9674.6,440.5,0.817,30.021,9.694,7.73,73.065,2,9674.6,-0.436
9785.4,450.5,0.742,32.54,9.922,7.871,83.736,2,9785.4,-0.309
9893.6,460.5,0.971,29.294,9.848,7.815,86.224,2,9893.6,-0.421
9998.7,470.5,1.023,30.542,9.522,7.577,69.997,2,9998.7,-0.36
10101,480.5,0.978,29.25,9.841,7.81,86.166,2,NA,NA
10201,490.5,1.664,32.281,8.925,7.046,100.417,2,NA,NA
10298,500.5,1.652,32.285,8.938,7.056,100.168,1,NA,NA
10392,510.5,1.657,32.283,8.933,7.052,100.288,1,NA,NA
10483,520.5,0.659,31.744,10.13,7.997,96.48,1,NA,NA
10572,530.5,1.472,31.652,8.552,6.743,94.092,2,NA,NA
10657,540.5,0.662,31.742,10.126,7.993,96.526,2,NA,NA
10740,550.5,0.984,32.093,9.456,7.471,81.692,2,NA,NA
10821,560.5,1.783,26.144,8.784,7.005,97.394,2,NA,NA
