depth (m),age (BP),temperature (degC),Uk37 (missing),C37.concentration (g),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil)
NA,NA,NA,NA,NA,3.73,1850,-0.99,0.18
NA,NA,NA,NA,NA,3.74,1860,-0.77,0.24
NA,NA,NA,NA,NA,3.75,1870,-0.84,0.26
NA,NA,NA,NA,NA,3.76,1880,-0.7,0.13
NA,NA,NA,NA,NA,3.77,1890,-1.39,0.23
NA,NA,NA,NA,NA,3.78,1900,-0.96,-0.07
NA,NA,NA,NA,NA,3.79,1910,-0.34,0.35
NA,NA,NA,NA,NA,3.8,1920,-0.64,0.47
NA,NA,NA,NA,NA,3.81,1930,-1.04,0.05
NA,NA,NA,NA,NA,3.82,1940,-0.51,0.36
NA,NA,NA,NA,NA,3.83,1950,-1.07,-0.07
NA,NA,NA,NA,NA,3.84,1960,-0.82,0.23
NA,NA,NA,NA,NA,3.85,1970,-0.6,0.22
NA,NA,NA,NA,NA,3.86,1980,-0.48,0.48
NA,NA,NA,NA,NA,3.87,1990,-1.14,-0.05
NA,NA,NA,NA,NA,3.88,2000,-0.9,0.6
NA,NA,NA,NA,NA,3.89,2009,-0.94,-0.35
NA,NA,NA,NA,NA,3.9,2018,-1.09,0.02
NA,NA,NA,NA,NA,3.91,2026,-1.05,-0.14
NA,NA,NA,NA,NA,3.92,2035,-0.88,0.1
NA,NA,NA,NA,NA,3.93,2044,-0.52,0.2
NA,NA,NA,NA,NA,3.94,2053,-1,0.21
NA,NA,NA,NA,NA,3.95,2061,-0.86,0.17
NA,NA,NA,NA,NA,3.96,2070,-0.91,0.06
NA,NA,NA,NA,NA,3.97,2079,-0.3,0.34
NA,NA,NA,NA,NA,3.98,2088,-0.88,0.16
NA,NA,NA,NA,NA,3.99,2096,-0.8,0
NA,NA,NA,NA,NA,4,2105,-0.9,0.08
