year (AD) [1-1],age (BP) [1-1],Bsi_Raw (mg/g) [1-1],year (AD) [2-1],age (BP) [2-1],Bsi_3pt (mg/g) [2-1],year (AD) [3-1],age (BP) [3-1],BSi (mg/g) [3-1]
-457,2407,301.651,-457,2407,285.328,-430,2380,21.108
-496.7,2446.7,333.596,-496.7,2446.7,283.488,-500,2450,47.167
-536.3,2486.3,215.216,-536.3,2486.3,217.528,-570,2520,-60.37
-576,2526,103.772,-576,2526,174.119,-640,2590,-41.868
-615.7,2565.7,203.37,-615.7,2565.7,170.59,-710,2660,-19.934
-655.5,2605.5,204.627,-655.5,2605.5,199.294,-780,2730,20.318
-695.4,2645.4,189.884,-695.4,2645.4,211.45,-850,2800,37.321
-735.5,2685.5,239.839,-735.5,2685.5,231.351,-920,2870,48.033
-775.8,2725.8,264.33,-775.8,2725.8,257.93,-990,2940,21.811
-816.2,2766.2,269.62,-816.2,2766.2,269.324,-1060,3010,-27.131
-856.8,2806.8,274.023,-856.8,2806.8,280.674,-1130,3080,-86.382
-897.5,2847.5,298.379,-897.5,2847.5,288.168,-1200,3150,-53.37
-938.4,2888.4,292.101,-938.4,2888.4,288.856,-1270,3220,32.327
-979.4,2929.4,276.086,-979.4,2929.4,271.162,-1340,3290,16.869
-1020.6,2970.6,245.298,-1020.6,2970.6,243.594,-1410,3360,11.689
-1061.9,3011.9,209.398,-1061.9,3011.9,219.148,-1480,3430,17.87
-1103.4,3053.4,202.749,-1103.4,3053.4,176.838,-1550,3500,36.291
-1145,3095,118.366,-1145,3095,148.64,-1620,3570,-2.628
-1186.8,3136.8,124.805,-1186.8,3136.8,175.448,-1690,3640,-7.966
-1228.7,3178.7,283.174,-1228.7,3178.7,234.905,-1760,3710,24.543
-1270.8,3220.8,296.736,-1270.8,3220.8,279.965,-1830,3780,26.458
-1313,3263,259.984,-1313,3263,271.12,-1900,3850,29.485
-1355.4,3305.4,256.641,-1355.4,3305.4,258.64,-1970,3920,29.5
-1398,3348,259.294,-1398,3348,255.107,-2040,3990,7.295
-1440.7,3390.7,249.387,-1440.7,3390.7,255.87,-2110,4060,-36.327
-1483.6,3433.6,258.93,-1483.6,3433.6,260.603,-2180,4130,-14.781
-1526.7,3476.7,273.493,-1526.7,3476.7,275.24,-2250,4200,-0.232
