depth (m),age (BP),temperature (degC),C37.concentration (g),depth (m),age (BP),temperature (degC),label (missing),planktic.d18O (permil),planktic.MgCa (mmol_mol)
0.07,185,17.9,452,0.07,150,NA,"161-976A-1H-1,7-8",0.68,NA
0.09,238,17.9,516,0.09,190,NA,"161-976A-1H-1,9-10",0.4,NA
0.11,290,17.9,480,0.11,230,17.62,"161-976A-1H-1,11-12",0.47,3.26
0.13,343,18.1,554,0.13,270,19.71,"161-976A-1H-1,13-14",0.64,4.02
0.15,396,18,400,0.15,310,NA,"161-976A-1H-1,15-16",0.65,NA
0.17,449,17.8,428,0.17,350,16.96,"161-976A-1H-1,17-18",0.36,3.05
0.19,501,18,407,0.19,400,17.02,"161-976A-1H-1,19-20",0.34,3.07
0.21,554,18.1,495,0.21,440,17.25,"161-976A-1H-1,21-22",0.1,3.14
0.23,607,17.9,391,0.23,480,18.14,"161-976A-1H-1,23-24",0.62,3.44
0.25,660,18.1,406,0.25,520,18.23,"161-976A-1H-1,25-26",0.49,3.46
0.27,713,18.2,381,0.27,560,16.98,"161-976A-1H-1,27-28",0.42,3.06
0.29,765,17.8,448,0.29,600,15.86,"161-976A-1H-1,29-30",NA,2.73
0.31,818,17.7,487,0.31,650,19.43,"161-976A-1H-1,31-32",0.5,3.91
0.33,871,17.7,419,0.33,690,18.92,"161-976A-1H-1,33-34",0.58,3.71
0.35,924,18.2,453,0.35,730,NA,"161-976A-1H-1,35-36",0.54,NA
0.37,977,18,421,0.37,770,NA,"161-976A-1H-1,37-38",0.65,NA
0.39,1029,17.7,408,0.39,810,NA,"161-976A-1H-1,39-40",0.26,NA
0.41,1082,17.6,437,0.41,850,19.75,"161-976A-1H-1,41-42",0.43,4.04
0.43,1135,18.1,362,0.43,900,16.64,"161-976A-1H-1,43-44",0.31,2.96
0.45,1188,18.1,432,0.45,940,15.42,"161-976A-1H-1,45-46",0.45,2.62
0.47,1240,18.1,439,0.47,980,18.18,"161-976A-1H-1,47-48",0.49,3.45
0.49,1293,17.9,487,0.49,1020,16.35,"161-976A-1H-1,49-50",0.41,2.87
0.51,1346,18.1,410,0.51,1060,NA,"161-976A-1H-1,51-52",0.63,NA
0.53,1399,18.3,435,0.53,1100,18,"161-976A-1H-1,53-54",0.52,3.39
0.55,1458,18.3,456,0.55,1150,15.59,"161-976A-1H-1,55-56",0.37,2.66
0.57,1525,18.3,403,0.57,1190,17.93,"161-976A-1H-1,57-58",0.35,3.36
0.61,1657,18.1,497,0.59,1230,NA,"161-976A-1H-1,59-60",0.41,NA
0.63,1723,18.3,452,0.61,1270,17.9,"161-976A-1H-1,61-62",0.42,3.36
0.65,1790,18.2,410,0.63,1350,14.9,"161-976A-1H-1,63-64",0.43,2.49
0.67,1880,18.3,385,0.65,1440,15.77,"161-976A-1H-1,65-66",0.37,2.71
0.69,1969,18.5,435,0.67,1520,17.87,"161-976A-1H-1,67-68",0.49,3.35
0.71,2059,18.6,417,0.69,1610,16.38,"161-976A-1H-1,69-70",0.81,2.88
0.75,2239,18,560,0.71,1690,16.9,"161-976A-1H-1,71-72",0.61,3.04
0.77,2329,18.1,526,0.73,1780,17.01,"161-976A-1H-1,73-74",0.56,3.07
0.79,2419,18.4,475,0.75,1860,16.43,"161-976A-1H-1,75-76",0.58,2.9
0.81,2509,18.1,572,0.77,1950,NA,"161-976A-1H-1,77-78",0.34,NA
0.83,2598,18.1,491,0.79,2030,18.01,"161-976A-1H-1,79-80",0.74,3.39
0.85,2688,17.9,493,0.81,2120,NA,"161-976A-1H-1,81-82",0.37,NA
0.87,2778,18.5,429,0.83,2200,NA,"161-976A-1H-1,83-84",0.41,NA
0.89,2868,18.6,426,0.85,2290,NA,"161-976A-1H-1,85-86",0.47,NA
0.91,2958,18.6,449,0.87,2370,NA,"161-976A-1H-1,87-88",0.48,NA
0.93,3048,18.4,458,0.89,2460,16.37,"161-976A-1H-1,89-90",0.35,2.88
0.95,3138,18.7,492,0.91,2540,18.1,"161-976A-1H-1,91-92",0.37,3.42
0.97,3227,18.7,410,0.93,2630,19.47,"161-976A-1H-1,93-94",0.52,3.93
0.99,3317,18.5,411,0.95,2710,18.28,"161-976A-1H-1,95-96",0.66,3.48
1.01,3407,18.3,409,0.97,2800,17.39,"161-976A-1H-1,97-98",0.6,3.19
1.03,3494,18.7,459,0.99,2880,NA,"161-976A-1H-1,99-100",0.55,NA
1.05,3576,18.6,411,1.01,2970,NA,"161-976A-1H-1,101-102",0.58,NA
1.07,3655,18.6,390,1.03,3050,15.78,"161-976A-1H-1,103-104",0.79,2.71
1.09,3734,18.5,453,1.05,3130,16.73,"161-976A-1H-1,105-106",0.44,2.98
1.11,3814,18.4,477,1.07,3210,16.87,"161-976A-1H-1,107-108",0.36,3.03
1.13,3893,18.6,385,1.09,3290,16.34,"161-976A-1H-1,109-110",0.21,2.87
1.15,3972,18.5,443,1.11,3370,NA,"161-976A-1H-1,111-112",0.31,NA
1.17,4051,18.4,380,1.13,3450,19.17,"161-976A-1H-1,113-114",0.75,3.81
1.19,4130,18.5,451,1.15,3530,17.52,"161-976A-1H-1,115-116",0.49,3.23
1.21,4209,18.8,301,1.17,3610,17.32,"161-976A-1H-1,117-118",0.49,3.16
1.23,4288,18.7,376,1.19,3690,16.41,"161-976A-1H-1,119-120",0.09,2.89
1.25,4367,18.5,357,1.21,3770,15.78,"161-976A-1H-1,121-122",0.42,2.71
1.27,4447,18.7,356,1.23,3850,17.17,"161-976A-1H-1,123-124",0.49,3.12
1.29,4526,18.6,432,1.25,3930,18.65,"161-976A-1H-1,125-126",0.42,3.61
1.31,4605,18.8,375,1.27,4010,17.43,"161-976A-1H-1,127-128",0.53,3.2
1.33,4684,18.6,385,1.29,4090,NA,"161-976A-1H-1,129-130",0.34,NA
1.35,4763,18.8,367,1.31,4170,16.99,"161-976A-1H-1,131-132",NA,3.06
1.37,4842,18.7,299,1.33,4250,15.01,"161-976A-1H-1,133-134",0.68,2.51
1.39,4921,18.6,319,1.35,4330,16.37,"161-976A-1H-1,135-136",0.47,2.88
1.41,5001,18.6,326,1.37,4410,NA,"161-976A-1H-1,137-138",0.51,NA
1.43,5080,18.6,356,1.39,4490,15.7,"161-976A-1H-1,139-140",0.36,2.69
1.45,5159,18.7,342,1.41,4580,16.13,"161-976A-1H-1,141-142",NA,2.81
1.47,5238,18.2,390,1.43,4660,15.94,"161-976A-1H-1,143-144",0.72,2.76
