depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
104,Carbon-14,108563,105,1055,NA,NA
204,Carbon-14,108564,145,1855,NA,NA
304,Carbon-14,108565,120,2430,NA,NA
375,Carbon-14,108566,95,2280,NA,NA
427,Carbon-14,108567,120,3900,NA,NA
474,Carbon-14,108568,145,3920,NA,NA
554,Carbon-14,108569,120,5795,NA,NA
657,Carbon-14,108570,120,7160,NA,NA
729,Carbon-14,108571,140,8450,NA,NA
794,Carbon-14,108572,215,8715,NA,NA
854,Carbon-14,108573,150,10200,NA,NA
