year (AD),age (BP),d18O (permil)
1425,525,1.28
1421,529,1.33
1417,533,1.82
1414,536,1.41
1410,540,1.58
1406,544,1.53
1403,547,1.5
1399,551,1.23
1395,555,1.25
1392,558,1.17
1388,562,1.33
1384,566,1.26
1380,570,1.06
1377,573,1.21
1373,577,1.23
1369,581,1.35
1366,584,0.98
1362,588,1.54
1358,592,1.51
1355,595,1.25
1351,599,1.32
1347,603,1.06
1343,607,1.05
1340,610,1.27
1336,614,1.29
1332,618,1.44
1329,621,1.34
1325,625,1.32
1321,629,1.14
1317,633,1.16
1314,636,1.1
1310,640,1.41
1306,644,1.15
1302,648,1.28
1299,651,1.3
1295,655,1.45
1291,659,1.06
1284,666,1.33
1280,670,1.23
1276,674,1.24
1272,678,1.1
1269,681,1.07
1265,685,1.19
1261,689,0.92
1248,702,1.33
1235,715,1.32
1222,728,1.3
1209,741,1.26
1196,754,1.4
1183,767,1.38
1170,780,1.14
1157,793,0.99
1144,806,1.43
1131,819,1.37
1118,832,1.32
1106,844,1.37
1093,857,1.39
1080,870,1.55
1067,883,1.44
1054,896,1.42
1041,909,1.55
1028,922,1.01
1015,935,1.18
1002,948,1.1
989,961,1.15
976,974,0.99
963,987,1.06
954,996,1.32
945,1005,1.13
936,1014,1.32
927,1023,1.27
918,1032,1.27
909,1041,1.38
900,1050,1.44
891,1059,1.25
882,1068,1.32
872,1078,1.41
863,1087,1.27
854,1096,1.46
845,1105,1.37
836,1114,1.19
827,1123,1.32
818,1132,1.36
809,1141,1.25
800,1150,1.15
791,1159,1.18
779,1171,1.35
767,1183,1.49
754,1196,1.4
742,1208,1.48
730,1220,1.38
718,1232,1.5
705,1245,1.3
693,1257,1.18
681,1269,1.05
669,1281,1.11
656,1294,1.08
644,1306,1.42
632,1318,1.54
620,1330,1.41
607,1343,1.34
595,1355,1.29
583,1367,1.4
571,1379,0.79
559,1391,1.28
546,1404,1.25
534,1416,1.26
522,1428,1.47
510,1440,1.38
497,1453,1.4
485,1465,1.23
473,1477,1.34
461,1489,1.69
448,1502,1.58
436,1514,1.54
424,1526,0.74
412,1538,1.06
399,1551,1.14
387,1563,1.13
375,1575,0.79
363,1587,1.2
351,1599,1.08
338,1612,1.21
326,1624,1.17
314,1636,1.28
302,1648,1.43
289,1661,0.95
277,1673,0.89
265,1685,1.23
253,1697,1.17
240,1710,1.12
228,1722,1.25
216,1734,1.09
204,1746,1.16
192,1758,1.33
179,1771,1.2
167,1783,1.13
155,1795,1.12
143,1807,0.83
130,1820,0.75
118,1832,1.09
106,1844,1
94,1856,1.06
81,1869,1.01
69,1881,0.85
57,1893,0.73
45,1905,1.05
32,1918,0.98
20,1930,0.92
8,1942,0.99
-14,1964,0.89
-35,1985,0.94
-57,2007,0.93
-78,2028,1.15
-100,2050,0.92
-122,2072,0.96
-143,2093,0.97
-165,2115,0.81
-251,2201,1.28
-273,2223,1.06
-294,2244,1
-316,2266,0.99
-337,2287,1.25
-359,2309,1.22
-374,2324,0.99
-388,2338,1.34
-403,2353,0.99
-418,2368,1.23
-432,2382,1.21
-447,2397,1.1
-462,2412,1.28
-476,2426,1.27
-491,2441,1.07
-506,2456,0.7
-521,2471,1.22
-535,2485,0.96
-550,2500,0.71
-565,2515,1.1
-579,2529,0.62
-594,2544,0.82
-609,2559,0.99
-623,2573,1.28
-638,2588,0.55
-653,2603,1.28
-667,2617,1.65
-682,2632,1.51
-697,2647,1.51
-711,2661,1.78
-726,2676,1.33
-741,2691,1.82
-756,2706,1.59
-770,2720,1.7
-785,2735,1.58
-800,2750,1.37
-814,2764,1.28
-829,2779,1.25
-844,2794,1.39
-858,2808,1.08
-873,2823,2.03
-888,2838,1.31
-902,2852,1.32
-917,2867,1.34
-932,2882,1.31
-946,2896,1.22
-961,2911,1.08
-976,2926,1.26
-991,2941,1.12
-1005,2955,1.31
-1020,2970,1.41
-1035,2985,1.24
-1049,2999,1.34
-1064,3014,1.49
-1079,3029,1.36
-1093,3043,0.93
-1108,3058,1.11
-1123,3073,1.14
-1137,3087,1.29
-1152,3102,1.21
-1167,3117,0.94
-1181,3131,1.29
-1196,3146,1.34
-1211,3161,1.37
-1226,3176,1.1
-1255,3205,1.34
-1270,3220,1.28
-1284,3234,1.31
-1299,3249,1.32
-1314,3264,NA
-1328,3278,1.16
-1343,3293,1.19
-1358,3308,1.13
-1372,3322,1.24
-1402,3352,1.13
-1416,3366,1.09
-1431,3381,1.01
-1446,3396,1.17
-1461,3411,NA
-1475,3425,1.39
-1490,3440,1.11
-1505,3455,1.25
-1519,3469,1.28
-1534,3484,1.44
-1549,3499,1.28
-1563,3513,1.17
-1578,3528,1.14
-1593,3543,1.22
-1607,3557,1.62
-1622,3572,1.32
-1637,3587,1.36
-1651,3601,1.45
-1666,3616,1.36
-1681,3631,1.77
-1696,3646,1.16
-1710,3660,1.27
-1725,3675,1.42
-1740,3690,1.46
-1754,3704,1.57
-1769,3719,1.28
-1784,3734,1.27
-1798,3748,1.31
-1813,3763,1.45
-1826,3776,1.64
-1839,3789,1.36
-1852,3802,1.44
-1866,3816,1.42
-1879,3829,1.43
-1892,3842,1.95
-1905,3855,1.64
-1918,3868,1.78
-1931,3881,1.52
-1945,3895,1.45
-1958,3908,1.8
-1971,3921,1.31
-1984,3934,1.52
-1997,3947,1.39
-2010,3960,1.45
-2024,3974,1.85
-2037,3987,1.43
-2050,4000,1.41
-2063,4013,1.58
-2076,4026,1.43
-2089,4039,1.5
-2102,4052,1.56
-2116,4066,1.22
-2129,4079,1.19
-2142,4092,1.38
-2155,4105,1.75
-2168,4118,1.38
-2181,4131,1.27
-2195,4145,1.35
-2208,4158,1.4
-2221,4171,1.6
-2234,4184,1.19
-2247,4197,1.39
-2260,4210,1.46
-2273,4223,1.43
-2287,4237,1.85
-2300,4250,1.46
-2313,4263,1.63
-2326,4276,1.63
-2339,4289,1.64
-2352,4302,1.72
-2366,4316,1.38
-2379,4329,1.35
-2418,4368,1.56
-2549,4499,1.36
-2566,4516,1.62
-2582,4532,1.36
-2598,4548,1.44
-2615,4565,1.4
-2631,4581,1.32
-2647,4597,1.39
-2663,4613,1.35
-2680,4630,NA
-2696,4646,1.52
-2712,4662,1.25
-2729,4679,1.51
-2745,4695,1.4
-2761,4711,1.56
-2778,4728,1.42
-2794,4744,1.37
-2810,4760,1.54
-2827,4777,1.49
-2843,4793,1.35
-2859,4809,1.25
-2876,4826,1.32
-2892,4842,1.54
-2908,4858,1.25
-2925,4875,1.66
-2941,4891,1.6
-2957,4907,1.59
-2973,4923,1.53
-2990,4940,1.55
-3006,4956,1.43
-3022,4972,1.4
-3039,4989,1.33
-3055,5005,1.57
-3071,5021,1.5
-3088,5038,1.37
-3104,5054,1.56
-3120,5070,1.57
-3137,5087,1.71
-3153,5103,1.32
-3169,5119,1.3
-3186,5136,1.34
-3202,5152,1.32
-3218,5168,1.64
-3234,5184,1.52
-3251,5201,1.38
-3267,5217,1.49
-3283,5233,1.38
-3300,5250,1.65
-3316,5266,1.43
-3332,5282,1.28
-3349,5299,1.52
-3365,5315,1.51
-3381,5331,NA
-3398,5348,1.38
-3414,5364,1.34
-3430,5380,1.35
-3447,5397,1.37
-3463,5413,1.29
-3479,5429,1.23
-3496,5446,1.29
-3512,5462,1.27
-3528,5478,1.47
-3544,5494,1.22
-3561,5511,1.55
-3577,5527,1.58
-3593,5543,1.74
-3610,5560,1.3
-3626,5576,1.49
-3642,5592,1.46
-3659,5609,1.34
-3675,5625,1.58
-3691,5641,1.33
-3708,5658,1.59
-3724,5674,1.49
-3740,5690,1.6
-3757,5707,1.4
-3773,5723,1.55
-3789,5739,1.52
-3806,5756,NA
-3822,5772,NA
-3838,5788,1.38
-3854,5804,1.69
-3871,5821,1.54
-3887,5837,1.41
-3903,5853,1.47
-3920,5870,1.28
-3936,5886,1.22
-3952,5902,1.42
-3969,5919,1.35
-3985,5935,1.49
-4018,5968,1.16
-4034,5984,1.48
-4050,6000,1.15
-4067,6017,1.46
-4083,6033,1.31
-4099,6049,1.2
-4116,6066,1.53
-4132,6082,1.29
-4148,6098,1.26
-4164,6114,1.37
-4181,6131,1.43
-4197,6147,1.76
-4213,6163,1.52
-4230,6180,1.46
-4246,6196,1.37
-4262,6212,1.45
-4279,6229,1.6
-4295,6245,1.31
-4311,6261,1.18
-4328,6278,1.29
-4344,6294,1.28
-4360,6310,1.51
-4377,6327,1.32
-4393,6343,1.31
-4409,6359,1.31
-4425,6375,1.27
-4442,6392,1.62
-4458,6408,1.41
-4474,6424,1.4
-4491,6441,1.33
-4507,6457,1.29
-4523,6473,1.83
-4540,6490,1.25
-4556,6506,1.25
-4572,6522,1.39
-4589,6539,1.33
-4605,6555,1.72
-4621,6571,1.39
-4638,6588,1.48
-4654,6604,1.27
-4670,6620,1.43
-4687,6637,1.68
-4703,6653,1.45
-4719,6669,1.55
-4735,6685,1.13
-4752,6702,1.16
-4768,6718,1.48
-4784,6734,1.19
-4801,6751,1.6
-4817,6767,1.35
-4833,6783,1.31
-4850,6800,1.73
-4866,6816,1.31
-4882,6832,1.27
-4899,6849,1.27
-4915,6865,1.28
-4931,6881,1.58
-4948,6898,1.3
-4964,6914,1.16
-4980,6930,1.16
-4997,6947,1.42
-5013,6963,1.6
-5029,6979,1.31
-5045,6995,1.41
-5062,7012,1.38
-5078,7028,1.3
-5094,7044,1.83
-5111,7061,1.19
-5127,7077,1.23
-5143,7093,1.3
-5160,7110,1.16
-5176,7126,1.63
-5192,7142,0.98
-5209,7159,1.1
-5225,7175,1.14
-5241,7191,1.28
-5258,7208,1.42
-5274,7224,1.3
-5290,7240,1.19
-5306,7256,1.27
-5323,7273,1.22
-5339,7289,1.57
-5355,7305,1.32
-5372,7322,1.29
-5388,7338,0.87
-5404,7354,1.22
-5421,7371,1.67
-5437,7387,1.31
-5453,7403,1.27
-5470,7420,1.33
-5486,7436,1.17
-5502,7452,1.37
-5519,7469,1.27
-5535,7485,1.34
-5551,7501,1.21
-5568,7518,1.34
-5584,7534,1.52
-5600,7550,1.16
-5616,7566,1.22
-5633,7583,1.2
-5649,7599,1.13
-5665,7615,1.27
-5682,7632,1.13
-5698,7648,1.12
-5714,7664,1.29
-5731,7681,1.13
-5838,7788,1.29
-5860,7810,1.34
-5883,7833,1.25
-5906,7856,1.63
-5928,7878,1.21
-5951,7901,1.19
-5974,7924,1.73
-5996,7946,1.57
-6019,7969,1.67
-6042,7992,1.46
