year (AD),age (BP),d18O (permil),distance (cm),d13C (permil)
2006,-56,-3.63,0,-2.29
2001.6,-51.6,-3.81,0.5,-2.23
1997.2,-47.2,-3.86,1,-2.47
1992.8,-42.8,-3.77,1.5,-2.45
1988.4,-38.4,-4.15,2,-2.1
1984,-34,-4.43,2.5,-2.02
1979.6,-29.6,-4.37,3,-2.64
1975.2,-25.2,-3.91,3.5,-2.4
1970.8,-20.8,-4.47,4,-2.42
1966.4,-16.4,-3.69,4.5,-2.49
1962,-12,-3.81,5,-2.26
1957.6,-7.6,-3.84,5.5,-2.75
1953.2,-3.2,-3.96,6,-2.19
1948.8,1.2,-3.81,6.5,-2.31
1944.4,5.6,-3.78,7,-2.26
1940,10,-3.59,7.5,-2.04
1935,15,-3.61,8,-1.65
1930,20,-3.54,8.5,-1.92
1925,25,-3.37,9,-1.69
1920,30,-3.49,9.5,-2.55
1915,35,-3.41,10,-2.26
1910,40,-3.15,10.5,-1.8
1905,45,-3.15,11,-1.77
1900,50,-3.49,11.5,-2.42
1895,55,-3.61,12,-2.26
1890,60,-3.85,12.5,-2.23
1885,65,-4.21,13,-2.08
1880,70,-3.97,13.5,-2.59
1875,75,-3.91,14,-2.52
1870,80,-3.87,14.5,-2.51
1865,85,-3.33,15,-2.39
1860,90,-3.4,15.5,-1.88
1855,95,-3.64,16,-1.8
1850,100,-3.52,16.5,-1.98
1845,105,-3.44,17,-1.83
1840,110,-3.71,17.5,-2.08
1835,115,-3.87,18,-2.23
1830,120,-3.88,18.5,-2.08
1825,125,-3.36,19,-2.65
1820,130,-2.71,19.5,-2.86
1815,135,-2.5,20,-2.6
1810,140,-2.79,20.5,-2.21
1805,145,-2.86,21,-2.22
1800,150,-2.54,21.5,-2.49
1795,155,-2.36,22,-2.11
1790,160,-2.88,22.5,-2.66
1785,165,-3.19,23,-2.88
1779.7,170.3,-2.19,23.5,-2.72
1774.5,175.5,-2.61,24,-2.23
1769.2,180.8,-2.74,24.5,-2.39
1764,186,-2.29,25,-2.52
1758.7,191.3,-2.17,25.5,-2.54
1753.4,196.6,-1.9,26,-1.7
1748.2,201.8,-2.03,26.5,-2.19
1742.9,207.1,-1.6,27,-1.98
1737.7,212.3,-2.05,27.5,-1.57
1732.4,217.6,-2.47,28,-2.16
1727.1,222.9,-3.06,28.5,-2.3
1721.9,228.1,-3.51,29,-2.99
1716.6,233.4,-3.13,29.5,-3.18
1711.4,238.6,-3.42,30,-2.49
1706.1,243.9,-3.51,30.5,-2.43
1700.9,249.1,-3.69,31,-2.82
1695.6,254.4,-3.5,31.5,-3.18
1690.3,259.7,-3.57,32,-3.39
1685.1,264.9,-3.36,32.5,-3.18
1679.8,270.2,-3.25,33,-2.54
1674.6,275.4,-3.55,33.5,-3.25
1669.3,280.7,-4.18,34,-2.97
1664,286,-4.68,34.5,-3.57
1658.8,291.2,-4.38,35,-3.8
1653.5,296.5,-4.58,35.5,-4.26
1648.3,301.7,-4.04,36,-2.42
1643,307,-4.25,36.5,-2.98
1636.9,313.1,-3.71,37,-1.54
1630.9,319.1,-3.86,37.5,-1.41
1624.8,325.2,-3.66,38,-1.22
1618.8,331.2,-3.87,38.5,-1.47
1612.7,337.3,-3.8,39,-1.67
1606.6,343.4,-4.56,39.5,-2.41
1600.6,349.4,-4.3,40,-2.88
1594.5,355.5,-3.9,40.5,-2.46
1588.5,361.5,-4.19,41,-3.13
1582.4,367.6,-4.28,41.5,-2.94
1576.3,373.7,-4.05,42,-2.82
1570.3,379.7,-4.24,42.5,-2.98
1564.2,385.8,-4.78,43,-2.9
1558.2,391.8,-4.68,43.5,-2.77
1552.1,397.9,-3.93,44,-2.64
1546,404,-3.98,44.5,-2.52
1540,410,-4.33,45,-2.98
1533.9,416.1,-4.28,45.5,-3.12
1527.9,422.1,-4.21,46,-0.95
1521.8,428.2,-3.93,46.5,-0.87
1515.7,434.3,-3.92,47,-1.73
1509.7,440.3,-4.05,47.5,-2.38
1503.6,446.4,-4.37,48,-2.78
1497.6,452.4,-4.8,48.5,-3.03
1491.5,458.5,-4.6,49,-2.95
1485.4,464.6,-4.51,49.5,-3.2
1479.4,470.6,-4.3,50,-2.7
1473.3,476.7,-4.77,50.5,-3.26
1467.3,482.7,-4.95,51,-3.78
1461.2,488.8,-5.01,51.5,-4.06
1455.1,494.9,-4.63,52,-3.96
1449.1,500.9,-4.55,52.5,-3.72
1443,507,-4.59,53,-3.65
1437,513,-4.88,53.5,-3.99
1430.9,519.1,-4.72,54,-3.29
1424.8,525.2,-4.22,54.5,-2.59
1418.8,531.2,-4.12,55,-2.72
1412.7,537.3,-4.33,55.5,-3.31
1406.7,543.3,-4.02,56,-2.98
1400.6,549.4,-4.54,56.5,-3.54
1394.5,555.5,-4.61,57,-3.86
1388.5,561.5,-4.54,57.5,-4.14
1382.4,567.6,-4.77,58,-4.54
1376.3,573.7,-4.51,58.5,-3.86
1370.3,579.7,-4.08,59,-3.29
1364.2,585.8,-4.03,59.5,-3.61
1358.2,591.8,-4.19,60,-2.9
1352.1,597.9,-4.21,60.5,-3.94
1346,604,-4.33,61,-4.29
1340,610,-4.3,61.5,-4.24
1333.9,616.1,-4.69,62,-4.8
1327.9,622.1,-4.18,62.5,-3.86
1321.8,628.2,-4.62,63,-4.29
1315.7,634.3,-4.28,63.5,-4.04
1309.7,640.3,-4.16,64,-4.31
1303.6,646.4,-4.49,64.5,-5.66
1297.6,652.4,-4.26,65,-5.51
1291.5,658.5,-4.01,65.5,-4.75
1285.4,664.6,-4.37,66,-4.53
1279.4,670.6,-4.27,66.5,-3.56
1273.3,676.7,-4.21,67,-3.92
1267.3,682.7,-4.36,67.5,-3.76
1261.2,688.8,-4.39,68,-3.72
1255.1,694.9,-4.16,68.5,-3.48
1249.1,700.9,-3.93,69,-3.34
1243,707,-3.97,69.5,-2.95
1237,713,-3.98,70,-3.7
1230.9,719.1,-4.41,70.5,-4.08
1224.8,725.2,-4.16,71,-3.87
1218.8,731.2,-3.63,71.5,-2.85
1212.7,737.3,-4.76,72,-3.07
1206.7,743.3,-4.89,72.5,-3.38
1200.6,749.4,-4.68,73,-3.32
1194.5,755.5,-4.84,73.5,-3.52
1188.5,761.5,-4.94,74,-4.5
1182.4,767.6,-4.87,74.5,-3.83
1176.4,773.6,-4.56,75,-4.5
1170.3,779.7,-4.39,75.5,-3.83
1164.2,785.8,-4.38,76,-3.82
1158.2,791.8,-4.52,76.5,-3.5
1152.1,797.9,-4.63,77,-3.67
1146.1,803.9,-4.75,77.5,-3.63
1140,810,-4.73,78,-3.11
1125.3,824.7,-4.48,78.5,-3.62
1110.5,839.5,-4.06,79,-3.18
1095.8,854.2,-4,79.5,-2.71
1081,869,-4.54,80,-2.47
1066.3,883.7,-4.79,80.5,-3.54
1051.5,898.5,-4.7,81,-3.84
1036.8,913.2,-4.6,81.5,-4.08
1022,928,-4.64,82,-3.77
1007.3,942.7,-4.54,82.5,-3.75
992.5,957.5,-4.75,83,-3.46
977.8,972.2,-4.78,83.5,-3.05
963,987,-4.48,84,-3.55
948.3,1001.7,-4.47,84.5,-3.85
933.5,1016.5,-4.71,85,-3.45
918.8,1031.2,-4.69,85.5,-3.26
904,1046,-4.54,86,-4.08
889.3,1060.7,-4.66,86.5,-4.53
874.5,1075.5,-4.61,87,-4.48
859.8,1090.2,-4.49,87.5,-4.15
845,1105,-4.41,88,-4.96
830.3,1119.7,-4.27,88.5,-4.39
815.5,1134.5,-4.28,89,-4.62
800.8,1149.2,-4.3,89.5,-4.09
786.1,1163.9,-3.89,90,-3.52
771.3,1178.7,-3.83,90.5,-2.78
756.6,1193.4,-3.65,91,-3.36
741.8,1208.2,-4.09,91.5,-3.47
727.1,1222.9,-4.01,92,-3.8
712.3,1237.7,-3.92,92.5,-3.81
697.6,1252.4,-4.39,93,-4.34
682.8,1267.2,-4.28,93.5,-3.2
668.1,1281.9,-4.17,94,-4.11
