depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
495,Carbon-14,109755,70,1870,peat,NA
889,Carbon-14,109756,70,3490,silty peat,NA
1035,Carbon-14,109757,80,3800,silty peat,NA
