depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
45,Carbon-14,112582,70,930,fibrous sedge peat,NA
255,Carbon-14,112583,130,4320,calcareous gyttja,NA
340,Carbon-14,112584,290,6660,calcareous gyttja,"dated material aquatic and terrestrial plant fragments, probable hardwater effect."
392.5,Carbon-14,112585,350,8700,very calcareous gyttja,"dated material mostly submergent aquatics (e.g. Myriophyllum), probable hardwater effect."
467.5,Carbon-14,112586,320,9590,very calcareous gyttja,"dated material entirely mollusc and ostracode shells, probable hardwater effect."
