year (AD),age (BP),d2H_C16 (m),d2H_C26 (m),d2H_C28 (m),d2H_C30 (m)
1879.091,70.909,-153.23,-147.33,-141.81,-141.85
1497.273,452.727,-182.09,-146.38,-140.98,-141.42
1115.455,834.545,-179.91,-142.22,-139.34,-142.56
606.364,1343.636,-195.27,-147.2,-142.97,-147.4
358.182,1591.818,-184.08,NA,NA,-144.53
-150.909,2100.909,-182.49,-153.1,-152.8,-147.73
-666.364,2616.364,-199.44,-140.3,-136.59,-145.86
-1064.573,3014.573,-179.49,-154.3,-151.7,-139.94
-1607.286,3557.286,-187.2,-150.9,-148,-138.92
-2172.126,4122.126,-187.22,-104.39,NA,-141.59
-2459.77,4409.77,-183.53,-155.3,-152,-137.54
-3049.808,4999.808,-186.33,-147.1,-149.5,-138.56
-3632.471,5582.471,-188.82,-132,-129.85,-138.17
-3920.115,5870.115,-171.54,-145.1,-143.9,-131.27
-4510.153,6460.153,-178.57,-139.1,-136.6,-130.12
-5033.812,6983.812,-187.11,-138.66,-138.09,-148
-5255.077,7205.077,-182.48,NA,NA,-136.03
-5395.211,7345.211,-167.35,-172.6,-137.1,-116.21
-5550.096,7500.096,-175.64,NA,NA,-136.03
-5845.115,7795.115,-176.36,-132.64,-131.41,-139.07
-5985.249,7935.249,-192.31,-142.7,-139.8,-132.87
-6125.735,8075.735,-176.48,-129.34,-129.15,-136.26
-6251.471,8201.471,-187.34,-146.6,-152.2,-144.56
-6397.059,8347.059,-203,-153.7,-155.4,-148.29
-6463.235,8413.235,-200.61,-156,-159.5,-151.28
-6516.176,8466.176,-196.1,-152.9,-152.1,-149.21
-7087.5,9037.5,-182.34,-157.8,-162.3,-150.98
-7512.5,9462.5,-191.22,-156.4,-158,-149.8
-7937.5,9887.5,-188.12,-157.6,-159.3,-150.56
-8319,10269,-186.82,-164.3,-164.6,-159.24
-9150,11100,-190.54,-150.1,-148.1,-150.25
-9816.667,11766.667,-197.54,-142.9,-138.5,-146.79
-10083.333,12033.333,-197.93,-145.9,-143.6,-149.56
-10683.333,12633.333,-200.55,-133.6,-131.6,-144.55
-11016.667,12966.667,-197.01,-131.7,-123.6,-133.76
