age (BP) [1-1],d13C (permil) [1-1],C/N (unitless) [1-1],TOC (mg/g) [1-1],MS (unitless) [1-1],SE (cm yr-1) [1-1],BSi (mg/g) [1-1],age (BP) [2-1],PC1 (unitless) [2-1]
-1,NA,NA,13.828,NA,0.357,NA,-51,-3.012
0,NA,NA,12.604,NA,0.355,NA,-30.986,-2.407
2,-27.988,12.929,10.898,NA,0.33,NA,-10.972,-2.565
3,NA,NA,15.366,NA,0.313,63.621,9.042,-3.007
5,NA,NA,15.889,NA,0.282,58.091,29.056,-2.537
7,NA,NA,11.209,NA,0.28,NA,49.07,-1.82
8,NA,NA,13.724,NA,0.272,NA,69.085,-3.203
10,NA,NA,13.899,NA,0.26,66.205,89.099,-3.269
12,NA,NA,15.87,NA,0.245,NA,109.113,-2.613
14,NA,NA,15.88,NA,0.217,NA,129.127,-3.237
17,NA,NA,14.223,NA,0.201,NA,149.141,-3.084
19,NA,NA,14.029,NA,0.22,69.665,169.155,-3.312
21,-26.979,13.5,15.349,NA,0.224,NA,189.169,-3.937
24,NA,NA,15.993,NA,0.227,66.67,209.183,-3.754
26,NA,NA,13.761,NA,0.253,NA,229.197,-3.172
28,NA,NA,14.344,NA,0.267,NA,249.211,-2.445
30,NA,NA,11.666,NA,0.282,62.488,269.225,-2.324
31,NA,NA,11.291,NA,0.292,63.131,289.24,-2.54
33,NA,NA,10.974,NA,0.324,NA,309.254,-2.302
35,NA,NA,13.025,NA,0.313,NA,329.268,-3.196
36,NA,NA,12.342,NA,0.362,NA,349.282,-2.854
38,NA,NA,12.544,NA,0.392,58.967,369.296,-2.5
39,-26.672,12.417,11.278,NA,0.383,NA,389.31,-2.589
40,NA,NA,13.375,NA,0.407,95.349,409.324,-2.957
41,NA,NA,NA,NA,0.395,NA,429.338,-4.401
43,NA,NA,12.311,340.701,0.418,NA,449.352,-4.373
44,NA,NA,NA,NA,0.395,53.553,469.366,-5.211
45,NA,NA,11.797,418.382,0.33,NA,489.38,-4.939
47,NA,NA,NA,NA,0.277,NA,509.395,-3.172
48,NA,NA,10.713,483.721,0.231,39.6,529.409,-2.493
51,NA,NA,NA,NA,0.235,NA,549.423,-3.149
53,NA,NA,11.24,518.274,0.238,NA,569.437,-3.016
55,-26.472,14.778,NA,NA,0.262,58.856,589.451,-3.417
57,NA,NA,23.309,540.813,0.272,NA,609.465,-3.032
59,NA,NA,NA,NA,0.274,NA,629.479,-2.692
60,NA,NA,11.831,555.999,0.257,43.133,649.493,-2.306
62,NA,NA,NA,NA,0.282,NA,669.507,-1.246
64,NA,NA,10.923,572.609,0.3,57.429,689.521,-1.544
66,NA,NA,NA,NA,0.284,66.121,709.535,-1.971
68,NA,NA,10.814,590.741,0.314,NA,729.55,-2.585
69,NA,NA,NA,NA,0.288,NA,749.564,-1.355
71,NA,NA,11.296,603.161,0.294,NA,769.578,-1.488
73,NA,NA,NA,NA,0.313,60.904,789.592,-1.485
74,NA,NA,12.747,606.053,0.297,NA,809.606,-1.259
76,NA,NA,NA,NA,0.304,NA,829.62,-1.526
77,-26.785,12.185,12.333,604.476,0.307,NA,849.634,-1.066
79,NA,NA,NA,NA,0.308,32.157,869.648,-1.081
81,-26.32,13.818,11.794,606.842,0.309,NA,889.662,-1.355
82,NA,NA,NA,NA,0.31,55.734,909.676,-0.453
84,NA,NA,10.632,616.174,0.311,44.9,929.69,-0.376
86,NA,NA,NA,NA,0.312,NA,949.705,-1.068
87,NA,NA,12.393,626.951,0.313,50.1,969.719,-1.222
89,NA,NA,NA,NA,0.313,NA,989.733,-1.768
90,NA,NA,10.7,632.209,0.315,NA,1009.747,-2.281
92,NA,NA,NA,NA,0.316,NA,1029.761,-2.26
94,NA,NA,12.407,629.186,0.317,NA,1049.775,-2.163
95,NA,NA,NA,NA,0.318,80.575,1069.789,-2.441
97,-27.43,10.8,12.144,619.591,0.319,NA,1089.803,-2.556
98,NA,NA,NA,NA,0.321,63.236,1109.817,-3.233
100,NA,NA,13.293,613.151,0.322,NA,1129.831,-3.474
101,NA,NA,NA,NA,0.324,NA,1149.845,-2.266
103,NA,NA,12.65,614.596,0.325,NA,1169.859,-2.21
104,NA,NA,NA,NA,0.326,NA,1189.874,-1.895
106,NA,NA,11.563,616.174,0.327,NA,1209.888,-2.492
108,NA,NA,NA,NA,0.328,49.714,1229.902,-1.995
109,NA,NA,10.973,605.396,0.329,NA,1249.916,-2.177
111,NA,NA,NA,NA,0.331,62.036,1269.93,-2.04
112,-26.766,14.5,13.564,582.789,0.332,NA,1289.944,-2.309
114,NA,NA,NA,NA,0.333,NA,1309.958,-2.47
115,NA,NA,13.957,558.604,0.334,NA,1329.972,-2.104
117,NA,NA,NA,NA,0.336,68.783,1349.986,-1.997
118,NA,NA,14.871,539.546,0.338,NA,1370,-1.771
120,NA,NA,NA,NA,0.339,NA,1390.014,-1.667
121,NA,NA,14.311,529.951,0.34,NA,1410.029,-1.6
122,NA,NA,NA,NA,0.341,55.849,1430.043,-1.996
124,NA,NA,13.701,529.951,0.342,NA,1450.057,-2.141
125,NA,NA,NA,NA,0.345,49.283,1470.071,-1.016
127,-25.947,13.6,10.853,536.917,0.346,NA,1490.085,-0.595
128,NA,NA,NA,NA,0.347,NA,1510.099,-0.503
130,NA,NA,11.061,546.381,0.348,NA,1530.113,-1.016
131,NA,NA,NA,NA,0.351,NA,1550.127,-0.403
133,NA,NA,12.612,553.61,0.352,41.024,1570.141,-0.224
134,NA,NA,NA,NA,0.353,NA,1590.155,-0.172
135,NA,NA,13.325,559.393,0.355,32.8,1610.169,-0.098
137,NA,NA,NA,NA,0.357,NA,1630.184,-0.176
138,NA,NA,13.153,565.702,0.358,NA,1650.198,-0.603
140,NA,NA,NA,NA,0.36,NA,1670.212,-0.285
141,-25.945,12.571,11.479,572.142,0.361,NA,1690.226,-0.154
142,NA,NA,NA,NA,0.364,42.427,1710.24,-0.229
144,NA,NA,13.609,578.714,0.365,NA,1730.254,0.116
145,NA,NA,NA,NA,0.366,NA,1750.268,0.038
147,NA,NA,11.492,587.652,0.368,NA,1770.282,-0.017
148,NA,NA,NA,NA,0.37,42.211,1790.296,0.062
149,NA,NA,10.815,599.613,0.372,NA,1810.31,0.117
