year (AD),age (BP),MS (m3kg-1)
849.404,1100.596,1.997e-7
826.527,1123.473,1.989e-7
803.552,1146.448,2.145e-7
780.482,1169.518,2.047e-7
757.32,1192.68,2.078e-7
734.068,1215.932,2.038e-7
710.728,1239.272,1.954e-7
687.303,1262.697,2.666e-7
663.795,1286.205,1.877e-7
640.208,1309.792,2.003e-7
616.542,1333.458,1.921e-7
592.8,1357.2,1.877e-7
568.986,1381.014,1.81e-7
545.1,1404.9,1.814e-7
521.146,1428.854,1.792e-7
497.126,1452.874,2.373e-7
473.042,1476.958,1.976e-7
448.896,1501.104,1.969e-7
424.69,1525.31,1.817e-7
400.427,1549.573,1.626e-7
376.11,1573.89,1.76e-7
351.739,1598.261,1.794e-7
327.318,1622.682,1.931e-7
302.848,1647.152,1.646e-7
278.331,1671.669,1.83e-7
253.771,1696.229,1.729e-7
229.168,1720.832,1.26e-7
204.525,1745.475,1.525e-7
179.845,1770.155,1.805e-7
155.128,1794.872,1.676e-7
130.377,1819.623,1.783e-7
105.594,1844.406,1.778e-7
80.782,1869.218,1.566e-7
55.941,1894.059,1.456e-7
31.075,1918.925,1.892e-7
6.184,1943.816,1.638e-7
-18.728,1968.728,1.684e-7
-43.661,1993.661,1.666e-7
-68.612,2018.612,1.854e-7
-93.58,2043.58,1.634e-7
-118.562,2068.562,1.623e-7
-143.557,2093.557,1.699e-7
-168.563,2118.563,1.609e-7
-193.578,2143.578,1.619e-7
-218.6,2168.6,1.576e-7
-243.628,2193.628,1.56e-7
-268.66,2218.66,1.553e-7
-293.693,2243.693,1.564e-7
-318.727,2268.727,1.519e-7
-343.76,2293.76,1.53e-7
-368.79,2318.79,1.602e-7
-393.815,2343.815,1.462e-7
-418.833,2368.833,1.448e-7
-443.844,2393.844,1.438e-7
-468.845,2418.845,1.633e-7
-493.835,2443.835,1.563e-7
-518.812,2468.812,1.574e-7
-543.775,2493.775,1.563e-7
-568.722,2518.722,1.651e-7
-593.651,2543.651,1.54e-7
-618.562,2568.562,1.493e-7
-643.452,2593.452,1.538e-7
-668.321,2618.321,1.514e-7
-693.166,2643.166,1.377e-7
-717.986,2667.986,1.4780000000000001e-07
-742.781,2692.781,1.486e-7
-767.547,2717.547,1.549e-7
-792.285,2742.285,1.56e-7
-816.992,2766.992,1.565e-7
-841.668,2791.668,1.629e-7
-866.311,2816.311,1.494e-7
-890.919,2840.919,1.524e-7
-915.492,2865.492,1.693e-7
-940.028,2890.028,1.524e-7
-964.526,2914.526,1.499e-7
-988.984,2938.984,1.561e-7
-1013.402,2963.402,1.583e-7
-1037.778,2987.778,1.596e-7
-1062.111,3012.111,1.424e-7
-1086.4,3036.4,1.446e-7
-1110.643,3060.643,1.424e-7
-1134.84,3084.84,1.543e-7
-1158.99,3108.99,1.531e-7
-1183.09,3133.09,1.508e-7
-1207.141,3157.141,1.665e-7
-1231.141,3181.141,1.52e-7
-1255.089,3205.089,1.581e-7
-1278.984,3228.984,1.553e-7
-1302.825,3252.825,1.554e-7
-1326.611,3276.611,1.505e-7
-1350.341,3300.341,1.615e-7
-1374.015,3324.015,1.776e-7
-1397.63,3347.63,1.655e-7
-1421.187,3371.187,1.572e-7
-1444.684,3394.684,1.525e-7
-1468.12,3418.12,1.603e-7
-1491.495,3441.495,1.62e-7
-1514.807,3464.807,1.602e-7
-1538.056,3488.056,1.582e-7
-1561.242,3511.242,1.308e-7
-1584.362,3534.362,1.5e-7
-1607.417,3557.417,1.42e-7
-1630.406,3580.406,1.412e-7
-1653.327,3603.327,1.51e-7
-1676.181,3626.181,1.549e-7
-1698.966,3648.966,1.665e-7
-1721.681,3671.681,1.624e-7
-1744.327,3694.327,1.775e-7
-1766.902,3716.902,1.533e-7
-1789.406,3739.406,1.72e-7
-1811.838,3761.838,1.601e-7
-1834.198,3784.198,1.509e-7
-1856.484,3806.484,1.683e-7
-1878.697,3828.697,1.664e-7
-1900.835,3850.835,1.702e-7
-1922.899,3872.899,1.569e-7
-1944.887,3894.887,1.577e-7
-1966.799,3916.799,2.024e-7
-1988.636,3938.636,1.718e-7
-2010.395,3960.395,1.341e-7
-2032.077,3982.077,1.508e-7
-2053.681,4003.681,1.414e-7
-2075.208,4025.208,1.238e-7
-2096.655,4046.655,1.429e-7
-2118.024,4068.024,1.364e-7
-2139.314,4089.314,1.348e-7
-2160.524,4110.524,1.458e-7
-2181.654,4131.654,1.433e-7
-2202.703,4152.703,1.487e-7
-2223.673,4173.673,1.365e-7
-2244.561,4194.561,1.229e-7
-2265.368,4215.368,1.465e-7
-2286.094,4236.094,1.429e-7
-2306.738,4256.738,1.021e-7
-2327.301,4277.301,1.44e-7
-2347.781,4297.781,1.578e-7
-2368.18,4318.18,1.22e-7
-2388.496,4338.496,1.314e-7
-2408.729,4358.729,1.315e-7
-2428.88,4378.88,1.243e-7
-2448.948,4398.948,1.27e-7
-2468.934,4418.934,1.401e-7
-2488.836,4438.836,1.223e-7
