depth (cm),age (BP),temperature (degC)
1,0,11.351
2,95,11.923
4,283,12.142
6,468,11.921
8,651,11.72
10,831,11.617
12,1009,11.303
14,1184,11.669
16,1356,11.868
18,1526,12.178
20,1694,11.659
22,1859,12.099
24,2021,11.832
26,2181,11.654
28,2339,11.758
30,2494,11.938
32,2648,11.33
34,2798,11.858
36,2947,12.124
38,3093,12.057
40,3237,11.944
42,3379,11.974
44,3519,12.31
46,3657,11.749
48,3792,12.002
50,3926,12.143
52,4057,12.328
54,4187,12.328
56,4315,11.971
58,4440,11.708
60,4564,11.964
62,4686,11.949
64,4806,12.065
66,4924,11.943
68,5041,12.189
70,5156,12.138
72,5269,12.06
74,5380,11.915
76,5490,12.065
78,5598,12.042
82,5809,12.281
86,6014,11.86
90,6214,11.839
94,6407,12.099
98,6595,12.393
102,6778,12.14
106,6957,12.469
110,7130,12.619
114,7299,12.099
118,7463,12.825
122,7624,12.618
126,7781,12.23
130,7934,12.559
132,8010,11.919
136,8158,12
140,8304,12.096
144,8447,12.084
148,8587,11.792
152,8726,11.698
156,8862,11.757
158,8930,11.127
160,8997,11.415
