depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),rejected_dates (),material_dated (),note ()
3.5,40,30,1648,53,1261,1162,10,1,11,NA,7,NA
11.5,120,110,1965,44,1557,1476,10,1,12,NA,7,NA
82.5,830,820,3466,48,3411,3292,10,1,8,NA,3,NA
108.5,1090,1080,4405,49,4647,4475,10,1,7,NA,2,NA
135,1360,1340,5435,41,5868,5755,20,1,9,NA,3,NA
195.5,1960,1950,7775,46,8300,8190,10,1,10,NA,7,NA
203.5,2040,2030,8319,64,8919,8768,10,1,13,NA,7,NA
368,3690,3670,9356,71,10279,9825,20,1,14,NA,7,NA
476.5,4770,4760,9430,70,10281,9861,10,1,1,NA,4,NA
500,5000,5000,9000,80,NA,NA,0,2,NA,NA,8,NA
576.5,5770,5760,9670,70,10597,10267,10,1,2,NA,9,NA
643.5,6440,6430,9850,75,10809,10336,10,1,3,NA,4,NA
895.5,8960,8950,10500,80,11890,11190,10,1,4,NA,4,NA
1168.5,11690,11680,11170,90,12902,12412,10,1,5,NA,1,NA
1339,13410,13370,12080,90,13813,13415,40,1,6,NA,5,NA
1425.5,14260,14250,12478,96,13436,13829,10,1,15,NA,7,NA
1645.5,16460,16450,12597,79,14276,13421,10,1,16,NA,7,NA
1704.5,17050,17040,12714,86,14956,13438,10,1,17,NA,7,NA
2182.5,21830,21820,13130,91,15416,13709,10,1,18,NA,7,NA
2434.5,24350,24340,12061,77,13610,13411,10,1,19,1,7,1
2749.5,27500,27490,13469,77,15513,14389,10,1,20,NA,7,NA
3329.5,33300,33290,52291,4082,NA,NA,10,1,21,1,7,1
3638.5,36390,36380,51592,3814,NA,NA,10,1,22,1,7,1
3709.5,37100,37090,53436,4514,NA,NA,10,1,23,1,7,1
3780.5,37810,37800,33450,1750,NA,NA,10,1,24,1,6,1
