depth (cm),age (bp),d13C (â°),age14C (bp),age_error (1s),cal_age_error (1s),age_type (),lab_id (),note ()
0,-58,NA,NA,NA,NA,2,NA,1
27,1309,-26.02,1400,25,24.042,1,1,NA
59,2508.5,NA,2435,20,205.768,1,6,NA
84,3422,-22.92,3210,30,39.598,1,2,NA
123,4839,-26.68,4250,30,18.385,1,3,NA
153,5821,NA,5065,20,98.995,1,7,NA
189,7206.5,-26.07,6260,35,57.276,1,4,NA
208,7981.5,NA,7165,25,26.163,1,9,NA
220,8679,-25.79,7890,40,107.48,1,5,NA
231.5,9464,NA,8430,30,32.527,1,8,NA
