depth (cm),age (BP),temperature (degC)
0.025,7.341,10.738
0.125,107.009,10.186
0.225,230.581,12.139
0.325,378.056,11.828
0.425,549.435,11.13
0.525,744.716,10.893
0.625,963.9,10.056
0.725,1206.987,10.235
0.825,1473.978,9.56
0.925,1764.871,11.486
1.025,2079.668,10.917
1.125,2418.367,12.061
1.225,2780.97,11.073
1.325,3167.476,12.297
1.425,3577.885,12.226
1.525,4012.196,10.699
1.625,4470.411,10.745
1.725,4952.529,11.813
1.825,5458.551,12.816
1.86,5641.305,12.655
1.925,5988.475,12.19
1.975,6262.4,11.185
2.025,6542.302,10.154
2.075,6828.179,11.894
2.125,7120.032,11.225
2.155,7298.013,13.115
2.165,7357.817,11.945
2.175,7417.861,12.209
2.185,7478.144,12.47
2.195,7538.666,12.503
2.205,7599.427,13.433
2.312,8267.703,12.671
2.337,8427.075,13.723
2.362,8587.941,13.307
2.388,8750.301,12.786
2.413,8914.155,13.047
2.513,9584.509,12.887
2.595,10155.547,14.418
2.605,10225.869,14.012
2.615,10296.43,14.42
2.625,10367.23,13.338
2.635,10438.269,13.745
2.645,10509.548,11.465
2.655,10581.065,11.268
2.705,10942.237,10.815
2.8,11644.927,10.623
2.925,12602.386,8.41
