year (AD),age (BP),depth (cm),d18O (permil),d13C (permil)
2007.5,-57.5,0.8,-15.69,-1.12
2004.8,-54.8,1.8,-15.55,-1.4
2001,-51,2.8,-15.39,-1.31
1994,-44,3.8,-15.52,-1.24
1981.5,-31.5,4.8,-15.59,-1.32
1967.5,-17.5,5.8,-15.54,-1.45
1956.5,-6.5,6.8,-15.5,-1.47
1936,14,7.8,-15.7,-1.87
1899.2,50.8,8.8,-15.82,-2.2
1859,91,9.8,-16.69,-3.03
1844.9,105.1,10.1,-16.52,-0.84
1828.5,121.5,10.5,-16.72,-1.11
1812.1,137.9,10.9,-16.37,-1.12
1795.7,154.3,11.3,-16.51,-0.99
1779.3,170.7,11.7,-16.07,-0.78
1762.9,187.1,12.1,-15.92,-0.71
1746.5,203.5,12.5,-15.78,-0.76
1730.1,219.9,12.9,-16.18,-0.61
1713.7,236.3,13.3,-15.8,-0.81
1697.3,252.7,13.7,-16.41,-0.99
1680.9,269.1,14.1,-16.47,-1.08
1662,288,14.6,-16.17,-1.14
1642.4,307.6,15,-16.29,-0.92
1622.7,327.3,15.5,-16.44,-0.85
1603,347,16,-16.06,-0.82
1583.3,366.7,16.5,-16.38,-0.88
1567.3,382.7,16.9,-16.11,-1.6
1552.6,397.4,17.2,-16.76,-1.76
1537.8,412.2,17.6,-16.31,-1.77
1523,427,18,-16.47,-1.99
1508.3,441.7,18.3,-16.22,-1.86
1489,461,18.8,-16.49,-1.76
1468.5,481.5,19.3,-16.02,-2.44
1448,502,19.8,-16.58,-2.92
1427.5,522.5,20.3,-16.43,-2.14
1407,543,20.8,-16.12,-2.08
1387.3,562.7,21.3,-15.74,-1.44
1367.7,582.3,21.7,-16.36,-1.92
1348,602,22.2,-16.14,-1.76
1328.3,621.7,22.7,-17.23,-2.09
1308.6,641.4,23.2,-16.85,-1.94
1288.1,661.9,23.7,-16.62,-1.47
1267.6,682.4,24.2,-16.19,-1.71
1247.1,702.9,24.7,-16.73,-2.58
1226.8,723.2,25.2,-16.41,-2.25
1206.8,743.2,25.7,-16.82,-2.17
1189.9,760.1,26.1,-16.5,-2.15
1173.5,776.5,26.5,-16.32,-1.94
1157.1,792.9,26.9,-16.32,-1.85
1140.7,809.3,27.3,-16.6,-1.63
1124.3,825.7,27.7,-16.4,-1.39
1107.9,842.1,28.1,-16.09,-1.16
1091.5,858.5,28.5,-15.77,-0.9
1075.1,874.9,28.9,-16.44,-1.39
1058.7,891.3,29.3,-16.54,-1.28
1042.3,907.7,29.7,-16.26,-1.29
1027.1,922.9,30.1,-16.35,-1.63
