year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
1430,520,282.567,14.55,0.534,34.389
1360,590,623.801,14.49,0.532,112.202
1280,670,700.539,14.43,0.53,155.147
1210,740,776.722,14.43,0.53,187.826
1130,820,852.621,14.43,0.53,215.072
1060,890,928.337,14.915,0.546,238.771
990,960,1003.921,14.84,0.544,259.901
910,1040,1079.404,14.94,0.547,279.049
840,1110,1154.807,14.62,0.536,296.601
770,1180,1230.142,14.53,0.533,312.826
690,1260,1305.419,15.41,0.563,327.922
620,1330,1380.648,15.21,0.556,342.038
550,1400,1455.833,15.09,0.552,355.291
470,1480,1530.979,15.34,0.561,367.775
400,1550,1606.09,15.15,0.554,379.565
330,1620,1681.169,15.23,0.557,390.725
250,1700,1756.22,14.91,0.546,401.307
180,1770,1831.243,14.72,0.539,411.355
110,1840,1906.242,14.86,0.544,420.908
30,1920,1981.217,14.97,0.548,430
-40,1990,2056.171,15.42,0.563,438.657
-120,2070,2131.104,15.8,0.576,446.907
-190,2140,2206.018,15.44,0.564,454.771
-260,2210,2280.914,15.96,0.582,462.268
-340,2290,2355.792,16.11,0.587,469.416
-410,2360,2430.653,15.98,0.582,476.232
-480,2430,2505.498,16.2,0.59,482.728
-560,2510,2580.328,16.04,0.584,488.918
-630,2580,2655.143,16.04,0.584,494.813
-700,2650,2729.944,15.96,0.582,500.424
-780,2730,2804.731,16.1,0.586,505.76
-850,2800,2879.505,16.15,0.588,510.829
-920,2870,2954.266,15.97,0.582,515.64
-1000,2950,3029.014,16.7,0.607,520.2
-1070,3020,3103.75,16.51,0.6,524.515
-1150,3100,3178.474,16,0.583,528.59
-1220,3170,3253.186,16.07,0.586,532.433
-1290,3240,3327.887,16.02,0.584,536.047
-1370,3320,3402.577,16.04,0.584,539.438
-1440,3390,3477.255,16.35,0.595,542.608
-1510,3460,3551.923,16.46,0.599,545.563
-1590,3540,3626.58,16.27,0.592,548.306
-1660,3610,3701.227,16.41,0.597,550.84
-1730,3680,3775.863,16.41,0.597,553.167
-1810,3760,3850.489,16.42,0.597,555.29
-1880,3830,3925.105,16.48,0.599,557.212
-1950,3900,3999.711,16.54,0.601,558.935
-2030,3980,4074.307,16.53,0.601,560.46
-2100,4050,4148.894,16.62,0.604,561.789
-2170,4120,4223.47,17.36,0.629,562.924
-2250,4200,4298.037,16.9,0.614,563.865
-2320,4270,4372.594,17.4,0.631,564.614
-2400,4350,4447.142,16.99,0.617,565.171
-2470,4420,4521.679,17.14,0.622,565.536
-2540,4490,4596.208,16.87,0.613,565.711
-2620,4570,4670.727,16.72,0.607,565.696
-2690,4640,4745.236,16.67,0.606,565.489
-2760,4710,4819.735,17.01,0.617,565.092
-2840,4790,4894.225,17.02,0.618,564.503
-2910,4860,4968.706,17.13,0.621,563.723
-2980,4930,5043.176,16.89,0.613,562.749
-3060,5010,5117.637,17.37,0.63,561.582
-3130,5080,5192.088,17.51,0.634,560.22
-3200,5150,5266.53,17.01,0.617,558.661
-3280,5230,5340.961,18.07,0.653,556.904
-3350,5300,5415.382,17.305,0.627,554.947
-3430,5380,5489.793,17.605,0.637,552.787
-3500,5450,5564.194,17.03,0.618,550.423
-3570,5520,5638.584,18.17,0.657,547.852
-3650,5600,5712.963,17.47,0.633,545.07
-3720,5670,5787.332,18.145,0.656,542.075
-3790,5740,5861.69,17.6,0.637,538.862
-3870,5820,5936.037,18.175,0.657,535.428
-3940,5890,6010.372,17.77,0.643,531.769
-4010,5960,6084.696,18.265,0.66,527.88
-4090,6040,6159.008,17.975,0.65,523.756
-4160,6110,6233.307,18.255,0.66,519.39
-4230,6180,6307.594,18.005,0.651,514.777
-4310,6260,6381.869,17.89,0.647,509.91
-4380,6330,6456.129,17.975,0.65,504.782
-4450,6400,6530.377,18.103,0.655,499.385
-4530,6480,6604.61,18.125,0.655,493.709
-4600,6550,6678.829,17.965,0.65,487.745
-4680,6630,6753.032,18.145,0.656,481.482
-4750,6700,6827.219,18.26,0.66,474.908
-4820,6770,6901.39,18.14,0.656,468.009
-4900,6850,6975.544,17.95,0.649,460.773
-4970,6920,7049.68,17.86,0.646,453.181
-5040,6990,7123.796,17.8,0.644,445.215
-5120,7070,7197.892,17.89,0.647,436.856
-5190,7140,7271.967,18.03,0.652,428.079
-5260,7210,7346.019,18.03,0.652,418.859
-5340,7290,7420.047,17.88,0.647,409.165
-5410,7360,7494.048,17.86,0.646,398.961
-5480,7430,7568.021,17.88,0.647,388.209
-5560,7510,7641.962,17.56,0.636,376.86
-5630,7580,7715.87,17.57,0.636,364.858
-5710,7660,7789.74,17.82,0.645,352.136
-5790,7740,7863.568,17.99,0.65,338.612
-5880,7830,7937.348,17.72,0.642,324.184
-5960,7910,8011.073,17.77,0.643,308.725
-6040,7990,8084.733,18,0.651,292.068
-6120,8070,8158.316,17.87,0.646,273.993
-6210,8160,8231.804,17.86,0.646,254.192
-6290,8240,8305.17,18.14,0.656,232.217
-6370,8320,8378.368,17.06,0.619,207.362
-6450,8400,8451.315,18.41,0.665,178.395
-6530,8480,8523.81,18.33,0.662,142.714
-6620,8570,8594.272,18.4,0.665,91.399
-6670,8620,8654.143,18.52,0.669,108.021
-6730,8680,8708.633,18.08,0.654,139.201
-6780,8730,8762.52,18.28,0.66,163.229
-6830,8780,8816.121,18.42,0.665,183.073
-6880,8830,8869.543,18.13,0.656,200.019
-6930,8880,8922.834,18.12,0.655,214.769
-6980,8930,8976.025,18.095,0.654,227.759
-7030,8980,9029.134,18.15,0.656,239.28
-7080,9030,9082.174,18.22,0.658,249.539
-7130,9080,9135.153,18.02,0.652,258.689
-7180,9130,9188.079,18.17,0.657,266.846
-7230,9180,9240.956,17.66,0.64,274.1
-7280,9230,9293.79,17.67,0.64,280.522
-7330,9280,9346.582,17.55,0.636,286.168
-7380,9330,9399.337,17.58,0.637,291.086
-7430,9380,9452.054,17.96,0.65,295.312
-7460,9410,9478.4,18,0.651,297.174
-7510,9460,9531.067,17.75,0.642,300.416
-7560,9510,9583.701,17.99,0.651,303.03
-7610,9560,9636.302,17.95,0.649,305.032
-7660,9610,9688.873,17.87,0.647,306.435
-7690,9640,9715.147,17.92,0.648,306.915
-7740,9690,9767.671,18.17,0.657,307.434
-7790,9740,9820.165,18.05,0.653,307.369
-7840,9790,9872.628,18.08,0.654,306.72
-7890,9840,9925.061,18.14,0.656,305.483
-7940,9890,9977.462,18.42,0.665,303.652
-7990,9940,10029.831,18.32,0.662,301.216
-8040,9990,10082.168,18.18,0.657,298.16
-8090,10040,10134.47,18,0.651,294.466
-8140,10090,10186.737,17.8,0.644,290.11
-8190,10140,10238.967,18.16,0.657,285.061
-8240,10190,10291.157,17.83,0.645,279.282
-8300,10250,10343.305,17.99,0.651,272.727
-8350,10300,10395.407,18.39,0.664,265.34
-8400,10350,10447.458,18.04,0.652,257.049
-8450,10400,10499.453,17.58,0.637,247.764
-8500,10450,10551.383,18.22,0.659,237.368
-8550,10500,10603.238,18.56,0.67,225.709
-8600,10550,10655.003,18.32,0.662,212.579
-8650,10600,10706.654,18.38,0.664,197.688
