depth (cm),age (yr BP),x_LaboratoryNo_Beta_ (),x13C_12CRatio_perMil_ (permil),error (yr)
-2,870,# 343098,-26.9,30
-1,1190,# 329631,-29,30
-1,2030,# 329632,-27.2,30
-2,3750,# 343099,-32.8,30
-1,5840,# 343100,-26.8,30
-1,8740,# 329633,-26.3,40
