depth (m),d18O (degC)
0.1,1.11
0.3,1.46
0.5,1.43
0.7,0.82
0.9,0.72
1.1,0.46
1.3,1.25
1.5,1.08
1.7,1.12
1.9,1.33
2.1,1.39
2.3,1.76
2.5,1.4
2.7,1.32
2.9,1.37
3.1,1.24
3.3,1.38
3.5,1.53
3.7,1.97
3.9,1.21
4.1,2
4.3,1.5
