depth (cm),age (yrBP),Laboratory No. (NA),error (yr),type (NA)
140,1270,Beta-91202,70,AMS14C
245,2950,Beta-91203,90,AMS14C
345,4010,Beta-91204,90,AMS14C
455,5080,Beta-91205,100,AMS14C
545,6630,Beta-91206,90,AMS14C
665,8680,Beta-91207,100,AMS14C
725,9840,Beta-91208,90,AMS14C
812.5,11620,Beta-91209,50,AMS14C
935,12840,Beta-91210,60,AMS14C
