depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
1380,Carbon-14,110369,70,1890,NA,NA
1522.5,Carbon-14,110370,70,3960,NA,NA
1592.5,Carbon-14,110371,90,5530,NA,NA
1665,Carbon-14,110372,90,7780,NA,NA
1792.5,Carbon-14,110373,110,10660,NA,NA
